panel,cell,h,s,mean_N_in,mean_N_in_vs_off,in_cell_days,zero_in_days,subset_of_off
U56,OFF,0,,38.450337078651685,1.0,171104,0,True
U56,h21/s0%,21,0.0,34.84112359550562,0.9061331120254349,155043,0,True
U56,h21/s1%,21,0.01,25.030337078651684,0.6509783523471104,111385,0,True
U56,h21/s3%,21,0.03,7.941348314606741,0.206535206657939,35339,115,True
U56,h63/s0%,63,0.0,33.65842696629213,0.8753740415186085,149780,2,True
U56,h63/s1%,63,0.01,30.706741573033707,0.7986078642229287,136645,2,True
U56,h63/s3%,63,0.03,23.810561797752808,0.6192549560501215,105957,2,True
U56,h126/s0%,126,0.0,32.22651685393259,0.8381335328221433,143408,65,True
U56,h126/s1%,126,0.01,30.582921348314606,0.7953876005236581,136094,65,True
U56,h126/s3%,126,0.03,27.32247191011236,0.7105912193753506,121585,65,True
B136,OFF,0,,93.22009892086331,1.0,414643,0,True
B136,h21/s0%,21,0.0,84.40647482014388,0.9054536070788606,375440,0,True
B136,h21/s1%,21,0.01,64.7960881294964,0.6950870990225326,288213,0,True
B136,h21/s3%,21,0.03,21.36218525179856,0.22915857737861245,95019,56,True
B136,h63/s0%,63,0.0,81.36488309352518,0.872825539078195,361911,2,True
B136,h63/s1%,63,0.01,75.71335431654676,0.8121998924375908,336773,2,True
B136,h63/s3%,63,0.03,61.535521582733814,0.6601100223565814,273710,2,True
B136,h126/s0%,126,0.0,78.04946043165468,0.8372600043893181,347164,65,True
B136,h126/s1%,126,0.01,75.04069244604317,0.8049840465171244,333781,65,True
B136,h126/s3%,126,0.03,68.66254496402878,0.7365637427859629,305411,65,True
