parent,files,max_share,pairs,head_sent,head_ew,head_claim,body_sent,body_ew,body_claim,lb_rows,lb_ew,lb_claim
2026-09-05_2011-the-opposite-outlier_C,2,0.7117117117117117,659,2,0,0,47,1,0,16,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C,2,0.7916666666666666,128,6,1,0,30,0,0,18,0,0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud,2,0.8333333333333334,116,3,0,0,27,0,0,14,0,0
2026-09-05_band-width-at-g085_cloud,1,0.7538461538461538,65,8,2,1,17,1,0,8,3,1
2026-09-05_cagr-floor-constrained-selector_cloud,2,0.6521739130434783,150,3,0,0,28,1,0,14,0,0
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C,2,0.6153846153846154,258,2,0,0,50,1,0,16,0,0
2026-09-05_defensive-overlays-are-rule-8-invisible_B,2,0.6491228070175439,161,2,0,0,29,1,0,12,0,0
2026-09-05_is-the-defensive-class-one-book_cloud,1,1.0,1,6,2,0,35,11,0,8,4,0
2026-09-05_sleeve-G-is-2013_cloud,1,0.6470588235294118,17,5,0,0,58,1,0,16,0,0
2026-09-05_which-asset-carries-S4_C,1,0.5833333333333334,24,2,0,0,54,1,0,28,0,0
2026-09-06_is-the-1bp-breakeven-general-to-the-records-null-arms_C,2,1.0,75,9,0,0,64,4,1,6,2,1
