leg,window,char,k,n_B,n_S,n_min,rep,n_overlap,reach_lo_B,reach_hi_B,reach_lo_S,reach_hi_S,reach_w_B,reach_w_S,abs_resid,mean_resid,abs_resid_sd_units,worst_rung
SYM,FULL,momac,12,36,36,36,0,3,0.8534408373534172,0.9215161441129047,0.7694803791262261,0.9175350036943586,0.06807530675948748,0.14805462456813245,0.00546078316790662,-0.00546078316790662,0.06007471263354094,0.006376062341294064
SYM,FULL,momac,12,48,48,48,0,3,0.8272503633641984,0.9177145445155097,0.7499157278479114,0.9041152966950651,0.09046418115131127,0.1541995688471537,0.007799253311706611,0.007799253311706611,0.0858004954693303,0.01927811029323223
SYM,FULL,momac,12,64,64,64,0,4,0.8267419113760811,0.9190051877734148,0.7234975169008212,0.9305755752221162,0.09226327639733367,0.207078058321295,0.0027110961397280586,4.965371602308477e-05,0.029825084884024154,0.004454814162189402
SYM,FULL,momac,12,84,84,84,0,3,0.816081893635427,0.9265646414810974,0.7148787362718809,0.9165752170376099,0.11048274784567036,0.201696480765729,0.0057051109611551505,-0.0011728662313100398,0.06276259118804128,0.0067983670947676655
SYM,FULL,momac,12,110,110,110,0,4,0.8081521452643284,0.9278965065502193,0.656793762192188,0.920723035736256,0.11974436128589083,0.26392927354406803,0.006509699308353989,-0.006509699308353989,0.07161396145125486,0.01282125652052657
SYM,FULL,momac,12,134,134,134,0,4,0.8050756916882458,0.9288847965680526,0.648867495229596,0.9222149743302923,0.12380910487980679,0.27334747910069634,0.004623936812276658,0.004623936812276658,0.0508684682566619,0.006738163791989438
ASYM_S,FULL,momac,12,134,36,36,0,4,0.8050756916882458,0.9288847965680526,0.7694803791262261,0.9175350036943586,0.12380910487980679,0.14805462456813245,0.010029797267372659,-0.005895755225469396,0.11033896971980815,0.01599058835472189
ASYM_S,FULL,momac,12,134,48,48,0,3,0.8050756916882458,0.9288847965680526,0.7499157278479114,0.9041152966950651,0.12380910487980679,0.1541995688471537,0.011029207746397485,0.011029207746397485,0.12133360098134968,0.014575989288070579
ASYM_S,FULL,momac,12,134,64,64,0,4,0.8050756916882458,0.9288847965680526,0.7234975169008212,0.9305755752221162,0.12380910487980679,0.207078058321295,0.007971310642892582,-0.00786169506144041,0.08769331824029075,0.012317533957694082
ASYM_S,FULL,momac,12,134,84,84,0,3,0.8050756916882458,0.9288847965680526,0.7148787362718809,0.9165752170376099,0.12380910487980679,0.201696480765729,0.0007343739737783647,-0.00022806061088313326,0.008078933750669148,0.0014436518769922468
ASYM_S,FULL,momac,12,134,110,110,0,4,0.8050756916882458,0.9288847965680526,0.656793762192188,0.920723035736256,0.12380910487980679,0.26392927354406803,0.004766900140647484,-0.004766900140647484,0.0524412245088213,0.009761381062253549
ASYM_S,FULL,momac,12,134,134,134,0,4,0.8050756916882458,0.9288847965680526,0.648867495229596,0.9222149743302923,0.12380910487980679,0.27334747910069634,0.00965572738530121,0.00965572738530121,0.1062237833116799,0.017496844166666747
ASYM_S,FULL,momac,12,134,200,134,0,4,0.8050756916882458,0.9288847965680526,0.5766966804376125,0.9327828050986632,0.12380910487980679,0.3560861246610507,0.00867755701872372,-0.004433833592839692,0.09546281700484247,0.013763922566254472
ASYM_S,FULL,momac,12,134,330,134,0,4,0.8050756916882458,0.9288847965680526,0.6755876304625232,0.9434695905610772,0.12380910487980679,0.2678819600985539,0.008094619131075675,-0.0072160377566280465,0.08904984930279683,0.013222072205905766
ASYM_S,FULL,momac,12,134,500,134,0,4,0.8050756916882458,0.9288847965680526,0.3481338090125142,0.9416010690229158,0.12380910487980679,0.5934672600104016,0.008446938576296803,-0.005010626504176996,0.09292575661793412,0.012038245392459457
ASYM_S,FULL,momac,12,134,657,134,0,4,0.8050756916882458,0.9288847965680526,0.2948980402778407,0.9472077133410167,0.12380910487980679,0.652309673063176,0.006463475552429321,-0.0032010241125404737,0.0711054485203007,0.011289575577547617
ASYM_B,FULL,momac,12,36,657,36,0,3,0.8534408373534172,0.9215161441129047,0.2948980402778407,0.9472077133410167,0.06807530675948748,0.652309673063176,0.011748124022986825,-0.011748124022986825,0.12924248280209338,0.01998304630476866
ASYM_B,FULL,momac,12,48,657,48,0,4,0.8272503633641984,0.9177145445155097,0.2948980402778407,0.9472077133410167,0.09046418115131127,0.652309673063176,0.006714604713552147,-0.006714604713552147,0.07386814971616952,0.016346185864724472
ASYM_B,FULL,momac,12,64,657,64,0,4,0.8267419113760811,0.9190051877734148,0.2948980402778407,0.9472077133410167,0.09226327639733367,0.652309673063176,0.00921219337205717,-0.00921219337205717,0.10134441389349237,0.019330703389481507
ASYM_B,FULL,momac,12,84,657,84,0,4,0.816081893635427,0.9265646414810974,0.2948980402778407,0.9472077133410167,0.11048274784567036,0.652309673063176,0.008123838824805246,-0.008123838824805246,0.0893712985620094,0.01995834010540254
ASYM_B,FULL,momac,12,110,657,110,0,4,0.8081521452643284,0.9278965065502193,0.2948980402778407,0.9472077133410167,0.11974436128589083,0.652309673063176,0.00707405942312439,-0.00608373702086451,0.07782255290676598,0.01626947602549189
ASYM_B,FULL,momac,12,134,657,134,0,4,0.8050756916882458,0.9288847965680526,0.2948980402778407,0.9472077133410167,0.12380910487980679,0.652309673063176,0.012128799498067971,-0.012128799498067971,0.13343033810946742,0.015923437839040377
SYM,FULL,momac,12,36,36,36,1,3,0.8323652405840508,0.9234086960629814,0.8057048674034609,0.9066333571521024,0.09104345547893056,0.10092848974864144,0.010988551388259124,-0.005193369510051153,0.12088633564288273,0.018422640427594006
SYM,FULL,momac,12,48,48,48,1,3,0.8461432155535245,0.9150938183027483,0.7588563506233478,0.9105708002028639,0.06895060274922382,0.15171444957951608,0.010918354900316266,-0.010918354900316266,0.12011409589056392,0.014663045960836896
SYM,FULL,momac,12,64,64,64,1,4,0.8176032918011386,0.9231974555446733,0.7130888725828458,0.9175017742770638,0.1055941637435347,0.204412901694218,0.009456100027026487,0.004094316432733419,0.10402765945665707,0.01602691835049641
SYM,FULL,momac,12,84,84,84,1,4,0.8145127122393075,0.9266033929001827,0.7262787571338857,0.9249318554763208,0.11209068066087513,0.19865309834243516,0.017247663160919552,-0.017247663160919552,0.18974355438279703,0.02546519447035256
SYM,FULL,momac,12,110,110,110,1,4,0.8066420859173201,0.9288847965680526,0.6437195718215882,0.9305074736341269,0.12224271065073244,0.28678790181253866,0.010893526514832857,-0.009995764021927395,0.11984095592561593,0.018385753593437748
SYM,FULL,momac,12,134,134,134,1,4,0.8050756916882458,0.9288847965680526,0.6299513955758852,0.9326194529430237,0.12380910487980679,0.30266805736713853,0.003659405313687164,-0.0009744657248590693,0.04025754472754197,0.005386494158403754
ASYM_S,FULL,momac,12,134,36,36,1,3,0.8050756916882458,0.9288847965680526,0.8057048674034609,0.9066333571521024,0.12380910487980679,0.10092848974864144,0.007652335296531716,-0.006649621707266536,0.08418423324632293,0.01428025947716216
ASYM_S,FULL,momac,12,134,48,48,1,3,0.8050756916882458,0.9288847965680526,0.7588563506233478,0.9105708002028639,0.12380910487980679,0.15171444957951608,0.004668389104605801,0.0009909434775658605,0.05135749310995948,0.008488998873257492
ASYM_S,FULL,momac,12,134,64,64,1,4,0.8050756916882458,0.9288847965680526,0.7130888725828458,0.9175017742770638,0.12380910487980679,0.204412901694218,0.008251059607551181,0.0017540250109509548,0.09077086923337264,0.012994069193200453
ASYM_S,FULL,momac,12,134,84,84,1,4,0.8050756916882458,0.9288847965680526,0.7262787571338857,0.9249318554763208,0.12380910487980679,0.19865309834243516,0.01833694098344138,-0.01833694098344138,0.2017268267732248,0.02927179307557093
ASYM_S,FULL,momac,12,134,110,110,1,4,0.8050756916882458,0.9288847965680526,0.6437195718215882,0.9305074736341269,0.12380910487980679,0.28678790181253866,0.009976659193639853,-0.009976659193639853,0.10975439157208763,0.02169416947867764
ASYM_S,FULL,momac,12,134,134,134,1,4,0.8050756916882458,0.9288847965680526,0.6299513955758852,0.9326194529430237,0.12380910487980679,0.30266805736713853,0.007784238287453615,-0.00014634581272943148,0.08563531343601215,0.009895857334072722
ASYM_S,FULL,momac,12,134,200,134,1,4,0.8050756916882458,0.9288847965680526,0.6949815053326946,0.9328195403796141,0.12380910487980679,0.23783803504691947,0.008267527427471583,-0.008198965491096138,0.09095203364129736,0.022556145258876614
ASYM_S,FULL,momac,12,134,330,134,1,4,0.8050756916882458,0.9288847965680526,0.5427329874063466,0.9416596283517631,0.12380910487980679,0.3989266409454165,0.009002069472193869,-0.007096573151477575,0.09903281636002616,0.02034985001729339
ASYM_S,FULL,momac,12,134,500,134,1,4,0.8050756916882458,0.9288847965680526,0.4338163505186888,0.9388442556805349,0.12380910487980679,0.505027905161846,0.012230595821558637,0.0060357749492254975,0.1345502113387861,0.017778767391905426
ASYM_S,FULL,momac,12,134,657,134,1,4,0.8050756916882458,0.9288847965680526,0.2948980402778407,0.9472077133410167,0.12380910487980679,0.652309673063176,0.004988897614030763,-0.004302599511672889,0.05488344460963975,0.018316161525529617
ASYM_B,FULL,momac,12,36,657,36,1,4,0.8323652405840508,0.9234086960629814,0.2948980402778407,0.9472077133410167,0.09104345547893056,0.652309673063176,0.006908496465363401,-0.00489172010540323,0.07600117549542604,0.018777754278097913
ASYM_B,FULL,momac,12,48,657,48,1,3,0.8461432155535245,0.9150938183027483,0.2948980402778407,0.9472077133410167,0.06895060274922382,0.652309673063176,0.008649419447471515,-0.008649419447471515,0.0951532723012336,0.015173149978881306
ASYM_B,FULL,momac,12,64,657,64,1,4,0.8176032918011386,0.9231974555446733,0.2948980402778407,0.9472077133410167,0.1055941637435347,0.652309673063176,0.009172737770936606,-0.006990328661975326,0.10091035822304718,0.019333386837563027
ASYM_B,FULL,momac,12,84,657,84,1,4,0.8145127122393075,0.9266033929001827,0.2948980402778407,0.9472077133410167,0.11209068066087513,0.652309673063176,0.006888212909369473,-0.0013746443261162256,0.07577803372984873,0.011027137166506495
ASYM_B,FULL,momac,12,110,657,110,1,4,0.8066420859173201,0.9288847965680526,0.2948980402778407,0.9472077133410167,0.12224271065073244,0.652309673063176,0.0106194066669629,-0.009382958066177921,0.11682533150296548,0.016890471657929118
ASYM_B,FULL,momac,12,134,657,134,1,4,0.8050756916882458,0.9288847965680526,0.2948980402778407,0.9472077133410167,0.12380910487980679,0.652309673063176,0.009906736446023467,-0.009906736446023467,0.1089851632690323,0.017459265752491904
SYM,FULL,momac,12,36,36,36,2,3,0.8485201899281593,0.9224926153450782,0.7280304263486418,0.9144194092236652,0.07397242541691895,0.18638898287502337,0.005208242849960243,0.00349836079286144,0.057296487136843995,0.013059905464232524
SYM,FULL,momac,12,48,48,48,2,3,0.8406880367306351,0.9196717710023442,0.6874664780024572,0.9059502644747136,0.07898373427170913,0.2184837864722564,0.008875320136264167,0.008875320136264167,0.09763843213008283,0.021907536679650175
SYM,FULL,momac,12,64,64,64,2,4,0.8268005737593344,0.9203237206058813,0.800572783198691,0.9166522425385576,0.09352314684654695,0.11607945933986663,0.006861473277912394,0.006861473277912394,0.07548386792499649,0.012462077815040717
SYM,FULL,momac,12,84,84,84,2,4,0.8195570018371767,0.9250542108563956,0.7810394660821153,0.9204891401270392,0.10549720901921888,0.13944967404492392,0.017323205848726764,-0.017323205848726764,0.1905746083034608,0.019672597877471665
SYM,FULL,momac,12,110,110,110,2,4,0.8118790753564561,0.9257899962409208,0.6845857816242935,0.9287221669085436,0.11391092088446475,0.24413638528425008,0.010064368987686007,-0.010064368987686007,0.11071929724778573,0.012607490700467183
SYM,FULL,momac,12,134,134,134,2,4,0.8050756916882458,0.9288847965680526,0.5225095833030459,0.9369883788765802,0.12380910487980679,0.4144787955735343,0.006285624950351398,-0.004110536568601497,0.0691488933004696,0.00874808685525863
ASYM_S,FULL,momac,12,134,36,36,2,3,0.8050756916882458,0.9288847965680526,0.7280304263486418,0.9144194092236652,0.12380910487980679,0.18638898287502337,0.00943392445642055,-0.00943392445642055,0.10378370341762849,0.011963201134195689
ASYM_S,FULL,momac,12,134,48,48,2,3,0.8050756916882458,0.9288847965680526,0.6874664780024572,0.9059502644747136,0.12380910487980679,0.2184837864722564,0.009206902179238585,0.009206902179238585,0.10128620486407452,0.010322826234863691
ASYM_S,FULL,momac,12,134,64,64,2,4,0.8050756916882458,0.9288847965680526,0.800572783198691,0.9166522425385576,0.12380910487980679,0.11607945933986663,0.0031722632575283127,0.0015338417231946788,0.034898438142346076,0.008566223567261
ASYM_S,FULL,momac,12,134,84,84,2,4,0.8050756916882458,0.9288847965680526,0.7810394660821153,0.9204891401270392,0.12380910487980679,0.13944967404492392,0.009282509457330917,-0.0070248825973869555,0.10211796934999941,0.0143725782401245
