panel,H,N,gross,phase,delay,anchor,turn_yr,drag_bp_yr,avg_names,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dd_margin_pp,cagr_margin_pp,pass4a,pass4b,a_h1,a_h2,a_dd,b_h1,b_h2,b_oos,b_dd,b_cagr,is_sh,is_b_sh,is_b_dd,is_b_cagr
U56,0,10,0.55,Mon,1,False,9.703862386169067,97.03862386169067,9.354875283446711,0.1007451841211795,0.977811282585755,-0.15524157721729115,0.8794300415791614,1.0672394796596203,0.81863074994028,0.12068923391778497,1.0963125521254564,-0.15524157721729093,4.706202903348289,-0.5193054170514202,False,False,False,False,False,False,True,True,True,False,0.81863074994028,False,True,False
U56,0,10,0.65,Mon,1,False,11.454045362581105,114.54045362581105,9.354875283446711,0.11888102497231912,0.9779524391664011,-0.1812088636270024,0.8792534270803135,1.067654740225479,0.8186008145460062,0.14274166393323884,1.096594220886123,-0.18120886362700228,2.1094742623771645,1.2942786680625415,False,False,False,False,False,False,True,True,True,True,0.8186008145460062,False,False,False
U56,5,10,0.55,Mon,1,False,9.309590367530662,93.09590367530662,9.354875283446711,0.10179864744523082,0.9858456753882274,-0.15524157721729115,0.919561777857119,1.0480469002361668,0.8668487761033741,0.11836915130698888,1.0751791642289268,-0.15524157721729104,4.706202903348289,-0.41395908464628844,False,False,False,False,False,False,True,True,True,False,0.8668487761033741,False,True,False
U56,5,10,0.65,Mon,1,False,10.987984351553099,109.87984351553098,9.354875283446711,0.12014844358345966,0.9860218054851255,-0.18120886362700228,0.9193347814212994,1.0485630983257237,0.866750175712708,0.13995467770037484,1.0755628885459168,-0.18120886362700217,2.1094742623771756,1.4210205291765963,False,False,False,False,False,False,True,True,True,True,0.866750175712708,False,False,False
U56,21,10,0.55,Mon,1,False,4.916233396184073,49.16233396184073,9.424036281179138,0.11366562307544004,1.0199113177433201,-0.17147046547687628,1.0029072389617486,1.0445834695972087,0.9415775299426656,0.13034520560988794,1.0803274376227505,-0.17147046547687605,3.083314077389776,0.7727384783746336,False,True,False,False,False,True,True,True,True,True,0.9415775299426656,True,True,False
U56,21,10,0.65,Mon,1,False,5.792828668984583,57.928286689845834,9.424036281179138,0.1341882332386093,1.0199212436193492,-0.19981510187868878,1.0018122905950007,1.0454651310742906,0.9404522831045709,0.15416841440606954,1.0811163996270279,-0.199815101878689,0.2488504372085254,2.824999494691559,False,True,False,False,False,True,True,True,True,True,0.9404522831045709,True,False,True
U56,42,10,0.55,Mon,1,False,3.8628946793008136,38.62894679300814,9.435374149659864,0.1317532803506678,1.1333146072890066,-0.1836855509640397,1.2496990333215328,1.063369058128814,1.1944425547744888,0.14059296668566845,1.10559104570362,-0.18368555096403993,1.8618055286734325,2.58150420589741,False,True,True,False,False,True,True,True,True,True,1.1944425547744888,True,True,True
U56,42,10,0.65,Mon,1,False,4.5487444604738965,45.48744460473897,9.435374149659864,0.1559345643536676,1.133606702514337,-0.21409797335512026,1.2491341547983668,1.0643118208900573,1.1940030483358897,0.16635855502217822,1.1063570275415524,-0.21409797335511993,-1.1794367104346226,4.999632606197389,False,False,True,False,False,True,True,True,False,True,1.1940030483358897,True,True,True
U56,63,10,0.55,Mon,1,False,2.9881596704051807,29.88159670405181,9.447845804988662,0.13072489515440489,1.1183733550698,-0.18366986378822414,1.3234982217416316,0.9779089835109798,1.2629849745725057,0.13087995148258202,1.0343473631294915,-0.18366986378822447,1.8633742462549896,2.4786656862711185,False,True,True,False,False,True,True,True,True,True,1.2629849745725057,True,True,True
U56,63,10,0.65,Mon,1,False,3.5125488810744154,35.12548881074415,9.447845804988662,0.15468993296120725,1.1188096013901585,-0.21408420074490642,1.3226732868877176,0.9793214923030379,1.2621017452307208,0.1547018409109997,1.0356464796991447,-0.21408420074490608,-1.178059449413238,4.8751694669513554,False,False,True,False,False,True,True,True,False,True,1.2621017452307208,True,True,True
