pair_set,estimator,n,n_scored,median_rel_err,mean_rel_err,p90_rel_err,max_rel_err,rho_vs_sweep,share_within_0.005,share_within_0.01,share_within_0.05
PS_ALL,C_EXACT,1785,494,2.5298116240977524e-05,0.00013516704635874974,0.00024942918943145334,0.02278690086063268,0.9999999004589588,0.9979757085020243,0.9979757085020243,1.0
PS_ALL,C_LIN,1785,494,0.010078959794735564,0.017646181384400803,0.02424085210071259,0.29889010575121394,0.9984089359983457,0.2408906882591093,0.4979757085020243,0.9615384615384616
PS_ALL,C_COARSE,1785,323,0.0005577555495207523,0.0009727235662871777,0.0019142993910187922,0.022864323846395744,0.9999704433006358,0.978328173374613,0.9907120743034056,1.0
PS_CROSS,C_EXACT,494,494,2.5298116240977524e-05,0.00013516704635874974,0.00024942918943145334,0.02278690086063268,0.9999999004589588,0.9979757085020243,0.9979757085020243,1.0
PS_CROSS,C_LIN,494,494,0.010078959794735564,0.017646181384400803,0.02424085210071259,0.29889010575121394,0.9984089359983457,0.2408906882591093,0.4979757085020243,0.9615384615384616
PS_CROSS,C_COARSE,494,323,0.0005577555495207523,0.0009727235662871777,0.0019142993910187922,0.022864323846395744,0.9999704433006358,0.978328173374613,0.9907120743034056,1.0
PS_4bPASS,C_EXACT,70,70,3.1610899501961065e-05,5.253631983221643e-05,0.00013304410670275353,0.00026951100047883236,1.0000000000000002,1.0,1.0,1.0
PS_4bPASS,C_LIN,70,70,0.0104508510588332,0.015691169549578304,0.03974937379570249,0.0843174687842292,0.9992651561543173,0.05714285714285714,0.45714285714285713,0.9714285714285714
PS_4bPASS,C_COARSE,70,55,0.0003957490329272846,0.0011531472952180028,0.0031615889086878475,0.005214102237481594,0.9999999999999999,0.9636363636363636,1.0,1.0
