stat,eps,all_rows,all_pct,class_rows,class_pct,pareto_class,pareto_pct
sharpe,0.0,116/748,0.15508021390374332,25/139,0.17985611510791366,9/16,0.5625
sharpe,0.05,12/748,0.016042780748663103,3/139,0.02158273381294964,2/16,0.125
sharpe,0.1,1/748,0.001336898395721925,0/139,0.0,0/16,0.0
sharpe,0.15,0/748,0.0,0/139,0.0,0/16,0.0
dom,0.0,82/748,0.10962566844919786,16/139,0.11510791366906475,5/16,0.3125
dom,0.05,12/748,0.016042780748663103,3/139,0.02158273381294964,2/16,0.125
dom,0.1,1/748,0.001336898395721925,0/139,0.0,0/16,0.0
dom,0.15,0/748,0.0,0/139,0.0,0/16,0.0
