book,panel,split,leg,NATIVE_boundary,boundary,shift_days,NATIVE_val,new_val,dH1,dH2
TOP20,SMALL,CALMID,leg4a,2018-11-06,2018-11-09,3,False,True,-0.020312403897222775,0.013390299547760831
BAND08,B136,2014-01-01,leg4a,2017-11-03,2014-01-02,1401,False,True,-0.013804579611250478,0.08538891567826112
BAND08,SMALL,2014-01-01,leg4a,2018-11-06,2014-01-02,1769,False,True,0.26915273830241504,-0.0806989037149356
TOP20,SMALL,2014-01-01,leg4a,2018-11-06,2014-01-02,1769,False,True,0.2369529206841251,-0.05039521164349203
BAND08,B136,2015-01-01,leg4a,2017-11-03,2015-01-02,1036,False,True,-0.022008341454908598,0.07302293698114803
BAND08,SMALL,2015-01-01,leg4a,2018-11-06,2015-01-02,1404,False,True,0.05841900022688051,-0.03145164176795168
TOP20,SMALL,2015-01-01,leg4a,2018-11-06,2015-01-02,1404,False,True,0.027340089251761346,-0.012988487245247038
BAND08,SMALL,2016-01-01,leg4a,2018-11-06,2016-01-04,1037,False,True,-0.14540614155066783,0.05562475723552551
TOP20,SMALL,2016-01-01,leg4a,2018-11-06,2016-01-04,1037,False,True,-0.18573251798919077,0.05991372526711969
BAND08,SMALL,2017-01-01,leg4a,2018-11-06,2017-01-03,672,False,True,-0.03600637359434944,0.013569033643545447
TOP20,SMALL,2017-01-01,leg4a,2018-11-06,2017-01-03,672,False,True,-0.15557201870670267,0.06462155488357846
TOP20,SMALL,2018-01-01,leg4a,2018-11-06,2018-01-02,308,False,True,-0.047285792623268486,0.025011395563365846
TOP10,B136,2018-01-01,leg4a,2017-11-03,2018-01-02,60,False,True,-0.023909963318864413,0.01228735622132815
