claim_set,bar,rung_set,base,n_claims,n_barred,share
CS_HCAD,B_ALLSTAT,CORE,11171117,16,12,0.75
CS_HCAD,B_ALLSTAT,CORE,11161116,16,12,0.75
CS_HCAD,B_ALLSTAT,CORE,11181118,16,12,0.75
CS_HCAD,B_ALLSTAT,EXT,11171117,16,0,0.0
CS_HCAD,B_ALLSTAT,EXT,11161116,16,0,0.0
CS_HCAD,B_ALLSTAT,EXT,11181118,16,0,0.0
CS_HCAD,B_MAJ3,CORE,11171117,16,16,1.0
CS_HCAD,B_MAJ3,CORE,11161116,16,16,1.0
CS_HCAD,B_MAJ3,CORE,11181118,16,16,1.0
CS_HCAD,B_MAJ3,EXT,11171117,16,4,0.25
CS_HCAD,B_MAJ3,EXT,11161116,16,0,0.0
CS_HCAD,B_MAJ3,EXT,11181118,16,0,0.0
CS_HCAD,B_ANY,CORE,11171117,16,16,1.0
CS_HCAD,B_ANY,CORE,11161116,16,16,1.0
CS_HCAD,B_ANY,CORE,11181118,16,16,1.0
CS_HCAD,B_ANY,EXT,11171117,16,16,1.0
CS_HCAD,B_ANY,EXT,11161116,16,16,1.0
CS_HCAD,B_ANY,EXT,11181118,16,16,1.0
CS_ALL32,B_ALLSTAT,CORE,11171117,32,12,0.375
CS_ALL32,B_ALLSTAT,CORE,11161116,32,12,0.375
CS_ALL32,B_ALLSTAT,CORE,11181118,32,12,0.375
CS_ALL32,B_ALLSTAT,EXT,11171117,32,0,0.0
CS_ALL32,B_ALLSTAT,EXT,11161116,32,0,0.0
CS_ALL32,B_ALLSTAT,EXT,11181118,32,0,0.0
CS_ALL32,B_MAJ3,CORE,11171117,32,16,0.5
CS_ALL32,B_MAJ3,CORE,11161116,32,16,0.5
CS_ALL32,B_MAJ3,CORE,11181118,32,16,0.5
CS_ALL32,B_MAJ3,EXT,11171117,32,4,0.125
CS_ALL32,B_MAJ3,EXT,11161116,32,0,0.0
CS_ALL32,B_MAJ3,EXT,11181118,32,0,0.0
CS_ALL32,B_ANY,CORE,11171117,32,24,0.75
CS_ALL32,B_ANY,CORE,11161116,32,24,0.75
CS_ALL32,B_ANY,CORE,11181118,32,28,0.875
CS_ALL32,B_ANY,EXT,11171117,32,24,0.75
CS_ALL32,B_ANY,EXT,11161116,32,24,0.75
CS_ALL32,B_ANY,EXT,11181118,32,28,0.875
CS_DECIDED,B_ALLSTAT,CORE,11171117,6,0,0.0
CS_DECIDED,B_ALLSTAT,CORE,11161116,6,0,0.0
CS_DECIDED,B_ALLSTAT,CORE,11181118,6,0,0.0
CS_DECIDED,B_ALLSTAT,EXT,11171117,6,0,0.0
CS_DECIDED,B_ALLSTAT,EXT,11161116,6,0,0.0
CS_DECIDED,B_ALLSTAT,EXT,11181118,6,0,0.0
CS_DECIDED,B_MAJ3,CORE,11171117,6,0,0.0
CS_DECIDED,B_MAJ3,CORE,11161116,6,0,0.0
CS_DECIDED,B_MAJ3,CORE,11181118,6,0,0.0
CS_DECIDED,B_MAJ3,EXT,11171117,6,0,0.0
CS_DECIDED,B_MAJ3,EXT,11161116,6,0,0.0
CS_DECIDED,B_MAJ3,EXT,11181118,6,0,0.0
CS_DECIDED,B_ANY,CORE,11171117,6,2,0.3333333333333333
CS_DECIDED,B_ANY,CORE,11161116,6,2,0.3333333333333333
CS_DECIDED,B_ANY,CORE,11181118,6,2,0.3333333333333333
CS_DECIDED,B_ANY,EXT,11171117,6,2,0.3333333333333333
CS_DECIDED,B_ANY,EXT,11161116,6,2,0.3333333333333333
CS_DECIDED,B_ANY,EXT,11181118,6,2,0.3333333333333333
