panel,cost,anchor,D,D2,se_D2,global_bar,cell_med,cell_p95,basis,real_global,real_cell,verdict_moves
B136,0.0,HEAD,0.0,-0.0060466988701209,0.0056021386240628,0.012,0.0,0.1237084201326112,"nearest cell (B136, 10 bps) — 1044 also ran 0 bps",False,False,False
B136,0.0,MID,0.0188026133591232,0.0003535382691326,0.0051981608497919,0.012,0.0,0.1237084201326112,"nearest cell (B136, 10 bps) — 1044 also ran 0 bps",True,False,True
B136,0.0,POOLED,0.057134959745612,0.0032644036251327,0.0018932894526155,0.012,0.0,0.1237084201326112,"nearest cell (B136, 10 bps) — 1044 also ran 0 bps",True,False,True
B136,0.0,TAIL,0.0,-0.0015208929972339,0.0022492888616016,0.012,0.0,0.1237084201326112,"nearest cell (B136, 10 bps) — 1044 also ran 0 bps",False,False,False
B136,10.0,HEAD,0.0,-0.006734585742797,0.0069012581385856,0.012,0.0,0.1237084201326112,"own cell (B136, 10 bps)",False,False,False
B136,10.0,MID,0.0,-0.0011483526197444,0.0059678049414895,0.012,0.0,0.1237084201326112,"own cell (B136, 10 bps)",False,False,False
B136,10.0,POOLED,0.0586452884694915,0.0034392698596698,0.0022879668303652,0.012,0.0,0.1237084201326112,"own cell (B136, 10 bps)",True,False,True
B136,10.0,TAIL,0.0,-0.0055132377755512,0.0015361829668457,0.012,0.0,0.1237084201326112,"own cell (B136, 10 bps)",False,False,False
B136,25.0,HEAD,0.0,-0.0048600265297204,0.0092194327584511,0.012,0.0,0.12385695755067869,"own cell (B136, 25 bps)",False,False,False
B136,25.0,MID,0.0244578823355425,0.0005981880083392,0.0075453848214584,0.012,0.0,0.12385695755067869,"own cell (B136, 25 bps)",True,False,True
B136,25.0,POOLED,0.0475828766274109,0.0022641301481394,0.0011534666558881,0.012,0.0,0.12385695755067869,"own cell (B136, 25 bps)",True,False,True
B136,25.0,TAIL,0.0,-0.0080890537511227,0.0037138221876915,0.012,0.0,0.12385695755067869,"own cell (B136, 25 bps)",False,False,False
U56,0.0,HEAD,0.0,-0.0074250385242306,0.0065051270769891,0.012,0.0,0.11646107151838729,"nearest cell (U56, 10 bps) — 1044 also ran 0 bps",False,False,False
U56,0.0,MID,0.0,-0.0268517048456946,0.0068505593874018,0.012,0.0,0.11646107151838729,"nearest cell (U56, 10 bps) — 1044 also ran 0 bps",False,False,False
U56,0.0,POOLED,0.1021661285130651,0.0104379178153481,0.0044682763491849,0.012,0.0,0.11646107151838729,"nearest cell (U56, 10 bps) — 1044 also ran 0 bps",True,False,True
U56,0.0,TAIL,0.0,-0.0013394388638572,0.0057294295065788,0.012,0.0,0.11646107151838729,"nearest cell (U56, 10 bps) — 1044 also ran 0 bps",False,False,False
U56,10.0,HEAD,0.0,-0.0065356217812339,0.0074875345934656,0.012,0.0,0.11646107151838729,"own cell (U56, 10 bps)",False,False,False
U56,10.0,MID,0.0,-0.031522797690468,0.007644353701226,0.012,0.0,0.11646107151838729,"own cell (U56, 10 bps)",False,False,False
U56,10.0,POOLED,0.0945304283874258,0.0089360018911102,0.0056653517239497,0.012,0.0,0.11646107151838729,"own cell (U56, 10 bps)",True,False,True
U56,10.0,TAIL,0.0,-0.0050261418379046,0.0036644626310577,0.012,0.0,0.11646107151838729,"own cell (U56, 10 bps)",False,False,False
U56,25.0,HEAD,0.0,-0.0015754985577328,0.009220629791676,0.012,0.0,0.11629802182050586,"own cell (U56, 25 bps)",False,False,False
U56,25.0,MID,0.0,-0.0339298519807112,0.0089534315976538,0.012,0.0,0.11629802182050586,"own cell (U56, 25 bps)",False,False,False
U56,25.0,POOLED,0.0859696024197427,0.0073907725402086,0.0061108342781631,0.012,0.0,0.11629802182050586,"own cell (U56, 25 bps)",True,False,True
U56,25.0,TAIL,0.0,-0.0067518484510507,0.0057958681872734,0.012,0.0,0.11629802182050586,"own cell (U56, 25 bps)",False,False,False
