[b] PREMISE AUDIT — idea 133's published grid, re-derived here (the queue's two rows)
panel  book       arm   cost  CAGR  Sharpe  MaxDD  OOS_Sharpe  OOS_MaxDD  gross  m_CAGR  floor_only  pass4b
  u56 S3-50  vol60-dg 10.000 0.086   1.196 -0.092       1.199     -0.092  0.731  -0.021        True   False
  u56 S3-50  vol60-dg 25.000 0.072   1.010 -0.093       1.029     -0.093  0.731  -0.035        True   False
  u56 S3-50 ebud-0.10 10.000 0.099   1.291 -0.111       1.277     -0.111  0.730  -0.007        True   False
  u56 S3-50 ebud-0.10 25.000 0.087   1.136 -0.112       1.136     -0.112  0.730  -0.020        True   False
  u56 S4-50  vol60-dg 10.000 0.088   1.177 -0.099       1.227     -0.099  0.731  -0.019        True   False
  u56 S4-50  vol60-dg 25.000 0.074   0.997 -0.100       1.060     -0.100  0.731  -0.033        True   False
  u56 S4-50 ebud-0.10 10.000 0.101   1.264 -0.118       1.298     -0.118  0.732  -0.005        True   False
  u56 S4-50 ebud-0.10 25.000 0.088   1.113 -0.119       1.158     -0.119  0.732  -0.018        True   False
broad S3-50  vol60-dg 10.000 0.083   1.039 -0.101       0.964     -0.101  0.728  -0.024        True   False
broad S3-50  vol60-dg 25.000 0.065   0.831 -0.102       0.768     -0.102  0.728  -0.041       False   False
broad S3-50 ebud-0.10 10.000 0.095   1.138 -0.119       1.019     -0.119  0.708  -0.011        True   False
broad S3-50 ebud-0.10 25.000 0.081   0.972 -0.120       0.866     -0.120  0.708  -0.026       False   False
broad S4-50  vol60-dg 10.000 0.085   1.029 -0.108       1.002     -0.108  0.728  -0.022        True   False
broad S4-50  vol60-dg 25.000 0.067   0.825 -0.109       0.807     -0.109  0.728  -0.040       False   False
broad S4-50 ebud-0.10 10.000 0.096   1.108 -0.128       1.035     -0.128  0.709  -0.011        True   False
broad S4-50 ebud-0.10 25.000 0.081   0.945 -0.129       0.883     -0.129  0.709  -0.026       False   False
    NOTE: the queue's label 'SLV50' is not a book name in that file; the f=0.50 sleeve
    books there are S3-50 and S4-50.  The queue's 8.7%/1.292/-13.6% headline is closest
    to u56/S3-50/ebud-0.10 @10bps (9.94%/1.291/-11.1%, OOS 1.277); nothing below
    depends on resolving the label — this run re-derives every f=0.50 row itself.
    idea 133 sleeve rows in the 4b-defensive class: 101; CAGR-floor shortfall (m_CAGR) min -4.10 median -1.29 max -0.06 pp/yr — the queue's '2.0-3.0 pp/yr' is the tail, not the median.

[panel] u56: 56 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[panel] broad: 136 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[c] reproduction of idea 133's f=0.50 sleeve rows: 136 matched, max|diff| CAGR 9.71e-17 Sharpe 2.22e-16 MaxDD 9.71e-17 OOS_Sharpe 2.22e-16 gross 0.00e+00  EXACT

[GRID] 884 arm-rows, ALL reported
panel  book     f                arm   cost  CAGR  Sharpe  MaxDD    H1    H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  gross     TO  m_CAGR   m_DD  pass4a  pass4b            fail4b  floor_only  pareto
  u56   R20 0.000            control 10.000 0.155   1.171 -0.222 1.268 1.107     0.166       1.168     -0.222  0.747  9.044   0.048 -0.020   False   False                DD       False   False
  u56   R20 0.000            control 25.000 0.139   1.067 -0.223 1.151 1.012     0.151       1.072     -0.223  0.747  9.044   0.033 -0.021   False   False                DD       False   False
  u56   R20 0.000            g200-dg 10.000 0.141   1.145 -0.195 1.211 1.105     0.157       1.172     -0.195  0.713  8.970   0.035  0.007   False    True                 -       False   False
  u56   R20 0.000            g200-dg 25.000 0.126   1.035 -0.197 1.086 1.006     0.142       1.072     -0.197  0.713  8.970   0.020  0.006   False    True                 -       False   False
  u56   R20 0.000            g200-rw 10.000 0.143   1.147 -0.194 1.216 1.104     0.157       1.171     -0.194  0.723  9.172   0.036  0.008   False    True                 -       False   False
  u56   R20 0.000            g200-rw 25.000 0.127   1.035 -0.196 1.089 1.003     0.142       1.069     -0.196  0.723  9.172   0.020  0.007   False    True                 -       False   False
  u56   R20 0.000           band3-dg 10.000 0.144   1.157 -0.198 1.216 1.123     0.160       1.189     -0.198  0.711  8.624   0.037  0.005   False    True                 -       False   False
  u56   R20 0.000           band3-dg 25.000 0.129   1.052 -0.199 1.095 1.028     0.145       1.093     -0.199  0.711  8.624   0.022  0.003   False    True                 -       False   False
  u56   R20 0.000           band3-rw 10.000 0.144   1.154 -0.199 1.214 1.118     0.160       1.183     -0.199  0.722  8.575   0.038  0.003   False    True                 -       False   False
  u56   R20 0.000           band3-rw 25.000 0.130   1.049 -0.201 1.096 1.023     0.145       1.088     -0.201  0.722  8.575   0.023  0.002   False    True                 -       False   False
  u56   R20 0.000           abs12-dg 10.000 0.136   1.104 -0.222 1.189 1.058     0.153       1.127     -0.222  0.690  8.514   0.029 -0.020   False   False                DD       False   False
  u56   R20 0.000           abs12-dg 25.000 0.121   1.000 -0.223 1.069 0.964     0.138       1.032     -0.223  0.690  8.514   0.015 -0.021   False   False                DD       False   False
  u56   R20 0.000           abs12-rw 10.000 0.141   1.115 -0.227 1.207 1.064     0.158       1.131     -0.227  0.718  8.703   0.034 -0.025   False   False                DD       False   False
  u56   R20 0.000           abs12-rw 25.000 0.126   1.011 -0.228 1.087 0.971     0.143       1.037     -0.228  0.718  8.703   0.020 -0.026   False   False                DD       False   False
  u56   R20 0.000           vol60-dg 10.000 0.128   1.091 -0.168 1.128 1.062     0.138       1.130     -0.168  0.712  9.368   0.021  0.035   False    True                 -       False   False
  u56   R20 0.000           vol60-dg 25.000 0.112   0.970 -0.169 1.000 0.947     0.122       1.015     -0.169  0.712  9.368   0.005  0.034   False    True                 -       False   False
  u56   R20 0.000           vol60-rw 10.000 0.137   1.122 -0.185 1.154 1.099     0.149       1.162     -0.185  0.745  9.527   0.031  0.017   False    True                 -       False   False
  u56   R20 0.000           vol60-rw 25.000 0.121   1.004 -0.186 1.028 0.987     0.133       1.049     -0.186  0.745  9.527   0.014  0.016   False    True                 -       False   False
