A,B,gap_rate,gap_med,is_apriori
n+phase+skip+wscheme,gross+lambda+look+volcap,0.3125,0.01807495930018855,False
gross+lambda+n+volcap,look+phase+skip+wscheme,0.31249999999999994,0.008973665692439327,False
gross+look+n+volcap,lambda+phase+skip+wscheme,0.27083333333333326,0.02652252334463997,False
gross+lambda+look+n,phase+skip+volcap+wscheme,0.27083333333333326,0.032129044238392,False
look+n+phase+wscheme,gross+lambda+skip+volcap,0.22916666666666663,0.010358128359928075,False
lambda+n+phase+wscheme,gross+look+skip+volcap,0.1875,0.007190729292272567,False
gross+n+skip+volcap,lambda+look+phase+wscheme,0.1875,0.0019105643154766552,False
gross+lambda+n+skip,look+phase+volcap+wscheme,0.1875,0.003695956578275379,False
n+phase+volcap+wscheme,gross+lambda+look+skip,0.1875,0.012797250186024602,False
look+n+phase+skip,gross+lambda+volcap+wscheme,0.1875,0.02040769877244971,False
look+n+skip+wscheme,gross+lambda+phase+volcap,0.14583333333333337,0.02040769877244971,False
n+phase+skip+volcap,gross+lambda+look+wscheme,0.14583333333333326,0.002747679773502966,False
lambda+look+n+volcap,gross+phase+skip+wscheme,0.14583333333333326,0.046619208307051276,False
gross+lambda+n+wscheme,look+phase+skip+volcap,0.14583333333333326,0.006353613834246256,False
lambda+n+phase+skip,gross+look+volcap+wscheme,0.14583333333333326,0.0028588411202490685,False
gross+n+volcap+wscheme,lambda+look+phase+skip,0.14583333333333326,0.01196013472799829,False
gross+look+n+skip,lambda+phase+volcap+wscheme,0.14583333333333326,0.02124481423047602,False
lambda+n+skip+wscheme,gross+look+phase+volcap,0.10416666666666674,0.0028588411202490685,False
gross+n+phase+volcap,lambda+look+skip+wscheme,0.10416666666666674,0.01196013472799829,False
n+skip+volcap+wscheme,gross+lambda+look+phase,0.10416666666666674,0.002747679773502966,False
gross+lambda+n+phase,look+skip+volcap+wscheme,0.10416666666666674,0.006353613834246256,False
gross+look+n+wscheme,lambda+phase+skip+volcap,0.10416666666666663,0.011195243817954385,False
gross+n+phase+wscheme,lambda+look+skip+volcap,0.0625,0.027287414254683874,False
lambda+n+skip+volcap,gross+look+phase+wscheme,0.0625,0.018186120646934652,False
look+n+phase+volcap,gross+lambda+skip+wscheme,0.0625,0.025685407886613658,False
gross+look+n+phase,lambda+skip+volcap+wscheme,0.0625,0.011195243817954385,False
lambda+look+n+phase,gross+skip+volcap+wscheme,0.0625,0.03129192878036569,False
look+n+volcap+wscheme,gross+lambda+phase+skip,0.02083333333333348,0.025685407886613658,False
lambda+look+n+skip,gross+phase+volcap+wscheme,0.02083333333333337,0.04134149919288733,False
lambda+look+n+wscheme,gross+phase+skip+volcap,0.02083333333333337,0.03129192878036569,False
look+n+skip+volcap,gross+lambda+phase+wscheme,0.02083333333333326,0.035734978299135294,True
lambda+n+volcap+wscheme,gross+look+phase+skip,0.02083333333333326,0.008136550234413016,False
lambda+n+phase+volcap,gross+look+skip+wscheme,0.02083333333333326,0.008136550234413016,False
gross+n+skip+wscheme,lambda+look+phase+volcap,0.02083333333333326,0.01723784384216224,False
gross+n+phase+skip,lambda+look+volcap+wscheme,0.02083333333333326,0.01723784384216224,False
