output,mean_abs_swing_L,max_abs_swing_L,n_decisions_moving_L,mean_rel_swing_L,mean_abs_swing_LT,max_abs_swing_LT,n_decisions_moving_LT,mean_rel_swing_LT,mean_abs_swing_S,max_abs_swing_S,n_decisions_moving_S,mean_rel_swing_S,declared_class,ratio_L_over_SEED,decisions_moving_L,decisions_moving_SEED,cell
O_REACH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OBS,,0,0,1_STRUCTURALLY_L_FREE
O_PICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OBS,,0,0,1_STRUCTURALLY_L_FREE
O_MARGIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OBS,,0,0,1_STRUCTURALLY_L_FREE
O_LEVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OBS,,0,0,1_STRUCTURALLY_L_FREE
O_GAPRATIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OBS,,0,0,1_STRUCTURALLY_L_FREE
B_SD,0.11792732484462576,0.3201652191854259,72.0,0.9227107573604694,0.16693040832684236,0.4504298764938724,72.0,1.299377632296717,0.009064298943459495,0.03489805214892222,72.0,0.0743352991933495,BAR,13.010087771842334,72,72,3_BAR_L_DEPENDENT
B_RESOLVED,0.3194444444444444,1.0,23.0,0.3125,0.8472222222222222,1.0,61.0,0.3125,0.027777777777777776,1.0,2.0,0.17647058823529413,BAR,11.5,23,2,3_BAR_L_DEPENDENT
B_Q05,0.2778700001596972,0.8695634689358368,72.0,2.2887149027253884,0.30444253079424205,0.8695634689358368,72.0,2.0485397904063896,0.025216493620819864,0.0732178723431327,72.0,0.21529845800858916,BAR,11.01937503040769,72,72,3_BAR_L_DEPENDENT
B_RECRANGE,0.3912971675693969,1.045340859458494,72.0,0.956782020990777,0.5490848237506023,1.516899172565381,72.0,1.3055609212400106,0.03634654187336326,0.13114568478282274,72.0,0.08903529918031937,BAR,10.765733062934412,72,72,3_BAR_L_DEPENDENT
B_PPICK,0.31159722222222225,0.826,66.0,0.7377529233282806,0.5209027777777777,0.998,66.0,1.2661755872791696,0.03223611111111112,0.063,65.0,0.0727133617127494,BAR,9.666092201637223,66,65,3_BAR_L_DEPENDENT
B_PMAX,0.2794861111111111,0.643,66.0,0.5752340786838298,0.4513888888888889,0.756,66.0,0.9587310495615223,0.03177777777777778,0.063,65.0,0.06484159085438829,BAR,8.795017482517482,66,65,3_BAR_L_DEPENDENT
B_PCTRANK,0.3854305555555555,0.816,72.0,0.7277775201231925,0.7072222222222222,1.0,72.0,1.360081928324018,0.04420833333333333,0.09700000000000003,72.0,0.08784466816603129,BAR,8.718504555450831,72,72,3_BAR_L_DEPENDENT
B_NULLMED,0.08937691963929205,0.469247103800815,72.0,0.26226276010093497,0.08986957966778324,0.48611117509797486,72.0,0.2649959015821021,0.015571672056801735,0.06176534635395092,72.0,0.03410882557921419,BAR,5.739712428650336,72,72,3_BAR_L_DEPENDENT
B_BOOT95,0.040828260123342584,0.2968111125202301,72.0,0.5599684892381459,0.07333767289342158,0.4468211653169577,72.0,0.9257789273435518,0.00712276510639761,0.04396727558771801,72.0,0.08923122971731183,BAR,5.732080099998099,72,72,3_BAR_L_DEPENDENT
B_Q95,0.1429732790284879,0.5063408726790084,72.0,0.21311101245160202,0.28018070928349975,1.0315664495690862,72.0,0.4289322777547,0.027710620819178373,0.11250746950462198,72.0,0.046441176005879575,BAR,5.159511941700593,72,72,3_BAR_L_DEPENDENT
B_MODALRUNG,1.0694444444444444,8.0,31.0,0.37916666666666665,1.1111111111111112,8.0,32.0,0.4528333333333333,0.2638888888888889,5.0,9.0,0.14058641975308642,BAR,4.052631578947368,31,9,3_BAR_L_DEPENDENT
B_MODALMATCH,0.3888888888888889,1.0,28.0,0.3442622950819672,0.4444444444444444,1.0,32.0,0.3968253968253968,0.1111111111111111,1.0,8.0,0.15789473684210525,BAR,3.5000000000000004,28,8,3_BAR_L_DEPENDENT
B_GAPEXCEEDS,0.027777777777777776,1.0,2.0,,0.16666666666666666,1.0,12.0,,0.0,0.0,0.0,,BAR,,2,0,3_BAR_L_DEPENDENT
