panel,dial,bps,n,pick,S1,OOS_pick,OOS_best,regret,OOS_MaxDD_pick,OOS_MaxDD_best,dd_regret_pp,dd_ratio,argmax_flip,beats_med_sh,beats_med_dd,abst_arm,abst_OOS,abst_OOS_MaxDD,pick4b,verdict_flip
B136,BAND,0,4,b0.12,0.03051332929974704,1.1052800577853306,1.17502942679375,0.06974936900841944,-0.14801245165218058,-0.12211398589281575,2.589846575936483,1.2120843535653396,True,False,False,b0.00,1.17502942679375,-0.12565637442446864,False,False
B136,BAND,10,4,b0.12,0.044579807482011846,1.0908389797670264,1.1256374310136645,0.03479845124663816,-0.1481118990657625,-0.12240793860208021,2.5703960463682285,1.2099860577445054,True,False,False,b0.06,1.102169932312759,-0.13689064857241295,False,False
B136,BAND,25,4,b0.12,0.0654072042247904,1.0691739058376721,1.0740236940215924,0.004849788183920234,-0.1482610575613249,-0.12284879701089035,2.541226055043455,1.2068580333609762,True,False,False,b0.03,1.0740236940215924,-0.12284879701089035,False,False
B136,BREADTH,0,4,B0.00,0.02087502824318621,0.9907714255507482,0.9907714255507482,0.0,-0.19983154054596763,-0.19983154054596752,1.1102230246251565e-14,1.0000000000000007,False,True,True,B0.40,0.8969858743150847,-0.19983154054596786,True,False
B136,BREADTH,10,4,B0.00,0.027392618003526215,0.8919165372280256,0.8919165372280256,0.0,-0.2005204833110832,-0.20052048331108308,1.1102230246251565e-14,1.0000000000000004,False,True,False,B0.40,0.7961511329396531,-0.20052048331108308,False,True
B136,BREADTH,25,4,B0.00,0.037281163966424447,0.7433679864583754,0.7433679864583754,0.0,-0.20155317029654174,-0.20155317029654174,0.0,1.0,False,True,True,B0.40,0.6445646205638662,-0.20155317029654185,False,False
B136,CADENCE,0,3,M,0.08521142100263468,1.048088073064253,1.048088073064253,0.0,-0.26066015264091635,-0.19983154054596763,6.082861209494872,1.3043994553049858,True,True,False,Q,0.777130413794218,-0.2706384728781539,False,True
B136,CADENCE,10,3,M,0.06470792787877477,1.006515564536546,1.006515564536546,0.0,-0.2610459352657425,-0.2005204833110832,6.05254519546593,1.3018417418272497,True,True,False,Q,0.7549663623138548,-0.27063847287815357,False,True
B136,CADENCE,25,3,M,0.03387064770499304,0.9438624203901402,0.9438624203901402,0.0,-0.26162460920298103,-0.20155317029654174,6.007143890643929,1.298042639657105,True,True,False,Q,0.7215519606587424,-0.2706384728781538,False,True
B136,GROSS,0,5,g1.00,0.00120461757268564,0.9923210432536641,0.9923210432536641,0.0,-0.2611295325936558,-0.10957771314632303,15.155181944733275,2.383053315275527,True,True,False,g0.70,0.9904578701538596,-0.18725643490421306,False,True
