family,rung_label,k,fmax,fracs,n_resolvable,med_ratio,med_W,med_B,med_exc,med_attrib_B
E_FINE,k1,1,2,"[1, 2]",486,14.346624331522204,1.61511288642123,0.06096735741197801,0.9821514451630248,0.84311567867892
E_FINE,k2,2,3,"[1, 2, 3]",486,3.9104632803725847,1.6174816551038673,0.2246340308807222,0.0,
E_FINE,k3,3,4,"[1, 2, 3, 4]",486,5.109090548295908,1.7610142628175898,0.25825085182348545,0.5709130398211291,0.806513841207013
E_FINE,k4,4,6,"[1, 2, 3, 4, 6]",486,3.0463819963336336,1.951433430744148,0.3766191195563889,0.5514944092237263,0.8009394749174066
E_FINE,k6,6,8,"[1, 2, 3, 4, 5, 6, 8]",486,3.71397354467922,2.2405149312089336,0.4527473702789262,0.6035747352183314,0.7429019640821432
E_COARSE,k1,1,8,"[1, 8]",486,4.452067737394843,2.272866221762663,0.4527473702789262,0.6168307182552216,0.6938677122185792
E_COARSE,k2,2,8,"[1, 6, 8]",486,4.775601797199624,2.472060254241402,0.4527473702789262,0.625477682404669,0.6565128943581402
E_COARSE,k3,3,8,"[1, 5, 6, 8]",486,4.5413909140997895,2.415663775145307,0.4527473702789262,0.6132350043114014,0.67850290930443
E_COARSE,k4,4,8,"[1, 4, 5, 6, 8]",486,4.235323728114757,2.3161753529006726,0.4527473702789262,0.6204861038748222,0.6909408119412044
E_COARSE,k6,6,8,"[1, 2, 3, 4, 5, 6, 8]",486,3.71397354467922,2.2405149312089336,0.4527473702789262,0.6035747352183314,0.7429019640821432
E_SLIDE,f3,2,3,"[1, 2, 3]",486,3.9104632803725847,1.6174816551038673,0.2246340308807222,0.0,
E_SLIDE,f4,2,4,"[1, 3, 4]",486,5.116925958109828,1.6517067396736258,0.25825085182348545,0.6268417988542223,0.8114073450349588
E_SLIDE,f5,2,5,"[1, 4, 5]",486,3.7096929989311414,2.129241415780967,0.39189281414158883,0.7560136539078173,0.7491471572743778
E_SLIDE,f6,2,6,"[1, 5, 6]",486,4.692285611689493,2.3603041405972047,0.3766191195563889,0.6993070897774833,0.5705639365520081
E_SLIDE,f8,2,8,"[1, 6, 8]",486,4.775601797199624,2.472060254241402,0.4527473702789262,0.625477682404669,0.6565128943581402
