panel,family,chooser,pick,is_sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a_oos,keep4b_oos,anchor_oos_CAGR,anchor_oos_Sharpe,anchor_oos_MaxDD,d_oos_sharpe_vs_anchor,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD,live_oos_CAGR,live_oos_Sharpe,live_oos_MaxDD
U56,G,IS_ARGMAX_SHARPE,1.0,1.1159274220127013,0.23216493687826212,1.186463652058247,-0.24927641340478068,False,False,0.17323365236641464,1.1856777042016957,-0.19127562163086187,0.0007859478565512834,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,V,IS_ARGMAX_SHARPE,0.0,1.115763165916695,0.17323365236641464,1.1856777042016957,-0.19127562163086187,False,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,0.0,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,S0.5,IS_ARGMAX_SHARPE,0.0,1.115763165916695,0.17323365236641464,1.1856777042016957,-0.19127562163086187,False,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,0.0,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,S1,IS_ARGMAX_SHARPE,0.0,1.115763165916695,0.17323365236641464,1.1856777042016957,-0.19127562163086187,False,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,0.0,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
B136,G,IS_ARGMAX_SHARPE,1.0,1.1406092127967917,0.21527983263664896,1.0201287480826045,-0.269727696705345,False,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,0.002174983577687639,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,V,IS_ARGMAX_SHARPE,0.0,1.1391139987864047,0.16187458516000452,1.0179537645049168,-0.2074018763117903,False,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,0.0,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,S0.5,IS_ARGMAX_SHARPE,0.0,1.1391139987864047,0.16187458516000452,1.0179537645049168,-0.2074018763117903,False,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,0.0,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,S1,IS_ARGMAX_SHARPE,0.0,1.1391139987864047,0.16187458516000452,1.0179537645049168,-0.2074018763117903,False,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,0.0,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
SMALL,G,IS_ARGMAX_SHARPE,1.0,0.6414273638708384,0.08210784063935339,0.4410970049117589,-0.46543459915663277,False,False,0.06698806653983369,0.43984693026555083,-0.3651051671527563,0.001250074646208077,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.044142357735165394,0.6473415936678043,-0.12480015905893527
SMALL,V,IS_ARGMAX_SHARPE,2.0,0.849681977877821,0.07472453369712295,0.5023998656913696,-0.3204035540698128,False,False,0.06698806653983369,0.43984693026555083,-0.3651051671527563,0.0625529354258188,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.044142357735165394,0.6473415936678043,-0.12480015905893527
SMALL,S0.5,IS_ARGMAX_SHARPE,0.0,0.6401415772704395,0.06698806653983369,0.43984693026555083,-0.3651051671527563,False,False,0.06698806653983369,0.43984693026555083,-0.3651051671527563,0.0,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.044142357735165394,0.6473415936678043,-0.12480015905893527
SMALL,S1,IS_ARGMAX_SHARPE,0.0,0.6401415772704395,0.06698806653983369,0.43984693026555083,-0.3651051671527563,False,False,0.06698806653983369,0.43984693026555083,-0.3651051671527563,0.0,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.044142357735165394,0.6473415936678043,-0.12480015905893527
