scope,n_triples,same_full_order,same_topbottom_sign
ANY 3 DRAWS,20000,0.1949,0.53565
"3 draws, origin=U56",20000,0.27155,0.6952
"3 draws, origin=B136",20000,0.1416,0.4739
"3 draws, origin=SMALL",20000,0.12065,0.44365
"3 draws, origin=POOL",20000,0.1337,0.41795
1 draw from each of U56/B136/SMALL (the published panels' own shape),20000,0.24525,0.5944
