panel,form,cadence,cash_bps,lo,hi,width,n_pts,interval,empty_reason,scale_width,scale_lo,scale_hi,scale_pts,sharpe_pts
B136,EWall,M,0.0,,,0.0,0,True,SCALE,0.0,,,0,17
B136,EWall,M,150.0,0.55,0.55,0.0,1,True,-,0.0,0.55,0.55,1,17
B136,EWall,M,300.0,0.5,0.6,0.09999999999999998,3,True,-,0.09999999999999998,0.5,0.6,3,17
B136,EWall,W,0.0,,,0.0,0,True,SCALE,0.0,,,0,17
B136,EWall,W,150.0,0.55,0.55,0.0,1,True,-,0.0,0.55,0.55,1,17
B136,EWall,W,300.0,0.5,0.55,0.050000000000000044,2,True,-,0.050000000000000044,0.5,0.55,2,17
B136,MA-DG,M,0.0,0.95,1.0,0.050000000000000044,2,True,-,0.050000000000000044,0.95,1.0,2,17
B136,MA-DG,M,150.0,0.9,1.0,0.09999999999999998,3,True,-,0.09999999999999998,0.9,1.0,3,17
B136,MA-DG,M,300.0,0.85,1.0,0.15000000000000002,4,True,-,0.15000000000000002,0.85,1.0,4,17
B136,MA-DG,W,0.0,,,0.0,0,True,SCALE,0.0,,,0,17
B136,MA-DG,W,150.0,1.0,1.0,0.0,1,True,-,0.0,1.0,1.0,1,17
B136,MA-DG,W,300.0,0.95,1.0,0.050000000000000044,2,True,-,0.050000000000000044,0.95,1.0,2,17
B136,MA-RS,M,0.0,0.65,0.65,0.0,1,True,-,0.0,0.65,0.65,1,17
B136,MA-RS,M,150.0,0.65,0.65,0.0,1,True,-,0.0,0.65,0.65,1,17
B136,MA-RS,M,300.0,0.6,0.65,0.050000000000000044,2,True,-,0.050000000000000044,0.6,0.65,2,17
B136,MA-RS,W,0.0,0.7,0.75,0.050000000000000044,2,True,-,0.050000000000000044,0.7,0.75,2,17
B136,MA-RS,W,150.0,0.7,0.75,0.050000000000000044,2,True,-,0.050000000000000044,0.7,0.75,2,17
B136,MA-RS,W,300.0,0.65,0.75,0.09999999999999998,3,True,-,0.09999999999999998,0.65,0.75,3,17
B136,MA20,M,0.0,0.5,0.55,0.050000000000000044,2,True,-,0.050000000000000044,0.5,0.55,2,17
B136,MA20,M,150.0,0.45,0.55,0.10000000000000003,3,True,-,0.10000000000000003,0.45,0.55,3,17
B136,MA20,M,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.15000000000000002,0.4,0.55,4,17
B136,MA20,W,0.0,0.55,0.6,0.04999999999999993,2,True,-,0.04999999999999993,0.55,0.6,2,17
B136,MA20,W,150.0,0.5,0.6,0.09999999999999998,3,True,-,0.09999999999999998,0.5,0.6,3,17
B136,MA20,W,300.0,0.45,0.6,0.14999999999999997,4,True,-,0.14999999999999997,0.45,0.6,4,17
B136,TOP10,M,0.0,0.45,0.5,0.04999999999999999,2,True,-,0.04999999999999999,0.45,0.5,2,17
B136,TOP10,M,150.0,0.4,0.5,0.09999999999999998,3,True,-,0.09999999999999998,0.4,0.5,3,17
B136,TOP10,M,300.0,0.35,0.5,0.15000000000000002,4,True,-,0.15000000000000002,0.35,0.5,4,17
B136,TOP10,W,0.0,,,0.0,0,True,SHARPE,0.050000000000000044,0.5,0.55,2,0
B136,TOP10,W,150.0,,,0.0,0,True,SCALE,0.10000000000000003,0.45,0.55,3,5
B136,TOP10,W,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.15000000000000002,0.4,0.55,4,9
B136,TOP20,M,0.0,0.5,0.55,0.050000000000000044,2,True,-,0.050000000000000044,0.5,0.55,2,17
B136,TOP20,M,150.0,0.45,0.55,0.10000000000000003,3,True,-,0.10000000000000003,0.45,0.55,3,17
B136,TOP20,M,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.15000000000000002,0.4,0.55,4,17
B136,TOP20,W,0.0,0.55,0.6,0.04999999999999993,2,True,-,0.04999999999999993,0.55,0.6,2,17
B136,TOP20,W,150.0,0.5,0.6,0.09999999999999998,3,True,-,0.09999999999999998,0.5,0.6,3,17
B136,TOP20,W,300.0,0.45,0.6,0.14999999999999997,4,True,-,0.14999999999999997,0.45,0.6,4,17
SMALL663,EWall,M,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,EWall,M,150.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,EWall,M,300.0,,,0.0,0,True,SCALE,0.0,,,0,3
SMALL663,EWall,W,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,EWall,W,150.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,EWall,W,300.0,,,0.0,0,True,SCALE,0.0,,,0,3
SMALL663,MA-DG,M,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,MA-DG,M,150.0,,,0.0,0,True,SCALE,0.0,,,0,5
SMALL663,MA-DG,M,300.0,,,0.0,0,True,SCALE,0.0,,,0,10
SMALL663,MA-DG,W,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,MA-DG,W,150.0,,,0.0,0,True,SCALE,0.0,,,0,4
SMALL663,MA-DG,W,300.0,,,0.0,0,True,SCALE,0.0,,,0,9
SMALL663,MA-RS,M,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
SMALL663,MA-RS,M,150.0,,,0.0,0,True,SCALE,0.0,,,0,2
SMALL663,MA-RS,M,300.0,,,0.0,0,True,SCALE,0.0,,,0,5
SMALL663,MA-RS,W,0.0,,,0.0,0,True,SHARPE,0.0,,,0,0
