panel,book,cost,S0,S1,S2,S3,S4,S5,S6
broad,EWall,10.0,vol60-dg@1.00,vol60-dg@1.00,vol60-dg@1.00,vol60-dg@1.10,ddctl-8/.5/high@0.95,vol60-dg@0.85,vol60-dg@1.10
broad,EWall,25.0,vol60-dg@1.00,vol60-dg@1.00,vol60-dg@1.00,vol60-dg@1.05,ddctl-8/.5/high@0.95,vol60-dg@0.85,vol60-dg@1.05
broad,TOP20,10.0,ebud-0.10@1.00,ebud-0.10@1.00,ebud-0.10@1.00,ebud-0.10@1.25,ebud-0.10@1.25,ebud-0.10@0.75,ebud-0.10@1.25
broad,TOP20,25.0,ebud-0.10@1.00,ebud-0.10@1.00,ebud-0.10@1.00,ebud-0.10@1.20,ebud-0.10@1.20,ebud-0.10@0.85,ebud-0.10@1.20
broad,V1u,10.0,ebud-0.20@1.00,-,-,-,-,-,-
broad,V1u,25.0,ebud-0.10@1.00,-,-,-,-,-,-
small,EWall,10.0,control@1.00,-,-,-,-,-,-
small,EWall,25.0,ddctl-8/.5/recover@1.00,-,-,-,-,-,-
small,TOP20,10.0,ebud-0.20@1.00,-,-,-,-,-,-
small,TOP20,25.0,ebud-0.20@1.00,-,-,-,-,-,-
small,V1u,10.0,ebud-0.20@1.00,-,-,-,-,-,-
small,V1u,25.0,ebud-0.20@1.00,-,-,-,-,-,-
u56,EWall,10.0,abs12-rw@1.00,abs12-rw@1.00,abs12-rw@1.00,abs12-rw@1.05,ddctl-8/.5/high@1.30,abs12-rw@0.95,abs12-rw@1.05
u56,EWall,25.0,control@1.00,control@1.00,control@1.00,control@1.05,ddctl-8/.5/high@1.30,control@0.85,control@1.05
u56,TOP20,10.0,control@1.00,control@1.00,control@1.00,ebud-0.20@1.10,ebud-0.20@1.10,ebud-0.20@0.75,control@1.10
u56,TOP20,25.0,control@1.00,-,-,-,-,-,-
u56,V1u,10.0,control@1.00,-,-,-,-,-,-
u56,V1u,25.0,ebud-0.10@1.00,-,-,-,-,-,-
