panel,gate,selector,picked_gross,admissible,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,d_OOS_Sharpe_vs_v2,keep4a_oos,keep4b_oos,keep4a_full,keep4b_full,note
U56,EW_BAND,S1_maxISSharpe_admissible,1.0,True,1.109737429356897,0.1017878225517761,-0.10431645374626186,1.2827249689407196,0.12700447276081173,-0.15704953945571765,1.2834365112057167,0.09477776188225273,-0.1189656784685903,0.872122672456382,0.15237187725667578,-0.33717256775620263,-0.0007115422649970338,False,True,False,True,
U56,EW_BAND,S2_memo_smallestG_clearing_IS_4b_bars,,,,,,,,,,,,,,,,,,,,no admissible gross clears the IS 4b bars
U56,EW_BAND,S1_maxISSharpe_unrestricted,1.25,False,1.1100655055860311,0.12740386946297955,-0.12958512031180813,1.281850709289911,0.15947705041726,-0.19434605135602534,1.2834365112057167,0.09477776188225273,-0.1189656784685903,0.872122672456382,0.15237187725667578,-0.33717256775620263,-0.0015858019158057068,False,True,False,True,
U56,EW_ELIG,S1_maxISSharpe_admissible,1.0,True,0.9508692864693542,0.08198375404525415,-0.1153246228785485,1.245887621917886,0.11020388941008163,-0.14407125442955515,1.2834365112057167,0.09477776188225273,-0.1189656784685903,0.872122672456382,0.15237187725667578,-0.33717256775620263,-0.03754888928783062,False,True,False,False,
U56,EW_ELIG,S2_memo_smallestG_clearing_IS_4b_bars,,,,,,,,,,,,,,,,,,,,no admissible gross clears the IS 4b bars
U56,EW_ELIG,S1_maxISSharpe_unrestricted,1.25,False,0.9512100290060529,0.10226722184439829,-0.14279013650760253,1.2451001461708795,0.13821541802412907,-0.17826482965336055,1.2834365112057167,0.09477776188225273,-0.1189656784685903,0.872122672456382,0.15237187725667578,-0.33717256775620263,-0.03833636503483717,False,True,False,True,
B136,EW_BAND,S1_maxISSharpe_admissible,1.0,True,1.094165472316691,0.10816384760094544,-0.10443793772467658,1.1195000250557174,0.10659093356047356,-0.16076362728629368,1.1206044691812698,0.07983508528458483,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.0011044441255523285,False,False,False,True,
B136,EW_BAND,S2_memo_smallestG_clearing_IS_4b_bars,1.0,True,1.094165472316691,0.10816384760094544,-0.10443793772467658,1.1195000250557174,0.10659093356047356,-0.16076362728629368,1.1206044691812698,0.07983508528458483,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.0011044441255523285,False,False,False,True,
B136,EW_BAND,S1_maxISSharpe_unrestricted,1.25,False,1.0950587358685693,0.13541541187295225,-0.12966871751059872,1.1182364650339633,0.13334688421795082,-0.19893939688376616,1.1206044691812698,0.07983508528458483,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.002368004147306424,False,True,False,True,
B136,EW_ELIG,S1_maxISSharpe_admissible,1.0,True,1.0263132745574806,0.0965508820380847,-0.1063033785350741,1.0834130807039024,0.09590790658863724,-0.15950427524965027,1.1206044691812698,0.07983508528458483,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.03719138847736736,False,False,False,False,
B136,EW_ELIG,S2_memo_smallestG_clearing_IS_4b_bars,,,,,,,,,,,,,,,,,,,,no admissible gross clears the IS 4b bars
B136,EW_ELIG,S1_maxISSharpe_unrestricted,1.25,False,1.0269741911516872,0.12066788315878596,-0.13182910444504048,1.0818862254063302,0.11985264144391583,-0.19719373787610905,1.1206044691812698,0.07983508528458483,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.0387182437749396,False,True,False,True,
