panel,book,cost,arm,kind,m,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe_full,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross,pass4a,TO,book_id,b_s1,b_s2,b_soos,b_sdd,b_scagr,bi_s1,bi_s2,bi_sdd,bi_scagr,front
u56,V1u,10.0,control,ctl,1.0,0.06297377249874825,0.6628051083845784,-0.15672092223908318,0.6818809824276346,0.6498314418932896,0.7135835570891119,0.05252287623428464,0.5961099815679317,-0.13035468667421723,0.7487267393415952,0.447100124213319,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593,False,23.235629037526,u56|V1u|10.0|control,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,control,ctl,1.0,0.026556024035808035,0.3126738813902359,-0.19948029385501065,0.32764985175717887,0.3014333817637421,0.3592038657013107,0.019190398794172614,0.25045220562899934,-0.15024600372225128,0.426360415362552,0.07970688337402823,0.032674555494910607,0.3592038657013107,-0.19948029385500987,0.749893462556593,False,23.235629037526,u56|V1u|25.0|control,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,g200-dg,gate,1.0,0.061519793807876866,0.6521603817962626,-0.14051673107873974,0.663668405861618,0.6454536203790463,0.710019199890369,0.05035257708979257,0.575876828966793,-0.13611749021424646,0.7246596287644853,0.43067320806164544,0.07082486653664155,0.710019199890369,-0.14051673107873808,0.7256651420904467,False,22.85023808049835,u56|V1u|10.0|g200-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,g200-dg,gate,1.0,0.0257464205805642,0.30595951515995706,-0.17839510985144624,0.3099996945327022,0.30399040553519613,0.3620266797770612,0.01727628382679991,0.23087259803835172,-0.1546846392797484,0.4010800330597759,0.06570079788706214,0.03278946239010616,0.3620266797770612,-0.17839510985144758,0.7256651420904467,False,22.85023808049835,u56|V1u|25.0|g200-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,g200-rw,gate,1.0,0.06636733955682628,0.6798954117666615,-0.13827796154480831,0.6409087934305884,0.7170424490159388,0.7741172142433231,0.04925613582932131,0.5534299312214817,-0.13101770077431318,0.6769798109232875,0.43511284906621095,0.08069826783516665,0.7741172142433231,-0.13827796154480798,0.7500306958886649,False,23.62078377846554,u56|V1u|10.0|g200-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,g200-rw,gate,1.0,0.029236516755337227,0.33280815223151716,-0.15629933763153747,0.2848945732875525,0.37545723513267054,0.4264805827911139,0.015154355024209254,0.20560330044696404,-0.15629933763153747,0.3566697840835882,0.06178661293471834,0.04100477946672165,0.4264805827911139,-0.14177187688535975,0.7500306958886649,False,23.62078377846554,u56|V1u|25.0|g200-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,band3-dg,gate,1.0,0.062122395259848195,0.656496494714766,-0.14551358300164574,0.6612687898419901,0.6556900199754405,0.7193257647884539,0.05019385916852559,0.5734271307565257,-0.13085395776429964,0.7044484702195719,0.4458690926756369,0.07206835543124734,0.7193257647884539,-0.1455135830016454,0.7328635251331524,False,22.787689388814783,u56|V1u|10.0|band3-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,band3-dg,gate,1.0,0.02642497485632278,0.3120935543557641,-0.17975876163256654,0.30692565631851915,0.3181064580283119,0.37499504495159813,0.01699792817858925,0.22767713557128538,-0.1503504716556583,0.38093034135192727,0.07936772409780339,0.03427039091076023,0.37499504495159813,-0.17975876163256566,0.7328635251331524,False,22.787689388814783,u56|V1u|25.0|band3-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,band3-rw,gate,1.0,0.06553776027593372,0.676568440572967,-0.1362139229241568,0.6330690816917914,0.7177018083718305,0.774887069713669,0.04754023812741992,0.5433249907327191,-0.1304379725668554,0.6406627865129051,0.4471805884339653,0.08062280320732595,0.774887069713669,-0.13621392292415668,0.7498925109129211,False,22.955990574429613,u56|V1u|10.0|band3-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,band3-rw,gate,1.0,0.029464852333476843,0.3367902483899083,-0.14956446140605062,0.27911465615254544,0.3874449603884941,0.4378039357886696,0.014249092014985587,0.19791862035120955,-0.14956446140605062,0.3162391717002136,0.0818206465695249,0.04219337560867964,0.4378039357886696,-0.1410745957419568,0.7498925109129211,False,22.955990574429613,u56|V1u|25.0|band3-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,abs12-dg,gate,1.0,0.0615358545387823,0.6568909235648656,-0.13621392292415646,0.6309788714023126,0.6826383904553907,0.7450062488279505,0.04614460864521974,0.5388417263027288,-0.13412650837374251,0.6480393689806282,0.4361064489804331,0.07440782599996476,0.7450062488279505,-0.1362139229241568,0.7109711839242498,False,22.303267396158162,u56|V1u|10.0|abs12-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,abs12-dg,gate,1.0,0.026606014311714388,0.3162296642306198,-0.16288657057652012,0.2824871932607153,0.34678646650618916,0.4021914824024414,0.014185958784998398,0.1996487883085612,-0.15313311581338584,0.3374153388341899,0.07063302019869169,0.03697009543115359,0.4021914824024414,-0.16288657057651956,0.7109711839242498,False,22.303267396158162,u56|V1u|25.0|abs12-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,abs12-rw,gate,1.0,0.06416194783581197,0.6610589089882151,-0.14598353397334585,0.6312021701178266,0.690230252516765,0.7494214357057343,0.04822869858921708,0.5429100111738232,-0.14598353397334585,0.6894040583340878,0.3962707278288361,0.07749304992217221,0.7494214357057343,-0.14559327024567947,0.7498962551217799,False,23.00066333923166,u56|V1u|10.0|abs12-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,abs12-rw,gate,1.0,0.028065919354677726,0.32229712590543447,-0.1685027658588738,0.28617258994430694,0.35490985341979164,0.40756707615176524,0.015286322859140888,0.2069758956361316,-0.16553963872050514,0.3827725725870479,0.03206581424965468,0.03873330018332122,0.40756707615176524,-0.1685027658588728,0.7498962551217799,False,23.00066333923166,u56|V1u|25.0|abs12-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,vol60-dg,gate,1.0,0.06297377249874825,0.6628051083845784,-0.15672092223908318,0.6818809824276346,0.6498314418932896,0.7135835570891119,0.05252287623428464,0.5961099815679317,-0.13035468667421723,0.7487267393415952,0.447100124213319,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593,False,23.235629037526,u56|V1u|10.0|vol60-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,vol60-dg,gate,1.0,0.026556024035808035,0.3126738813902359,-0.19948029385501065,0.32764985175717887,0.3014333817637421,0.3592038657013107,0.019190398794172614,0.25045220562899934,-0.15024600372225128,0.426360415362552,0.07970688337402823,0.032674555494910607,0.3592038657013107,-0.19948029385500987,0.749893462556593,False,23.235629037526,u56|V1u|25.0|vol60-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,vol60-rw,gate,1.0,0.06297377249874825,0.6628051083845784,-0.15672092223908318,0.6818809824276346,0.6498314418932896,0.7135835570891119,0.05252287623428464,0.5961099815679317,-0.13035468667421723,0.7487267393415952,0.447100124213319,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593,False,23.235629037526,u56|V1u|10.0|vol60-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,vol60-rw,gate,1.0,0.026556024035808035,0.3126738813902359,-0.19948029385501065,0.32764985175717887,0.3014333817637421,0.3592038657013107,0.019190398794172614,0.25045220562899934,-0.15024600372225128,0.426360415362552,0.07970688337402823,0.032674555494910607,0.3592038657013107,-0.19948029385500987,0.749893462556593,False,23.235629037526,u56|V1u|25.0|vol60-rw,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,10.0,v1gate-dg,gate,1.0,0.061519793807876866,0.6521603817962626,-0.14051673107873974,0.663668405861618,0.6454536203790463,0.710019199890369,0.05035257708979257,0.575876828966793,-0.13611749021424646,0.7246596287644853,0.43067320806164544,0.07082486653664155,0.710019199890369,-0.14051673107873808,0.7256651420904467,False,22.85023808049835,u56|V1u|10.0|v1gate-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
u56,V1u,25.0,v1gate-dg,gate,1.0,0.0257464205805642,0.30595951515995706,-0.17839510985144624,0.3099996945327022,0.30399040553519613,0.3620266797770612,0.01727628382679991,0.23087259803835172,-0.1546846392797484,0.4010800330597759,0.06570079788706214,0.03278946239010616,0.3620266797770612,-0.17839510985144758,0.7256651420904467,False,22.85023808049835,u56|V1u|25.0|v1gate-dg,0.9566200326036914,0.834015937642442,0.8820107671822842,-0.3371723528339826,0.15228044986566602,0.8377514375290722,1.0603129944685672,-0.22061944945147505,0.149587948062176,False
