panel,cadence,chooser,book,gross,IS_Sharpe,IS_pct,IS_pass4b,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,BASE_OOS_CAGR,BASE_OOS_Sharpe,BASE_OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,OOS_pass4b,OOS_pass4a
U56,W,C_IS4B,BAND03,1.0,1.1047430247335037,100.0,False,0.1266852163572325,1.2755286548566704,-0.15910997512978242,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,True,True,True,True,True,False
U56,W,C_ISSHARPE,BAND03,1.0,1.1047430247335037,100.0,False,0.1266852163572325,1.2755286548566704,-0.15910997512978242,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,True,True,True,True,True,False
U56,W,C_ISPCT,BAND03,1.0,1.1047430247335037,100.0,False,0.1266852163572325,1.2755286548566704,-0.15910997512978242,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,True,True,True,True,True,False
U56,M,C_IS4B,TOP5,0.5,1.2769317256578516,100.0,True,0.10456748124466153,0.8141342436803186,-0.19108238464740146,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,False,False,True,False,False,False
U56,M,C_ISSHARPE,TOP5,1.0,1.282691859651509,99.0,False,0.2045409844219146,0.8310364741047207,-0.34606700062524387,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,False,False,False,True,False,False
U56,M,C_ISPCT,TOP5,0.75,1.2798988951942742,100.0,False,0.15528350227622734,0.8226106484111861,-0.27242453376223486,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,False,False,False,True,False,False
U56,Q,C_IS4B,TOP10,0.5,1.1513764198226546,88.0,True,0.09359620909160049,0.8456005413155426,-0.1680340566526537,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,False,False,True,False,False,False
U56,Q,C_ISSHARPE,TOP5,1.0,1.3039655962935717,95.5,False,0.11806444743968791,0.5452756000615002,-0.3847875725918466,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,False,False,False,True,False,False
U56,Q,C_ISPCT,EWELIG,0.5,1.1330083864898493,100.0,False,0.07694932520549802,1.0372540959322707,-0.1508349339412699,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,True,True,True,True,False,False,False
B136,W,C_IS4B,BAND03,1.0,1.0927413254606884,100.0,True,0.1052418687479828,1.1048029424254948,-0.16157983013208965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,True,True,True,True,False,False,False
B136,W,C_ISSHARPE,BAND03,1.0,1.0927413254606884,100.0,True,0.1052418687479828,1.1048029424254948,-0.16157983013208965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,True,True,True,True,False,False,False
B136,W,C_ISPCT,BAND03,1.0,1.0927413254606884,100.0,True,0.1052418687479828,1.1048029424254948,-0.16157983013208965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,True,True,True,True,False,False,False
