panel,f,gross,window,d_mean_bp,se_bp,t,sharpe_f,sharpe_anchor,d_sharpe,dd_f,dd_anchor,d_dd_pp
U56,0.0,0.75,FULL,-0.11584882475031326,0.06486694671934355,-1.7859453945250476,1.1481623765033833,1.1536628182453899,-0.00550044174200659,-0.19104399631639812,-0.19127562163086154,0.023162531446341283
U56,0.0,0.75,OOS,-0.18626095185735744,0.11041146861505123,-1.686971056482863,1.1730934108649913,1.1856777042016957,-0.01258429333670441,-0.19104399631639812,-0.19127562163086176,0.023162531446363488
U56,0.25,0.75,FULL,-0.08657990938118151,0.048554709685235176,-1.7831413253719708,1.1500961634937135,1.1536628182453899,-0.0035666547516763902,-0.19104399631639768,-0.19127562163086154,0.023162531446385692
U56,0.25,0.75,OOS,-0.13930115681406216,0.08260554481043501,-1.6863414814796447,1.1767905361245568,1.1856777042016957,-0.008887168077138963,-0.19104399631639812,-0.19127562163086176,0.023162531446363488
U56,0.5,0.75,FULL,-0.057673424020198635,0.03235766686433288,-1.7823727607434743,1.1516222329179204,1.1536628182453899,-0.002040585327469424,-0.19104399631639823,-0.19127562163086154,0.02316253144633018
U56,0.5,0.75,OOS,-0.09279726935966381,0.055031104768076426,-1.6862694243691718,1.1800792047664705,1.1856777042016957,-0.005598499435225168,-0.19104399631639812,-0.19127562163086176,0.023162531446363488
U56,0.75,0.75,FULL,-0.028832079701901724,0.016180204071110846,-1.781935479626016,1.1528057871079433,1.1536628182453899,-0.0008570311374465067,-0.1910439963163979,-0.19127562163086154,0.023162531446363488
U56,0.75,0.75,OOS,-0.04639091444600735,0.027510863212254027,-1.686276220709195,1.1830349282106882,1.1856777042016957,-0.0026427759910074844,-0.19104399631639812,-0.19127562163086176,0.023162531446363488
B136,0.0,0.75,FULL,-0.04950606019631963,0.058439321099271586,-0.84713612795438,1.063996488564392,1.0653720113403453,-0.0013755227759533195,-0.18779405305211816,-0.2074018763117902,1.960782325967203
B136,0.0,0.75,OOS,-0.09588238724059787,0.11513351031051136,-0.8327930502770754,1.0129272458151457,1.017953764504917,-0.005026518689771331,-0.18779405305211805,-0.2074018763117903,1.9607823259672252
B136,0.25,0.75,FULL,-0.03705294054703453,0.043787120914182964,-0.846206367841664,1.0647769427222682,1.0653720113403453,-0.0005950686180771214,-0.18779405305211794,-0.2074018763117902,1.9607823259672252
B136,0.25,0.75,OOS,-0.07182426910370993,0.08626290016656339,-0.8326206163371022,1.0148463826267249,1.017953764504917,-0.0031073818781921503,-0.18779405305211805,-0.2074018763117903,1.9607823259672252
B136,0.5,0.75,FULL,-0.0246927072497489,0.029193968075794375,-0.845815381644621,1.0652579299564062,1.0653720113403453,-0.00011408138393909084,-0.1937512332602488,-0.2074018763117902,1.36506430515414
B136,0.5,0.75,OOS,-0.04789699457082333,0.05750890639705836,-0.8328622046840611,1.0163096993972456,1.017953764504917,-0.0016440651076714552,-0.19375123326024912,-0.2074018763117903,1.3650643051541178
B136,0.75,0.75,FULL,-0.012347318915341106,0.014597760160248363,-0.8458365379206937,1.0654546152236786,1.0653720113403453,8.26038833332543e-05,-0.20058606558243353,-0.2074018763117902,0.6815810729356664
B136,0.75,0.75,OOS,-0.02395605562773377,0.02875492404430161,-0.8331114208761461,1.0173439069926251,1.017953764504917,-0.0006098575122919225,-0.20058606558243341,-0.2074018763117903,0.6815810729356886
SMALL,0.0,0.75,FULL,0.0,0.0,,0.5091735910765686,0.5091735910765686,0.0,-0.3651051671527551,-0.3651051671527551,0.0
SMALL,0.0,0.75,OOS,0.0,0.0,,0.43984693026555094,0.43984693026555094,0.0,-0.365105167152756,-0.365105167152756,0.0
SMALL,0.25,0.75,FULL,0.0,0.0,,0.5091735910765686,0.5091735910765686,0.0,-0.3651051671527551,-0.3651051671527551,0.0
SMALL,0.25,0.75,OOS,0.0,0.0,,0.43984693026555094,0.43984693026555094,0.0,-0.365105167152756,-0.365105167152756,0.0
SMALL,0.5,0.75,FULL,0.0,0.0,,0.5091735910765686,0.5091735910765686,0.0,-0.3651051671527551,-0.3651051671527551,0.0
SMALL,0.5,0.75,OOS,0.0,0.0,,0.43984693026555094,0.43984693026555094,0.0,-0.365105167152756,-0.365105167152756,0.0
SMALL,0.75,0.75,FULL,0.0,0.0,,0.5091735910765686,0.5091735910765686,0.0,-0.3651051671527551,-0.3651051671527551,0.0
SMALL,0.75,0.75,OOS,0.0,0.0,,0.43984693026555094,0.43984693026555094,0.0,-0.365105167152756,-0.365105167152756,0.0
