panel,cadence,g_CAGR,g_DD,nonempty,n_pass4b
U56,D,0.9,1.4,True,11
U56,W,0.85,1.25,True,9
U56,M,0.85,1.05,True,5
U56,Q,0.95,0.75,False,0
B136,D,1.05,1.4,True,8
B136,W,1.05,1.25,True,5
B136,M,1.0,0.95,False,0
B136,Q,1.05,0.65,False,0
SMALL,D,,1.2,False,0
SMALL,W,,1.1,False,0
SMALL,M,,0.9,False,0
SMALL,Q,,0.6,False,0
