panel,sched,chooser,arm,gross,is_empty,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,OOS_L1_H1,OOS_L2_H2,OOS_L3_OOS,OOS_L4_DDcap,OOS_L5_CAGRfloor,OOS_4b,OOS_4a,spy_CAGR,spy_Sharpe,spy_MaxDD,v2_Sharpe,v2_MaxDD,ensemble
U56,shift0,BEST_IS_SHARPE,CAND20_NG,0.8,False,1.1714109518882165,0.1725295777837994,1.1410313646734176,-0.232944145725129,1.2504536321149584,1.0253643298279556,True,True,True,False,True,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift0,BEST_IS_4b,CAND20_NG,0.8,False,1.1714109518882165,0.1725295777837994,1.1410313646734176,-0.232944145725129,1.2504536321149584,1.0253643298279556,True,True,True,False,True,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift0,PUBLISHED_EWELIG,EWELIG,0.75,False,0.9696550391046768,0.11237410933899694,1.1045205259771187,-0.158746990312857,1.2688137823057253,0.9368109170287793,True,True,True,True,True,True,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift1,BEST_IS_SHARPE,CAND20_NG,0.05,False,1.1658211823962663,0.011029246331095033,1.1887428997509617,-0.015361077970315828,1.2606401058260215,1.1142813167673165,True,True,True,True,False,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift1,BEST_IS_4b,CAND20_NG,0.6,False,1.1604510707939295,0.13445942191084104,1.1896144657252956,-0.1726781103783518,1.2632935792891329,1.1132472920451848,True,True,True,True,True,True,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift1,PUBLISHED_EWELIG,EWELIG,0.75,False,0.962777531143986,0.11297036536971716,1.116148220487359,-0.175738433816237,1.2172983880383375,1.015322829632305,True,True,True,True,True,True,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift2,BEST_IS_SHARPE,CAND20_NG,0.8,False,1.2013520629799086,0.18662932696404755,1.2151559912742333,-0.2249119714635056,1.3461043769172352,1.076426116012961,True,True,True,False,True,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift2,BEST_IS_4b,CAND20_NG,0.8,False,1.2013520629799086,0.18662932696404755,1.2151559912742333,-0.2249119714635056,1.3461043769172352,1.076426116012961,True,True,True,False,True,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift2,PUBLISHED_EWELIG,EWELIG,0.75,False,1.0488287954036177,0.11378095297422663,1.10091562741198,-0.17408075297420456,1.3022044274152031,0.8945639989082563,True,True,True,True,True,True,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
U56,shift3,BEST_IS_SHARPE,CAND20_NG,0.05,False,1.1738423721904543,0.010906433559869644,1.167625989563114,-0.014590264185162516,1.2578717210845949,1.0730953040703126,True,True,True,True,False,False,False,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.2771844071673888,-0.12054947951644879,False
