k,n,books,keep4a,keep4b,both,best_Sharpe
12,36,1800,50,73,2,1.3142361838409393
12,48,1800,48,35,2,1.2651848750292805
12,64,2016,25,29,2,1.2900486171596262
12,84,1944,38,41,3,1.2171432200982994
12,110,2016,28,34,2,1.3014693184812973
12,134,2016,34,37,0,1.2593664637655946
24,36,1224,7,59,2,1.3478669331941666
24,48,1368,14,22,0,1.2031172723302967
24,64,1728,11,18,0,1.2054461054587695
24,84,1872,28,33,3,1.2987291435757402
24,110,1944,6,22,0,1.284226043281675
24,134,1944,5,40,0,1.330460013637911
36,36,432,0,0,0,1.1248218601919415
36,48,1008,3,21,0,1.1702439162950404
36,64,1368,1,5,0,1.199418541493453
36,84,1656,4,19,0,1.2248026448223162
36,110,1800,3,34,0,1.2380130247670715
36,134,1872,5,41,0,1.2251450376416755
