arm,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b,f4b,p4a
control,0.07049940049744285,0.5374688874447029,-0.34024530376476525,0.6185103570731859,0.4662440403685096,0.07009360638757411,0.5487617712918088,-0.2502877994446302,0.07075009526850029,0.5310569496765438,-0.34024530376476436,33.31126274169778,-0.27215011539492007,-0.3914624337444383,-0.3509538175057404,-0.13794189206437568,-0.028409587837384023,False,"H1,H2,OOS,DD,CAGR",False
g200-dg,0.0724140568072773,0.555706473288694,-0.3345902662932094,0.6159762726482509,0.5011023811199776,0.06951298651569737,0.5454187400661762,-0.23624387262439672,0.0742096834139776,0.5618565461326267,-0.33459026629321176,32.85182495569923,-0.27468419981985503,-0.35660409299297025,-0.3201542210496575,-0.13228685459281986,-0.026494931527549573,False,"H1,H2,OOS,DD,CAGR",False
g200-rw,0.08731316332403005,0.6339975066098719,-0.32835737716197944,0.6893969211991025,0.5871739869865857,0.08524558883332123,0.6404312153221082,-0.21655779546447973,0.0885920617525009,0.630593571278528,-0.3283573771619782,33.469601889405254,-0.20126355126900353,-0.27053248712636213,-0.2514171959037562,-0.12605396546158987,-0.011595825010796826,False,"H1,H2,OOS,DD,CAGR",False
band3-dg,0.06716743995242092,0.5201007624939249,-0.3347324454542713,0.6262367965555824,0.4243689317584503,0.0714157401358233,0.5581730464684345,-0.24959041940747173,0.0645521139372911,0.497596534641241,-0.3347324454542717,32.63764059055182,-0.2644236759125236,-0.43333754235449756,-0.38441423254104323,-0.1324290337538817,-0.03174154838240596,False,"H1,H2,OOS,DD,CAGR",False
band3-rw,0.06891102296980889,0.5095456113470204,-0.37111434259352494,0.6160217329998123,0.42161258438199534,0.06926058761372067,0.5335651226245883,-0.25232502804120727,0.06869518939261265,0.4966870301146301,-0.3711143425935256,33.86832175557276,-0.27463873946829365,-0.43609388973095253,-0.3853237370676541,-0.16881093089313537,-0.02999796536501799,False,"H1,H2,OOS,DD,CAGR",False
abs12-dg,0.07179822820105741,0.5532353166456216,-0.3397344225235456,0.6225272099059589,0.490037945819918,0.07046735130446824,0.552598692886324,-0.25028779944463153,0.07262100240294678,0.553603682294185,-0.33973442252354524,32.78504196644148,-0.2681332625621471,-0.3676685282930299,-0.3284070848880992,-0.137431010823156,-0.027110760133769465,False,"H1,H2,OOS,DD,CAGR",False
abs12-rw,0.08360160595153832,0.6218617016046751,-0.3074230369553096,0.6470627271611378,0.6002611972524411,0.07716659367462686,0.5933040343818488,-0.2502877994446291,0.08759504920666195,0.6388490026755541,-0.3074230369553095,33.20754494307387,-0.2435977453069682,-0.2574452768605068,-0.2431617645067301,-0.10511962525492002,-0.015307382383288562,False,"H1,H2,OOS,DD,CAGR",False
vol60-dg,0.0691160091394003,0.5314169853119894,-0.34024530376476536,0.6185103570731859,0.4534030110846457,0.07009360638757411,0.5487617712918088,-0.2502877994446302,0.06851269253066272,0.5212426988023865,-0.34024530376476536,33.269083132119896,-0.27215011539492007,-0.40430346302830217,-0.3607680683798977,-0.1379418920643758,-0.029792979195426575,False,"H1,H2,OOS,DD,CAGR",False
vol60-rw,0.06525204809527518,0.5047829777828462,-0.3402453037647658,0.6185103570731859,0.40369461206162105,0.07009360638757411,0.5487617712918088,-0.2502877994446302,0.062272856359570916,0.4791292491890512,-0.34024530376476436,33.32491808299116,-0.27215011539492007,-0.4540118620513268,-0.402881517993233,-0.13794189206437624,-0.033656940239551694,False,"H1,H2,OOS,DD,CAGR",False
v1gate-dg,0.07353745138934542,0.5648097175046467,-0.334590266293209,0.6159762726482509,0.518023415518554,0.06951298651569737,0.5454187400661762,-0.23624387262439672,0.07603051642667524,0.576436645999109,-0.3345902662932111,32.81188030699333,-0.27468419981985503,-0.33968305859439385,-0.3055741211831752,-0.13228685459281941,-0.025371536945481457,False,"H1,H2,OOS,DD,CAGR",False
v1gate-rw,0.08151457044948507,0.602741497721984,-0.3283573771619781,0.6893969211991025,0.5262691942155566,0.08524558883332123,0.6404312153221082,-0.21655779546447973,0.07921670849894169,0.5806618551671671,-0.3283573771619781,33.38725095730584,-0.20126355126900353,-0.33143727989739125,-0.30134891201511715,-0.12605396546158854,-0.01739441788534181,False,"H1,H2,OOS,DD,CAGR",False
