panel,N,gross,coarse,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,isCAGR,isSharpe,isMaxDD,isCalmar,is4b_legs,mean_names,mean_gross,turnover_yr,keep4a,keep4b,keep4a_oos,keep4b_oos,leg_H1,leg_H2,leg_DD,leg_CAGR,oleg_H1,oleg_H2,oleg_DD,oleg_CAGR
B136,10,0.5,True,0.1232012273414056,1.0613443269129386,-0.1381853717952406,1.370270076422935,0.8337867815148784,0.1125696191944967,0.9168642618560761,-0.13818537179524093,0.13626886572354513,1.2838074749204558,-0.13162649965825668,1.035269235885946,4,9.989208633093526,0.5005081563250936,2.2815591255909724,False,True,False,False,True,True,True,True,False,True,True,True
B136,14,0.5,True,0.11793319977291472,1.0955896367613709,-0.13924425146592423,1.2721964025202699,0.9698062062607345,0.12154754429920178,1.0553197516460344,-0.13924425146592445,0.1135529725330231,1.1640977143167137,-0.1158562650365309,0.980119396195091,4,13.967625899280575,0.5004936889148879,2.230476496576854,False,True,False,False,True,True,True,True,False,True,True,True
B136,20,0.5,True,0.10686586472154769,1.0632262523902725,-0.14172761237675735,1.279448106942211,0.8943683241694468,0.10796848788603208,1.015478480388993,-0.14172761237675757,0.105526285631512,1.1373397024882232,-0.09850492409385492,1.0712792949413086,4,19.93345323741007,0.5004538960400289,2.201658715123181,False,True,False,True,True,True,True,True,True,True,True,True
B136,28,0.5,True,0.10867743868361956,1.106123187579835,-0.15733005930267796,1.3024447966117256,0.9592595696930342,0.11057485371920528,1.058340689711485,-0.1573300593026774,0.10637408913387203,1.182681999943455,-0.08765527033371168,1.2135504086507987,4,27.848696043165468,0.5004625390303518,2.1461123229491,False,True,False,True,True,True,True,True,True,True,True,True
B136,40,0.5,True,0.10159238198699394,1.0855039393507024,-0.17496239639891453,1.2570217384403835,0.9576400952466367,0.10420157284022169,1.0493834278344008,-0.1749623963989142,0.0984272794998331,1.1438605911174329,-0.0893141338989516,1.1020347531018098,3,39.64973021582734,0.5004103075859244,2.0763647692634017,False,False,False,False,True,True,True,False,True,True,True,False
B136,8,0.75,False,0.18184405596414432,1.01044984091731,-0.2162050947772397,1.3640537128038648,0.7468522868701027,0.15205499375638154,0.8216245895157528,-0.2162050947772397,0.21911484565067196,1.2954968302097425,-0.21002325446341719,1.0432884977926975,3,7.9977517985611515,0.7503721455026415,3.3673098070028544,False,False,False,False,True,False,False,True,False,True,False,True
B136,10,0.75,True,0.1852025697960411,1.0647436931184076,-0.20203525823476864,1.3726562694062119,0.8382091800189118,0.16773144987130229,0.92120995739456,-0.2020352582347692,0.2068043734117606,1.285994052600802,-0.1921818273417295,1.0760870383651306,3,9.989208633093526,0.7503640324102481,3.358457867479374,False,True,False,False,True,True,True,True,False,True,True,True
B136,12,0.75,False,0.17707915917078298,1.0567620898439358,-0.211707853305253,1.3182381749640837,0.8655069383516808,0.16758287508042335,0.9490643884427937,-0.21170785330525266,0.1887331049969312,1.2241120450364842,-0.1787111840682195,1.056078868152348,3,11.97841726618705,0.7503531899627124,3.3310983760043227,False,False,False,False,True,True,False,True,False,True,False,True
B136,14,0.75,True,0.17758360063326517,1.0983983558052957,-0.20333643614449637,1.27437045794745,0.9733019947122913,0.18271368691990109,1.0587658116139493,-0.20333643614449637,0.17137414902272652,1.1660942943525876,-0.1697159600432765,1.0097703773942486,3,13.967625899280575,0.7503556399606522,3.286418454095384,False,False,False,False,True,True,False,True,False,True,False,True
B136,17,0.75,False,0.171349780599372,1.1037881471205586,-0.1901855990666711,1.316132628700465,0.9356761807234231,0.1731731109548702,1.062847468392094,-0.1901855990666712,0.16913598635371008,1.1660605401700133,-0.1567732970575615,1.0788571110525886,3,16.951663669064747,0.7503455599088121,3.2451605505617205,False,True,False,True,True,True,True,True,True,True,True,True
