block,conf,cells,pass4b_full,resolved_full,pass4b_oos,resolved_oos,pass_both,resolved_both
21,0.9,420,187,0,225,0,187,0
21,0.95,420,187,0,225,0,187,0
21,0.99,420,187,0,225,0,187,0
63,0.9,420,187,0,225,0,187,0
63,0.95,420,187,0,225,0,187,0
63,0.99,420,187,0,225,0,187,0
