window,total_edge,phi_EQETF24,phi_SINGLE20,phi_NONEQ12,residual,share_EQETF24,share_SINGLE20,share_NONEQ12
FULL,0.23524269073219295,-0.048164423756534035,0.47984649668015855,-0.1964393821914316,0.0,-0.20474355061414343,2.039793437095266,-0.8350498864811228
IS,0.21133736794814129,-0.030128304553646443,0.565775333537009,-0.3243096610352213,0.0,-0.14256023364992146,2.677119238448361,-1.5345590047984394
OOS,0.25414549719881574,-0.06363626099273856,0.41881065115832294,-0.10102889296676863,0.0,-0.2503930295603722,1.6479168656318595,-0.39752383607148717
ISH1_HALF,0.20061863678966363,-0.042284205276273926,0.3193075693581441,-0.07640472729220649,-5.551115123125783e-17,-0.21076907884986942,1.5916146897803845,-0.3808456109305147
ISH2_HALF,0.2285846207648985,-0.01621895592170923,0.9135294227283731,-0.6687258460417655,1.1102230246251565e-16,-0.07095383699671809,3.9964605653323764,-2.925506728335659
CAL0912,0.20148633971532082,-0.046172223687738316,0.30655758797288474,-0.058899024569825646,5.551115123125783e-17,-0.22915808462734918,1.5214807535142016,-0.2923226688868527
CAL0910,0.39303029554131297,-0.10445891543121721,0.5462390044943531,-0.04874979352182295,0.0,-0.26577827871347165,1.38981399319874,-0.1240357144852684
CAL1112,-0.02218474387304603,0.0027016166888887225,0.046069123335564906,-0.07095548389749964,-1.3877787807814457e-17,-0.12177813295248932,-2.0766128110019726,3.198390943954461
CAL1316,0.22593593677109114,-0.008656502055618409,0.9257869747892032,-0.6911945359624937,0.0,-0.03831396713303212,4.097564061830376,-3.059250094697344
Y2009,0.46838525787463015,-0.11392674687306761,0.7937569838451218,-0.21144497909742427,1.6653345369377348e-16,-0.2432329902739204,1.6946668805224907,-0.45143389024857067
Y2010,0.3025565481143212,-0.08769053828145557,0.22684670937065426,0.16340037702512247,0.0,-0.2898318969726004,0.7497663190053983,0.5400655779672021
Y2011,-0.05075123772520493,-0.10125190825040987,-0.011155562544685117,0.06165623306989006,1.3877787807814457e-17,1.9950628356818274,0.21980867944713897,-1.2148715151289662
Y2012,-0.043406092609856284,0.20652563243998015,0.09776757024291087,-0.3476992952927473,0.0,-4.757987186183262,-2.2523927947550537,8.010379980938314
Y2013,-0.016215397342913995,-0.07431326657541582,1.547246287230647,-1.4891484179981451,0.0,4.582882861510029,-95.41833940361515,91.83545654210512
Y2014,-0.1607165171805871,0.19831453830616028,0.4981747845784222,-0.8572058400651695,0.0,-1.233939994377346,-3.0997111766592997,5.333651171036645
Y2015,0.3626968723031386,-0.08751853704924362,1.2693044586627293,-0.8190890493103473,2.7755575615628914e-16,-0.24129939829229202,3.4996289066475788,-2.258329508355287
Y2016,0.5421859741008502,-0.06322038541848232,0.4527821110163166,0.15262424850301587,1.1102230246251565e-16,-0.11660276812458248,0.835104802862525,0.28149796526205734
