m_max,family_admits,mstar_rule_admits,agree_mstar,calmar_bar_admits,agree_calmar,ceiling_binds,no_admissible_m
1.0,58,58,1.0,91,0.8921568627450981,127,0
1.3,72,72,1.0,91,0.9313725490196079,54,0
