panel,book,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pub_CAGR,pub_Sharpe,pub_MaxDD,maxd,verdict
U56,U56-band0.08-g1.00,0.11989738418987961,1.161541176122481,-0.19050611381992255,0.1199,1.162,-0.1905,0.0004588238775189435,PASS
U56,U56-qroll-q0.17-w1008-d0.50,0.15599769651672202,1.2933308155679046,-0.15593611048389855,0.156,1.293,-0.1559,0.00033081556790470756,PASS
B136,B136-band0.08-g1.00,0.11047139028283737,1.0974353329692366,-0.19499148724221482,0.1105,1.097,-0.195,0.00043533296923659037,PASS
B136,B136-qroll-q0.12-w1008-d0.50,0.14297733640099985,1.15720547245826,-0.1731435846226136,0.143,1.157,-0.1731,0.00020547245826008087,PASS
