SET,TOL,CHOOSER,moves,observed,null_mean,gap,p
ALL4,T_NONE,CH_WIDEST,38,0.9958652577472178,1.0701203562053414,-0.07425509845812361,0.9485
ALL4,T_EXACT,CH_WIDEST,42,0.9892083607081603,1.0669371821022287,-0.07772882139406834,0.95475
ALL4,T_095,CH_WIDEST,42,0.9892083607081603,1.0677958751325691,-0.07858751442440881,0.9535
ALL4,T_090,CH_WIDEST,42,0.9802541555317061,1.0636055132979096,-0.0833513577662035,0.9625
ALL4,T_080,CH_WIDEST,36,1.0292374325957119,1.065290852113102,-0.03605341951739005,0.77075
ALL4,T_060,CH_WIDEST,34,1.0649286546765324,1.0736470150199575,-0.008718360343425102,0.568
NG3,T_NONE,CH_WIDEST,38,0.9958652577472178,1.069623376439311,-0.07375811869209326,0.93975
NG3,T_EXACT,CH_WIDEST,42,0.9892083607081603,1.0674372373043024,-0.07822887659614208,0.9525
NG3,T_095,CH_WIDEST,42,0.9892083607081603,1.0680145344362153,-0.07880617372805498,0.9555
NG3,T_090,CH_WIDEST,42,0.9802541555317061,1.0633376348391899,-0.08308347930748372,0.96075
NG3,T_080,CH_WIDEST,36,1.0292374325957119,1.0655070457820541,-0.03626961318634225,0.76275
NG3,T_060,CH_WIDEST,34,1.0649286546765324,1.0749379785893969,-0.010009323912864465,0.57575
NHG,T_NONE,CH_WIDEST,42,1.0069295439695307,1.0738215935533453,-0.06689204958381456,0.91925
NHG,T_EXACT,CH_WIDEST,42,0.9892083607081603,1.0676332005436395,-0.07842483983547921,0.9495
NHG,T_095,CH_WIDEST,42,0.9892083607081603,1.0681288112141016,-0.07892045050594132,0.952
NHG,T_090,CH_WIDEST,42,0.9802541555317061,1.0622167974269379,-0.08196264189523172,0.957
NHG,T_080,CH_WIDEST,36,1.0292374325957119,1.0653474548014241,-0.036110022205712244,0.76825
NHG,T_060,CH_WIDEST,34,1.0649286546765324,1.073199303004546,-0.008270648328013497,0.5705
NH,T_NONE,CH_WIDEST,42,1.0069295439695307,1.07446414534085,-0.06753460137131939,0.92825
NH,T_EXACT,CH_WIDEST,42,0.9892083607081603,1.0681110562263567,-0.0789026955181964,0.954
NH,T_095,CH_WIDEST,42,0.9892083607081603,1.0680766469566252,-0.07886828624846487,0.94925
NH,T_090,CH_WIDEST,42,0.9802541555317061,1.0648813706744304,-0.08462721514272431,0.96525
NH,T_080,CH_WIDEST,36,1.0292374325957119,1.0645660847521017,-0.035328652156389806,0.7735
NH,T_060,CH_WIDEST,34,1.0649286546765324,1.073655444550163,-0.008726789873630514,0.5695
