panel,conv,bps,window,zero_at_n,n_grid_max,excess_at_nmax,monotone,real_gross,mean_held,overlap,turn_yr,CAGR,Sharpe,MaxDD
B136,FIXED,0,FULL,90,180,-0.019759309329018038,False,0.6692419200789097,80.3300760043431,0.6114605936622942,5.518577993290745,0.10501859588175999,1.1298457077422848,-0.15824692052163258
B136,FIXED,0,H1,90,180,-0.016916152723274847,False,0.6692419200789097,80.3300760043431,0.6114605936622942,5.518577993290745,0.10501859588175999,1.1298457077422848,-0.15824692052163258
B136,FIXED,0,H2,-1,180,-0.0291242366578357,False,,,,,,,
B136,FIXED,0,OOS,90,180,0.030610017814029167,False,0.6692419200789097,80.3300760043431,0.6114605936622942,5.518577993290745,0.10501859588175999,1.1298457077422848,-0.15824692052163258
B136,FIXED,10,FULL,-1,180,-0.06345116893352465,False,,,,,,,
B136,FIXED,10,H1,-1,180,-0.057474633780611795,False,,,,,,,
B136,FIXED,10,H2,-1,180,-0.07583526770385951,False,,,,,,,
B136,FIXED,10,OOS,-1,180,-0.015840699909965172,False,,,,,,,
B136,FIXED,25,FULL,-1,180,-0.12909681352523728,False,,,,,,,
B136,FIXED,25,H1,-1,180,-0.11841274649081401,False,,,,,,,
B136,FIXED,25,H2,-1,180,-0.1460153868926638,False,,,,,,,
B136,FIXED,25,OOS,-1,180,-0.08564087623440741,False,,,,,,,
B136,NORM,0,FULL,-1,180,-0.024322176405493945,False,,,,,,,
B136,NORM,0,H1,-1,180,-0.01967156568989714,False,,,,,,,
B136,NORM,0,H2,-1,180,-0.0327258624082728,False,,,,,,,
B136,NORM,0,OOS,-1,180,-0.008446792922117252,False,,,,,,,
B136,NORM,10,FULL,-1,180,-0.09669347444675291,False,,,,,,,
B136,NORM,10,H1,-1,180,-0.08785099607833446,False,,,,,,,
B136,NORM,10,H2,-1,180,-0.10907762446056413,False,,,,,,,
B136,NORM,10,OOS,-1,180,-0.08315118420322065,False,,,,,,,
B136,NORM,25,FULL,-1,180,-0.20552370975586887,False,,,,,,,
B136,NORM,25,H1,-1,180,-0.1904153358816374,False,,,,,,,
B136,NORM,25,H2,-1,180,-0.22385045309979457,False,,,,,,,
B136,NORM,25,OOS,-1,180,-0.19548713041255428,False,,,,,,,
SMALL439,FIXED,0,FULL,-1,180,-0.27802995823645693,False,,,,,,,
SMALL439,FIXED,0,H1,-1,180,-0.28740059296006937,False,,,,,,,
SMALL439,FIXED,0,H2,-1,180,-0.29863545752682613,False,,,,,,,
SMALL439,FIXED,0,OOS,10,180,-0.3161144024329926,False,0.7465280296738691,9.951040391676866,0.029647482196304475,24.105296437177213,0.10360380826511095,0.600689197112836,-0.28975069238962414
SMALL439,FIXED,10,FULL,-1,180,-0.3462254123964891,False,,,,,,,
SMALL439,FIXED,10,H1,-1,180,-0.3485779672715195,False,,,,,,,
SMALL439,FIXED,10,H2,-1,180,-0.3729163250704619,False,,,,,,,
SMALL439,FIXED,10,OOS,-1,180,-0.38963672717171777,False,,,,,,,
SMALL439,FIXED,25,FULL,-1,180,-0.44852855834727856,False,,,,,,,
SMALL439,FIXED,25,H1,-1,180,-0.4402843412004828,False,,,,,,,
SMALL439,FIXED,25,H2,-1,180,-0.48439319199853287,False,,,,,,,
SMALL439,FIXED,25,OOS,-1,180,-0.49994725838515675,False,,,,,,,
SMALL439,NORM,0,FULL,-1,180,-0.25087528704680473,False,,,,,,,
SMALL439,NORM,0,H1,-1,180,-0.2765692615309002,False,,,,,,,
SMALL439,NORM,0,H2,-1,180,-0.2546382514892268,False,,,,,,,
SMALL439,NORM,0,OOS,10,180,-0.25168495344199754,False,0.7501772126676086,9.951040391676866,0.029647482196304475,24.26576566618554,0.10397199593628859,0.6004028651141481,-0.3122703077305108
SMALL439,NORM,10,FULL,-1,180,-0.3393288785703395,False,,,,,,,
SMALL439,NORM,10,H1,-1,180,-0.35875944200907656,False,,,,,,,
SMALL439,NORM,10,H2,-1,180,-0.3488746269644307,False,,,,,,,
SMALL439,NORM,10,OOS,-1,180,-0.34377767538228826,False,,,,,,,
SMALL439,NORM,25,FULL,-1,180,-0.47184882323545685,False,,,,,,,
SMALL439,NORM,25,H1,-1,180,-0.48190355024741977,False,,,,,,,
SMALL439,NORM,25,H2,-1,180,-0.490044007433102,False,,,,,,,
SMALL439,NORM,25,OOS,-1,180,-0.48175021833482634,False,,,,,,,
U56,FIXED,0,FULL,20,180,0.04312749103780367,False,0.7168121231366668,19.112920738327905,0.35345999206143136,9.630697602931692,0.13749194096574557,1.1754612589614932,-0.18220028691098478
U56,FIXED,0,H1,-1,180,-0.06378319191903148,False,,,,,,,
U56,FIXED,0,H2,5,180,0.13490287254506672,False,0.7411050184279347,4.938110749185668,0.09135145129193242,17.62247240908476,0.18590061325250695,1.049348231005094,-0.20506670999773924
U56,FIXED,0,OOS,20,180,0.16388118354662495,False,0.7168121231366668,19.112920738327905,0.35345999206143136,9.630697602931692,0.13749194096574557,1.1754612589614932,-0.18220028691098478
U56,FIXED,10,FULL,-1,180,-0.0008306381362981341,False,,,,,,,
U56,FIXED,10,H1,-1,180,-0.10740672637497761,False,,,,,,,
U56,FIXED,10,H2,20,180,0.09053846038946256,False,0.7168121231366668,19.112920738327905,0.35345999206143136,9.630697602931692,0.1265975390868721,1.092137077359415,-0.1830834120957815
U56,FIXED,10,OOS,20,180,0.12000221852456949,False,0.7168121231366668,19.112920738327905,0.35345999206143136,9.630697602931692,0.1265975390868721,1.092137077359415,-0.1830834120957815
U56,FIXED,25,FULL,-1,180,-0.0668971001043841,False,,,,,,,
U56,FIXED,25,H1,-1,180,-0.1729529763522366,False,,,,,,,
U56,FIXED,25,H2,40,180,0.023847639722581748,False,0.647740459931684,34.542888165038,0.6385865171716337,5.01969512284545,0.08870878422890449,1.0359078410043792,-0.14070773331084885
U56,FIXED,25,OOS,40,180,0.05403185998162674,False,0.647740459931684,34.542888165038,0.6385865171716337,5.01969512284545,0.08870878422890449,1.0359078410043792,-0.14070773331084885
U56,NORM,0,FULL,20,180,0.0012450338985348086,False,0.750284174969652,19.112920738327905,0.35345999206143136,10.996244326314217,0.1403482924152546,1.1550945119504794,-0.18220028691098467
U56,NORM,0,H1,-1,180,-0.04799503444964803,False,,,,,,,
U56,NORM,0,H2,20,180,0.04142157436135219,False,0.750284174969652,19.112920738327905,0.35345999206143136,10.996244326314217,0.1403482924152546,1.1550945119504794,-0.18220028691098467
U56,NORM,0,OOS,20,180,0.05329697470136385,False,0.750284174969652,19.112920738327905,0.35345999206143136,10.996244326314217,0.1403482924152546,1.1550945119504794,-0.18220028691098467
U56,NORM,10,FULL,-1,180,-0.0748795596678884,False,,,,,,,
U56,NORM,10,H1,-1,180,-0.12291122972352331,False,,,,,,,
U56,NORM,10,H2,-1,180,-0.03598898547865903,False,,,,,,,
U56,NORM,10,OOS,40,180,-0.02244856227190728,False,0.750222130876945,34.542888165038,0.6385865171716337,8.42827545205563,0.10729700779081641,1.050667150774288,-0.1666344983733371
U56,NORM,25,FULL,-1,180,-0.18939931383251118,False,,,,,,,
U56,NORM,25,H1,-1,180,-0.23559148120807438,True,,,,,,,
U56,NORM,25,H2,-1,180,-0.15245847001548718,False,,,,,,,
U56,NORM,25,OOS,-1,180,-0.13644964439059504,False,,,,,,,
