panel,anchor,H,model,incumbent,turn_yr,eff_bps_ratio,fail_L_H1,fail_L_H2,fail_L_OOS,fail_L_DD,fail_L_CAGR,fail_A_H1,fail_A_H2,fail_A_DD,fail_ALL_4b,fail_ALL_4a
U56,A,5,M_PROP,False,9.84816050088518,1.0,25.0,45.0,48.0,72.0,34.0,0.0,0.0,0.0,25.0,0.0
U56,A,5,M_VOLSPREAD,False,9.84816050088518,1.1982834633329718,21.0,38.0,40.0,66.0,28.0,0.0,0.0,0.0,21.0,0.0
U56,A,10,M_PROP,False,7.921357787214142,1.0,35.0,51.0,56.0,87.0,43.0,0.0,0.0,0.0,35.0,0.0
U56,A,10,M_VOLSPREAD,False,7.921357787214142,1.234345839114647,28.0,42.0,45.0,79.0,35.0,0.0,0.0,0.0,28.0,0.0
U56,A,21,M_PROP,False,6.140692353412129,1.0,58.0,61.0,64.0,9.0,65.0,2.0,0.0,0.0,9.0,0.0
U56,A,21,M_VOLSPREAD,False,6.140692353412129,1.2990706285652802,46.0,46.0,48.0,9.0,50.0,2.0,0.0,0.0,9.0,0.0
U56,A,42,M_PROP,False,4.670666585323883,1.0,55.0,74.0,83.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
U56,A,42,M_VOLSPREAD,False,4.670666585323883,1.321889692751362,43.0,55.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
U56,A,63,M_PROP,False,3.8695517784372626,1.0,87.0,91.0,95.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
U56,A,63,M_VOLSPREAD,False,3.8695517784372626,1.3482465481502683,64.0,68.0,69.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
U56,A,90,M_PROP,False,3.4566854054458607,1.0,119.0,99.0,106.0,0.0,139.0,130.0,0.0,0.0,0.0,0.0
U56,A,90,M_VOLSPREAD,False,3.4566854054458607,1.384944252658593,88.0,71.0,75.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0
U56,A,126,M_PROP,True,2.8960911169131665,1.0,118.0,144.0,151.0,194.0,164.0,0.0,0.0,0.0,118.0,0.0
U56,A,126,M_VOLSPREAD,True,2.8960911169131665,1.4176109539556403,84.0,101.0,105.0,121.0,116.0,0.0,0.0,0.0,84.0,0.0
U56,A,189,M_PROP,False,2.311305267167222,1.0,205.0,113.0,124.0,0.0,202.0,,0.0,0.0,0.0,0.0
U56,A,189,M_VOLSPREAD,False,2.311305267167222,1.4360319445549812,148.0,77.0,83.0,0.0,141.0,,0.0,0.0,0.0,0.0
U56,A,252,M_PROP,False,2.0834084202067036,1.0,165.0,221.0,223.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0
U56,A,252,M_VOLSPREAD,False,2.0834084202067036,1.473780322941141,114.0,148.0,148.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
U56,B,63,M_PROP,False,2.5883022890355494,1.0,101.0,62.0,76.0,345.0,39.0,0.0,0.0,0.0,39.0,0.0
U56,B,63,M_VOLSPREAD,False,2.5883022890355494,1.3807445862524566,73.0,45.0,54.0,297.0,28.0,0.0,0.0,0.0,28.0,0.0
U56,B,252,M_PROP,False,1.1981069600887353,1.0,208.0,218.0,201.0,,128.0,0.0,0.0,0.0,128.0,0.0
U56,B,252,M_VOLSPREAD,False,1.1981069600887353,1.5842149432240076,132.0,138.0,125.0,345.0,81.0,0.0,0.0,0.0,81.0,0.0
B135,A,126,M_PROP,False,3.247874747901893,1.0,154.0,38.0,72.0,0.0,157.0,,0.0,0.0,0.0,0.0
B135,A,126,M_VOLSPREAD,False,3.247874747901893,1.3802573370678755,110.0,29.0,53.0,0.0,114.0,81.0,0.0,0.0,0.0,0.0
SMALL663,A,126,M_PROP,False,4.149227940451389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL663,A,126,M_VOLSPREAD,False,4.149227940451389,1.3593138493224954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
