panel,axis,N,rung_i,rung_j,gap,agree,resolved
U56,H,5,21,63,-0.6703898676810871,0.593,False
U56,H,5,21,126,0.01614741977402634,0.462,False
U56,H,5,63,126,0.6865372874551134,0.535,False
U56,H,8,21,63,-1.8771152986833295,0.88,False
U56,H,8,21,126,0.8421257132971034,0.589,False
U56,H,8,63,126,2.719241011980433,0.914,True
U56,H,10,21,63,0.554474718503295,0.619,False
U56,H,10,21,126,1.1477089058610659,0.717,False
U56,H,10,63,126,0.5932341873577709,0.642,False
U56,H,12,21,63,2.3046944237327445,0.969,True
U56,H,12,21,126,0.842193867445939,0.725,False
U56,H,12,63,126,-1.4625005562868054,0.796,False
U56,H,15,21,63,0.6273373309422459,0.752,False
U56,H,15,21,126,0.04259538282267439,0.536,False
U56,H,15,63,126,-0.5847419481195715,0.727,False
U56,H,20,21,63,1.7845102880999608,0.967,True
U56,H,20,21,126,-1.2103482642450207,0.885,False
U56,H,20,63,126,-2.9948585523449816,0.998,True
U56,H,25,21,63,-0.46963537776305575,0.69,False
U56,H,25,21,126,-1.15094466201896,0.87,False
U56,H,25,63,126,-0.6813092842559043,0.824,False
U56,H,30,21,63,-0.3360485314025885,0.679,False
U56,H,30,21,126,0.19325661932422245,0.561,False
U56,H,30,63,126,0.529305150726811,0.743,False
U56,H,40,21,63,1.1967718916141012,0.997,True
U56,H,40,21,126,0.9297500969500327,0.902,True
U56,H,40,63,126,-0.2670217946640685,0.76,False
U56,cap,20,1.00,1.25,-0.3877479238842305,0.893,False
U56,cap,20,1.00,1.50,-0.08133020005825031,0.672,False
U56,cap,20,1.00,2.00,-0.477131910275963,0.95,True
U56,cap,20,1.00,INF,-0.7146039990556972,0.941,True
U56,cap,20,1.25,1.50,0.3064177238259802,0.825,False
U56,cap,20,1.25,2.00,-0.0893839863917325,0.639,False
U56,cap,20,1.25,INF,-0.32685607517146664,0.69,False
U56,cap,20,1.50,2.00,-0.3958017102177127,0.914,True
U56,cap,20,1.50,INF,-0.6332737989974468,0.909,True
U56,cap,20,2.00,INF,-0.23747208877973414,0.577,False
U56,cap,25,1.00,1.25,0.24036975536163574,0.734,False
U56,cap,25,1.00,1.50,-0.34503411946091855,0.75,False
U56,cap,25,1.00,2.00,-0.13330645625190263,0.512,False
U56,cap,25,1.00,INF,-0.02585215953082587,0.569,False
U56,cap,25,1.25,1.50,-0.5854038748225543,0.934,True
U56,cap,25,1.25,2.00,-0.37367621161353837,0.8,False
U56,cap,25,1.25,INF,-0.2662219148924616,0.814,False
U56,cap,25,1.50,2.00,0.21172766320901593,0.787,False
U56,cap,25,1.50,INF,0.3191819599300927,0.74,False
U56,cap,25,2.00,INF,0.10745429672107676,0.431,False
U56,cap,30,1.00,1.25,-0.036775808543754174,0.73,False
U56,cap,30,1.00,1.50,-0.3280968364544834,0.847,False
U56,cap,30,1.00,2.00,-0.1483214658205556,0.635,False
U56,cap,30,1.00,INF,-0.5160604029757598,0.9,True
U56,cap,30,1.25,1.50,-0.2913210279107292,0.745,False
U56,cap,30,1.25,2.00,-0.11154565727680144,0.416,False
U56,cap,30,1.25,INF,-0.47928459443200566,0.765,False
U56,cap,30,1.50,2.00,0.1797753706339278,0.803,False
U56,cap,30,1.50,INF,-0.18796356652127644,0.561,False
U56,cap,30,2.00,INF,-0.3677389371552042,0.887,False
U56,cap,40,1.00,1.25,-0.10329555414986258,0.611,False
U56,cap,40,1.00,1.50,-0.03910361618432168,0.558,False
U56,cap,40,1.00,2.00,-0.32451562461939254,0.849,False
U56,cap,40,1.00,INF,-0.36352757213101716,0.87,False
U56,cap,40,1.25,1.50,0.0641919379655409,0.579,False
U56,cap,40,1.25,2.00,-0.22122007046952996,0.87,False
U56,cap,40,1.25,INF,-0.2602320179811546,0.846,False
U56,cap,40,1.50,2.00,-0.28541200843507086,0.929,True
U56,cap,40,1.50,INF,-0.3244239559466955,0.907,True
U56,cap,40,2.00,INF,-0.03901194751162462,0.603,False
B136,H,5,21,63,-3.194815481453883,0.823,False
B136,H,5,21,126,2.3571117862522417,0.717,False
B136,H,5,63,126,5.551927267706125,0.937,True
B136,H,8,21,63,-3.980657464269588,0.967,True
B136,H,8,21,126,-0.4030026472299886,0.589,False
B136,H,8,63,126,3.5776548170395994,0.882,False
B136,H,10,21,63,-2.11900523974351,0.901,True
B136,H,10,21,126,-2.780078869079327,0.875,False
B136,H,10,63,126,-0.6610736293358173,0.555,False
B136,H,12,21,63,-0.5846820986544312,0.685,False
B136,H,12,21,126,-1.922122213413413,0.844,False
B136,H,12,63,126,-1.3374401147589818,0.746,False
B136,H,15,21,63,-1.4009900061354164,0.856,False
B136,H,15,21,126,-3.7618031173438315,0.963,True
B136,H,15,63,126,-2.360813111208415,0.878,False
B136,H,20,21,63,1.0459369431487953,0.859,False
B136,H,20,21,126,-0.534462315543216,0.61,False
B136,H,20,63,126,-1.5803992586920113,0.861,False
B136,H,25,21,63,1.236532834911297,0.937,True
B136,H,25,21,126,-0.8996148615620481,0.774,False
B136,H,25,63,126,-2.136147696473345,0.955,True
B136,H,30,21,63,0.15488668224705737,0.504,False
B136,H,30,21,126,-1.2171544702460069,0.882,False
B136,H,30,63,126,-1.3720411524930642,0.911,True
B136,H,40,21,63,0.40187779151821257,0.731,False
B136,H,40,21,126,-1.053843187386605,0.841,False
B136,H,40,63,126,-1.4557209789048176,0.945,True
B136,cap,20,1.00,1.25,0.2418142032370234,0.782,False
B136,cap,20,1.00,1.50,0.6129313258327107,0.946,True
B136,cap,20,1.00,2.00,0.8167759523171947,0.991,True
B136,cap,20,1.00,INF,1.4129238641062418,0.999,True
B136,cap,20,1.25,1.50,0.3711171225956873,0.822,False
B136,cap,20,1.25,2.00,0.5749617490801713,0.975,True
B136,cap,20,1.25,INF,1.1711096608692184,0.999,True
B136,cap,20,1.50,2.00,0.20384462648448398,0.869,False
B136,cap,20,1.50,INF,0.7999925382735311,0.987,True
B136,cap,20,2.00,INF,0.5961479117890471,0.878,False
B136,cap,25,1.00,1.25,0.038550821581484485,0.781,False
B136,cap,25,1.00,1.50,0.8138593376493368,0.989,True
B136,cap,25,1.00,2.00,0.36974164996457226,0.717,False
B136,cap,25,1.00,INF,1.4567880261192823,0.999,True
B136,cap,25,1.25,1.50,0.7753085160678523,0.934,True
B136,cap,25,1.25,2.00,0.3311908283830878,0.502,False
B136,cap,25,1.25,INF,1.4182372045377978,0.998,True
B136,cap,25,1.50,2.00,-0.44411768768476456,0.944,True
B136,cap,25,1.50,INF,0.6429286884699454,0.974,True
B136,cap,25,2.00,INF,1.08704637615471,1.0,True
B136,cap,30,1.00,1.25,0.577382056764042,0.96,True
B136,cap,30,1.00,1.50,1.6687881813813643,1.0,True
B136,cap,30,1.00,2.00,1.7938703039488302,1.0,True
B136,cap,30,1.00,INF,1.8207412808252776,1.0,True
B136,cap,30,1.25,1.50,1.0914061246173223,0.993,True
B136,cap,30,1.25,2.00,1.2164882471847882,1.0,True
B136,cap,30,1.25,INF,1.2433592240612357,0.997,True
B136,cap,30,1.50,2.00,0.12508212256746587,0.585,False
B136,cap,30,1.50,INF,0.15195309944391333,0.662,False
B136,cap,30,2.00,INF,0.02687097687644746,0.604,False
B136,cap,40,1.00,1.25,1.0598099713637676,0.998,True
B136,cap,40,1.00,1.50,1.0429661308467897,1.0,True
B136,cap,40,1.00,2.00,1.1857891477181637,0.999,True
B136,cap,40,1.00,INF,0.9821005396709936,0.997,True
B136,cap,40,1.25,1.50,-0.01684384051697796,0.423,False
B136,cap,40,1.25,2.00,0.12597917635439604,0.642,False
B136,cap,40,1.25,INF,-0.077709431692774,0.564,False
B136,cap,40,1.50,2.00,0.142823016871374,0.607,False
B136,cap,40,1.50,INF,-0.06086559117579604,0.609,False
B136,cap,40,2.00,INF,-0.20368860804717004,0.737,False
