floor,tp,fp,fn,tn,acc,base,prec
0,42,0,0,0,1.0,1.0,1.0
5,7,13,5,17,0.5714285714285714,0.7142857142857143,0.35
10,6,13,5,18,0.5714285714285714,0.7380952380952381,0.3157894736842105
15,5,12,5,20,0.5952380952380952,0.7619047619047619,0.29411764705882354
20,5,12,5,20,0.5952380952380952,0.7619047619047619,0.29411764705882354
25,5,12,4,21,0.6190476190476191,0.7857142857142857,0.29411764705882354
