panel,book,nominal,names,spearman_IS_OOS,n_priced_both,band,nom_band
U56,TOP3,3.0,2.953311617806732,-0.9047619047619048,8,<20,<20
U56,TOP5,5.0,4.938110749185668,-0.3714285714285715,6,<20,<20
U56,TOP10,10.0,9.930510314875136,-0.6121212121212121,10,<20,<20
U56,TOP20,20.0,19.91096634093377,-0.5,7,<20,20-40
U56,TOP40,40.0,39.901194353963085,0.5104895104895105,12,20-40,>=40
U56,TOPALL,56.0,53.76872964169381,0.43356643356643365,12,>=40,>=40
U56,V1u,5.0,4.997828447339848,0.7999999999999999,4,<20,<20
U56,EWall,56.0,54.11834961997828,0.41958041958041964,12,>=40,>=40
B136,TOP3,3.0,2.960912052117264,0.7,5,<20,<20
B136,TOP5,5.0,4.955483170466884,-0.8999999999999998,5,<20,<20
B136,TOP10,10.0,9.960912052117264,1.0,3,<20,<20
B136,TOP20,20.0,19.928338762214985,-1.0,3,<20,20-40
B136,TOP40,40.0,39.93811074918567,0.6538461538461539,13,20-40,>=40
B136,TOPALL,136.0,130.67752442996743,0.8671328671328673,12,>=40,>=40
B136,V1u,5.0,5.0,0.9276336570439175,6,<20,<20
B136,EWall,136.0,131.38110749185668,0.8391608391608393,12,>=40,>=40
SMALL484,TOP3,3.0,3.0,0.4705882352941177,6,<20,<20
SMALL484,TOP5,5.0,5.0,-0.5180722891566265,8,<20,<20
SMALL484,TOP10,10.0,9.998776009791921,0.8795180722891566,8,<20,<20
SMALL484,TOP20,20.0,20.0,0.5357142857142858,7,20-40,20-40
SMALL484,TOP40,40.0,39.998776009791925,0.19047619047619052,8,20-40,>=40
SMALL484,TOPALL,483.0,367.8115055079559,0.8181818181818183,12,>=40,>=40
SMALL484,V1u,5.0,5.0,0.6554853293164941,9,<20,<20
SMALL484,EWall,483.0,381.9645042839657,0.790909090909091,11,>=40,>=40
