sclass,repair,construction,partition,panel,stat,reading,resolved,max_over_min,comparable,rel_gap,lands,landing_is_tautological,resolvable,serves
LEVEL,R_ASIS,C_BOOK,ALIGNED,B136,CAGR,2.1316636151772617,2.497774024037172,10.091908034848545,False,0.1465746722228151,True,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,B136,CAGR,2.4341312802435837,2.497774024037172,1.0,True,0.02547978447254487,True,False,True,True
LEVEL,R_COUNT,C_BOOK,ALIGNED,B136,CAGR,2.497774024037172,2.497774024037172,2.0754750975308234,False,0.0,True,True,True,False
LEVEL,R_BOTH,C_BOOK,ALIGNED,B136,CAGR,3.5857299783320706,2.497774024037172,1.0,True,0.4355702092443202,False,False,True,False
RATIO,R_ASIS,C_BOOK,ALIGNED,B136,CALMAR,0.2384984396763889,0.5262210247248753,2.879534564873449,False,0.5467713594281352,False,False,True,False
RATIO,R_FROZEN,C_BOOK,ALIGNED,B136,CALMAR,0.45238211343448587,0.5262210247248753,1.0,True,0.14031919634719026,True,False,True,True
RATIO,R_COUNT,C_BOOK,ALIGNED,B136,CALMAR,0.5262210247248753,0.5262210247248753,1.7720719831107188,False,0.0,True,True,True,False
RATIO,R_BOTH,C_BOOK,ALIGNED,B136,CALMAR,0.6785731701517288,0.5262210247248753,1.0,True,0.2895212054792146,False,False,True,False
LEVEL,R_ASIS,C_BOOK,ALIGNED,B136,MAXDD,0.3850139173621171,1.030544780261542,2.3032819698632365,False,0.6263976833064892,False,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,B136,MAXDD,0.7294007288388051,1.030544780261542,1.0,True,0.29221830743377253,False,False,True,False
LEVEL,R_COUNT,C_BOOK,ALIGNED,B136,MAXDD,1.030544780261542,1.030544780261542,1.2337691751936104,True,0.0,True,True,True,True
LEVEL,R_BOTH,C_BOOK,ALIGNED,B136,MAXDD,1.0941010932582076,1.030544780261542,1.0,True,0.06167253884934111,True,False,True,True
RATIO,R_ASIS,C_BOOK,ALIGNED,B136,SHARPE,1.5228056039436415,0.5068791494407386,5.940482152406424,False,2.0042774606606284,False,False,True,False
RATIO,R_FROZEN,C_BOOK,ALIGNED,B136,SHARPE,0.5938151506304741,0.5068791494407386,1.0,True,0.17151228509923053,True,False,True,True
RATIO,R_COUNT,C_BOOK,ALIGNED,B136,SHARPE,0.5068791494407386,0.5068791494407386,5.532063300909044,False,0.0,True,True,True,False
RATIO,R_BOTH,C_BOOK,ALIGNED,B136,SHARPE,0.8090221408723989,0.5068791494407386,1.0,True,0.5960848690758487,False,False,True,False
SPREAD,R_ASIS,C_BOOK,ALIGNED,B136,ULCER,1.1934411151352973,1.9514811640223055,2.9690098050963782,False,0.38844343612549664,False,False,True,False
SPREAD,R_FROZEN,C_BOOK,ALIGNED,B136,ULCER,3.070565608181448,1.9514811640223055,1.0,True,0.5734538794381883,False,False,True,False
SPREAD,R_COUNT,C_BOOK,ALIGNED,B136,ULCER,1.9514811640223055,1.9514811640223055,1.7699902847125253,False,0.0,True,True,True,False
SPREAD,R_BOTH,C_BOOK,ALIGNED,B136,ULCER,2.7736852773037413,1.9514811640223055,1.0,True,0.4213231100764229,False,False,True,False
SPREAD,R_ASIS,C_BOOK,ALIGNED,B136,VOL,2.309691360592765,5.185116696760652,2.1112940813564363,False,0.5545536396440758,False,False,False,False
SPREAD,R_FROZEN,C_BOOK,ALIGNED,B136,VOL,4.490692952571898,5.185116696760652,1.0,True,0.1339263482001452,True,False,False,True
SPREAD,R_COUNT,C_BOOK,ALIGNED,B136,VOL,5.185116696760652,5.185116696760652,2.437776598986463,False,0.0,True,True,False,False
SPREAD,R_BOTH,C_BOOK,ALIGNED,B136,VOL,3.413010770199936,5.185116696760652,1.0,True,0.3417678000705019,False,False,False,False
LEVEL,R_ASIS,C_BOOK,ALIGNED,SMALL,CAGR,2.1842923322823977,2.9707913590806494,2.989157400344076,False,0.26474394588304045,False,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,SMALL,CAGR,4.733919803995998,2.9707913590806494,1.0,True,0.5934878057074233,False,False,True,False
LEVEL,R_COUNT,C_BOOK,ALIGNED,SMALL,CAGR,2.9707913590806494,2.9707913590806494,1.8758583464760499,False,0.0,True,True,True,False
LEVEL,R_BOTH,C_BOOK,ALIGNED,SMALL,CAGR,1.9750880211662407,2.9707913590806494,1.0,True,0.335164344298666,False,False,True,False
RATIO,R_ASIS,C_BOOK,ALIGNED,SMALL,CALMAR,0.4723726764275682,0.7717859832035128,15.224059534588726,False,0.38794861955531534,False,False,True,False
RATIO,R_FROZEN,C_BOOK,ALIGNED,SMALL,CALMAR,0.41132305319317153,0.7717859832035128,1.0,True,0.46705037128834526,False,False,True,False
RATIO,R_COUNT,C_BOOK,ALIGNED,SMALL,CALMAR,0.7717859832035128,0.7717859832035128,6.039584123830996,False,0.0,True,True,True,False
RATIO,R_BOTH,C_BOOK,ALIGNED,SMALL,CALMAR,0.5612415828713756,0.7717859832035128,1.0,True,0.2728015342520396,False,False,True,False
LEVEL,R_ASIS,C_BOOK,ALIGNED,SMALL,MAXDD,0.250977909081949,0.6269081608612634,3.5039015537385176,False,0.5996576137449723,False,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,SMALL,MAXDD,0.6372881747400706,0.6269081608612634,1.0,True,0.016557471296189244,True,False,True,True
LEVEL,R_COUNT,C_BOOK,ALIGNED,SMALL,MAXDD,0.6269081608612634,0.6269081608612634,1.524836206944284,False,0.0,True,True,True,False
LEVEL,R_BOTH,C_BOOK,ALIGNED,SMALL,MAXDD,0.955932262110106,0.6269081608612634,1.0,True,0.524836206944284,False,False,True,False
RATIO,R_ASIS,C_BOOK,ALIGNED,SMALL,SHARPE,1.8713057967453122,1.1616590780258493,68.76918381841004,False,0.6108906925820724,False,False,True,False
RATIO,R_FROZEN,C_BOOK,ALIGNED,SMALL,SHARPE,1.0068471775532608,1.1616590780258493,1.0,True,0.13326792980921692,True,False,True,True
RATIO,R_COUNT,C_BOOK,ALIGNED,SMALL,SHARPE,1.1616590780258493,1.1616590780258493,1.5830067662895613,False,0.0,True,True,True,False
RATIO,R_BOTH,C_BOOK,ALIGNED,SMALL,SHARPE,0.7604580001843172,1.1616590780258493,1.0,True,0.3453690376382567,False,False,True,False
SPREAD,R_ASIS,C_BOOK,ALIGNED,SMALL,ULCER,0.5838829395553282,1.450831039334289,2.8160863282510133,False,0.5975527654665826,False,False,True,False
SPREAD,R_FROZEN,C_BOOK,ALIGNED,SMALL,ULCER,1.0163692254619305,1.450831039334289,1.0,True,0.29945720907081663,False,False,True,False
SPREAD,R_COUNT,C_BOOK,ALIGNED,SMALL,ULCER,1.450831039334289,1.450831039334289,1.2811364383696933,False,0.0,True,True,True,False
SPREAD,R_BOTH,C_BOOK,ALIGNED,SMALL,ULCER,1.5245538381928958,1.450831039334289,1.0,True,0.05081418639377502,True,False,True,True
SPREAD,R_ASIS,C_BOOK,ALIGNED,SMALL,VOL,1.6596735948703178,3.634660914818032,7.107546784940356,False,0.543375947917439,False,False,True,False
SPREAD,R_FROZEN,C_BOOK,ALIGNED,SMALL,VOL,11.796207723270932,3.634660914818032,1.0,True,2.2454768133058445,False,False,True,False
SPREAD,R_COUNT,C_BOOK,ALIGNED,SMALL,VOL,3.634660914818032,3.634660914818032,1.9367533344156207,False,0.0,True,True,True,False
SPREAD,R_BOTH,C_BOOK,ALIGNED,SMALL,VOL,3.240722950594067,3.634660914818032,1.0,True,0.10838369065403937,True,False,True,True
LEVEL,R_ASIS,C_BOOK,ALIGNED,U56,CAGR,1.9878153355006174,2.274600741182442,22.124885621261765,False,0.1260816461058306,True,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,U56,CAGR,5.6647986528049215,2.274600741182442,1.0,True,1.490458457276374,False,False,True,False
LEVEL,R_COUNT,C_BOOK,ALIGNED,U56,CAGR,2.274600741182442,2.274600741182442,12.532272199534766,False,0.0,True,True,True,False
LEVEL,R_BOTH,C_BOOK,ALIGNED,U56,CAGR,8.497197979207384,2.274600741182442,1.0,True,2.7356876859145616,False,False,True,False
RATIO,R_ASIS,C_BOOK,ALIGNED,U56,CALMAR,0.11331918850509531,0.3038063704994032,5.065723538754449,False,0.62700193442679,False,False,True,False
RATIO,R_FROZEN,C_BOOK,ALIGNED,U56,CALMAR,0.2022689292122811,0.3038063704994032,1.0,True,0.33421761736007294,False,False,True,False
RATIO,R_COUNT,C_BOOK,ALIGNED,U56,CALMAR,0.3038063704994032,0.3038063704994032,1.8920146982481116,False,0.0,True,True,True,False
RATIO,R_BOTH,C_BOOK,ALIGNED,U56,CALMAR,0.30340339381842163,0.3038063704994032,1.0,True,0.0013264260401094515,True,False,True,True
LEVEL,R_ASIS,C_BOOK,ALIGNED,U56,MAXDD,0.47134582130032804,1.2649472302222653,1.804831857772319,False,0.6273790636961928,False,False,True,False
LEVEL,R_FROZEN,C_BOOK,ALIGNED,U56,MAXDD,0.8506999543106906,1.2649472302222653,1.0,True,0.3274818632859387,False,False,True,False
LEVEL,R_COUNT,C_BOOK,ALIGNED,U56,MAXDD,1.2649472302222653,1.2649472302222653,1.7242489982609206,False,0.0,True,True,True,False
LEVEL,R_BOTH,C_BOOK,ALIGNED,U56,MAXDD,1.2494590472233307,1.2649472302222653,1.0,True,0.012244133691026124,True,False,True,True
RATIO,R_ASIS,C_BOOK,ALIGNED,U56,SHARPE,0.5531916658899406,0.4735358755516955,27.90808388495166,False,0.16821490081494184,True,False,False,False
