thresh,dsplit,klass,peak,trough,dur,depth,panel,book,gate,ret_p2t,ret_full
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,top20,none,-0.10362891987102962,3.9533845191952466e-05
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,top20,200d,-0.01703470217382208,-0.005682281767749875
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,top20,abs,0.0011891591234842736,0.0007145013932225996
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,top20,both,0.005073987193813689,0.00047002057682776766
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,top20,band3,-0.013977673857309414,-0.010636396234265932
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,ew-all,none,-0.14345234825201303,0.012661089615925825
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,ew-all,200d,-0.04102397229744481,-0.022185251846674747
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,ew-all,abs,0.00439385890665811,0.0056155344965755916
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,ew-all,both,0.0174384637034648,0.004490133989621059
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,u56,ew-all,band3,-0.033460766967000066,-0.02830543610158709
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,top20,none,-0.12497118598620294,-0.04459250703447426
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,top20,200d,-0.056413616235885145,-0.015957228128738787
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,top20,abs,-0.051504499515447,-0.040751338219385924
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,top20,both,-0.02536392394986431,-0.029143465135162194
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,top20,band3,-0.06360495901798313,-0.03569616717245794
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,ew-all,none,-0.1604154834966014,-0.0022243795334514482
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,ew-all,200d,-0.09001891039193988,-0.03720966551301541
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,ew-all,abs,-0.08532475369288439,-0.07573092588107666
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,ew-all,both,-0.058371957623885584,-0.06984730106979209
0.08,30,SLOW,2009-01-06,2009-03-09,42,-0.2713168061532505,broad,ew-all,band3,-0.10054724696219175,-0.05971751640832579
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,top20,none,-0.11832678913126182,-0.005432285692845706
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,top20,200d,-0.11310619308661085,-0.027693788655339224
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,top20,abs,-0.11631048944039013,-0.0036387832295909917
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,top20,both,-0.11307282735682256,-0.028126364511232738
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,top20,band3,-0.11116321949792252,-0.024370119238368293
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,ew-all,none,-0.08841890677655528,0.03727572037618887
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,ew-all,200d,-0.08633534506777418,0.011876382896203186
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,ew-all,abs,-0.10107290127652124,0.025599474345057383
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,ew-all,both,-0.09658733266821495,-0.00526487689819688
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,u56,ew-all,band3,-0.08467632489481614,0.008969889413769527
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,top20,none,-0.13131190012936922,0.01808771346545468
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,top20,200d,-0.13131190012936922,0.01777762068893196
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,top20,abs,-0.13131190012936922,0.01808771346545468
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,top20,both,-0.13131190012936922,0.01777762068893196
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,top20,band3,-0.13131190012936922,0.02013494364202506
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,ew-all,none,-0.09823753812281733,0.034064205670948366
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,ew-all,200d,-0.1000243454017341,0.01951346017807687
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,ew-all,abs,-0.10231973739320599,0.03174762275701992
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,ew-all,both,-0.10420172852662068,0.01498775659015128
0.08,30,SLOW,2010-04-23,2010-07-02,49,-0.1569967627613481,broad,ew-all,band3,-0.09837029834049549,0.023472836212045767
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,top20,none,-0.10511195985565835,-0.055086323244709745
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,top20,200d,-0.10452876670542877,-0.08064971931035492
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,top20,abs,-0.10651056492146471,-0.05968739044301408
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,top20,both,-0.10731297890075786,-0.08256276590607992
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,top20,band3,-0.09984125397477384,-0.08598301549051024
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,ew-all,none,-0.118455161392099,0.006914412807632608
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,ew-all,200d,-0.10139387827868551,-0.056184158484001046
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,ew-all,abs,-0.12140927581688987,-0.02775016507253225
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,ew-all,both,-0.10936111336175736,-0.07434010350846587
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,u56,ew-all,band3,-0.08790901908736404,-0.053962770823161255
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,top20,none,-0.12081424771056204,-0.0504616589917366
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,top20,200d,-0.11748610087828237,-0.04643547750447197
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,top20,abs,-0.12081424771056204,-0.05312521993345254
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,top20,both,-0.11616904662563243,-0.047691234819946526
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,top20,band3,-0.11064732907335095,-0.03948118185046812
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,ew-all,none,-0.12128435208142763,0.03641947611658303
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,ew-all,200d,-0.11419871026772954,-0.020689650846603236
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,ew-all,abs,-0.1201780334398499,0.006000834810091504
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,ew-all,both,-0.1184704619495095,-0.03304562143786549
0.08,30,SLOW,2011-04-29,2011-10-03,108,-0.18605456334553894,broad,ew-all,band3,-0.09860379878672909,-0.008347242910128783
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,top20,none,-0.07329249812397742,-0.022124804877473148
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,top20,200d,-0.0731857820383337,-0.022012196516301152
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,top20,abs,-0.06368849543208688,-0.011789548770956393
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,top20,both,-0.06358067338628681,-0.011675750241286531
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,top20,band3,-0.07329249812397742,-0.022124804877473148
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,ew-all,none,-0.06703123510775277,-0.009185232481015881
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,ew-all,200d,-0.06381065943499609,-0.011638913509881221
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,ew-all,abs,-0.043240907436740805,0.016629823248617948
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,ew-all,both,-0.04770246434080505,0.0029797840719196778
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,u56,ew-all,band3,-0.06470365834971603,-0.008368005183835514
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,top20,none,-0.050118053067072954,0.017126779958728244
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,top20,200d,-0.050118053067072954,0.017126779958728244
