gate,value,bar,passed
"G1 fast_backtest vs engine.backtest (6 books, returns+turnover)",2.7755575615628914e-17,1e-12,True
G2 U56/RULES v1 @ vintage 2026-09-08 = 6.4194% / 0.66110 / -13.8278% vs published 6.4194% / 0.66110 / -13.8278%,4.42110419274222e-07,0.0001,True
G3 always-ON clause == ungated EWALL parent,0.0,1e-15,True
G4 panel statistics inside their domains (all panels),0.0,0.5,True
