n,p,size
10,0.0,0.07745
10,0.2,0.0734
10,0.34,0.069375
10,0.5,0.051725
10,0.7,0.019525
10,0.9,0.0006
20,0.0,0.0582
20,0.2,0.0598
20,0.34,0.058825
20,0.5,0.054075
20,0.7,0.0397
20,0.9,0.003725
36,0.0,0.052475
36,0.2,0.05285
36,0.34,0.052625
36,0.5,0.049475
36,0.7,0.046325
36,0.9,0.012075
72,0.0,0.050125
72,0.2,0.049125
72,0.34,0.04745
72,0.5,0.049
72,0.7,0.046425
72,0.9,0.029725
168,0.0,0.0465
168,0.2,0.046425
168,0.34,0.0472
168,0.5,0.046375
168,0.7,0.0454
168,0.9,0.041575
336,0.0,0.04685
336,0.2,0.045775
336,0.34,0.04805
336,0.5,0.046825
336,0.7,0.046525
336,0.9,0.043425
