panel,gross,cost,maxL_4b_full,maxL_4b_oos,ddm_L1,cgm_L1,dd_slope_per_L,cagr_slope_per_L,binding
U56,0.75,0.0,3,3,1.1530721695729274,5.549855567474713,-0.3741671294591631,-0.07975637164631677,-
U56,0.75,10.0,3,3,1.101468022419022,5.229287778284062,-0.36663087646860715,-0.07941979673679045,-
U56,0.75,25.0,3,3,1.02407466735423,4.749993732135225,-0.36489675163227375,-0.07891688684536491,-
U56,0.75,50.0,3,3,0.8950604135671669,3.955307153938635,-0.36199050814405276,-0.07808388773771768,-
U56,0.65,0.0,5,5,3.546925565891873,3.370503792852396,-0.32436437975646704,-0.06763519882225233,-
U56,0.65,10.0,5,5,3.5007005192383147,3.096500427763148,-0.31855391566042446,-0.06730997864280441,-
U56,0.65,25.0,5,5,3.4308488110693256,2.6866556208961376,-0.3170359979603048,-0.06682405404661584,-
U56,0.65,50.0,5,5,3.2985895583229006,2.006663963725329,-0.3105381289020186,-0.06601923962313294,-
B136,0.75,0.0,-,-,-0.3893043205644764,5.851290865458399,-0.6754638963628878,-0.13331955415377683,b_dd
B136,0.75,10.0,-,-,-0.5097767646833673,5.486603912086426,-0.668436346922846,-0.1326702157276871,b_dd
B136,0.75,25.0,-,-,-0.690355367917872,4.941391818800163,-0.65792107872851,-0.13170072718733938,b_dd
B136,0.75,50.0,-,-,-0.9909729729602912,4.037535371686059,-0.6404650915579846,-0.1300969037349331,"b_h2,b_dd"
B136,0.65,0.0,3,3,2.183926620331078,3.64773605480931,-0.5929416700093587,-0.11347234734097045,-
B136,0.65,10.0,3,3,2.0766359042671767,3.3361523119837493,-0.5869698380124494,-0.11292661720431196,-
B136,0.65,25.0,3,3,1.9158020578831647,2.8701316715362095,-0.5780320492044438,-0.11211158505779473,-
B136,0.65,50.0,-,3,1.6480181810695882,2.097031811397006,-0.5631889427069936,-0.11076265620895703,b_h2
SMALL,0.75,0.0,-,-,-15.870970065725466,-1.5563767975576805,-0.3229953182208174,-0.056166869960116994,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.75,10.0,-,-,-16.263915396637373,-1.987248239235341,-0.31741246282079594,-0.05584278465652903,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.75,25.0,-,-,-16.84949947528033,-2.631059310532925,-0.30912559494030667,-0.055359064044657735,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.75,50.0,-,-,-17.81532433752616,-3.6974488231951277,-0.29970490282898243,-0.05455923539964824,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.65,0.0,-,-,-11.587593670925411,-2.5050207843250973,-0.29369856346015144,-0.04861596012572522,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.65,10.0,-,-,-11.95117066055782,-2.8760812979140695,-0.28883438679618845,-0.04838747169657598,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.65,25.0,-,-,-12.493456008847637,-3.430801824815201,-0.2816058904543475,-0.048046190252371,"b_h1,b_h2,b_oos,b_dd,b_cagr"
SMALL,0.65,50.0,-,-,-13.389103755042786,-4.350366550732478,-0.27366246810129624,-0.0474812307313055,"b_h1,b_h2,b_oos,b_dd,b_cagr"
