window,scope,rung,n,flips,flips_neverfire,flips_firing,n_neverfire,max_dS_F_among_flips
FULL,U56,0.0,216,0,0,0,0,
FULL,U56,10.0,216,0,0,0,0,
FULL,U56,25.0,216,0,0,0,0,
FULL,B136,0.0,216,0,0,0,12,
FULL,B136,10.0,216,0,0,0,12,
FULL,B136,25.0,216,0,0,0,12,
FULL,SMALL,0.0,216,0,0,0,6,
FULL,SMALL,10.0,216,0,0,0,6,
FULL,SMALL,25.0,216,0,0,0,6,
FULL,REPRO2,0.0,432,0,0,0,12,
FULL,REPRO2,10.0,432,0,0,0,12,
FULL,REPRO2,25.0,432,0,0,0,12,
IS,U56,0.0,216,0,0,0,48,
IS,U56,10.0,216,48,48,0,48,7.441775224037439e-05
IS,U56,25.0,216,48,48,0,48,0.00034136342862822744
IS,B136,0.0,216,42,42,0,54,0.00011341270300446737
IS,B136,10.0,216,42,42,0,54,0.0003497381437815861
IS,B136,25.0,216,42,42,0,54,0.0007058350072236541
IS,SMALL,0.0,216,55,54,1,60,0.000408826042528454
IS,SMALL,10.0,216,55,54,1,60,0.0007702922785182142
IS,SMALL,25.0,216,55,54,1,60,0.0013114629476426165
IS,REPRO2,0.0,432,42,42,0,102,0.00011341270300446737
IS,REPRO2,10.0,432,90,90,0,102,0.0003497381437815861
IS,REPRO2,25.0,432,90,90,0,102,0.0007058350072236541
OOS,U56,0.0,216,0,0,0,0,
OOS,U56,10.0,216,0,0,0,0,
OOS,U56,25.0,216,0,0,0,0,
OOS,B136,0.0,216,0,0,0,12,
OOS,B136,10.0,216,0,0,0,12,
OOS,B136,25.0,216,0,0,0,12,
OOS,SMALL,0.0,216,0,0,0,6,
OOS,SMALL,10.0,216,0,0,0,6,
OOS,SMALL,25.0,216,0,0,0,6,
OOS,REPRO2,0.0,432,0,0,0,12,
OOS,REPRO2,10.0,432,0,0,0,12,
OOS,REPRO2,25.0,432,0,0,0,12,
H1,U56,0.0,216,0,0,0,48,
H1,U56,10.0,216,48,48,0,48,6.842886444946572e-05
H1,U56,25.0,216,48,48,0,48,0.000319988771130042
H1,B136,0.0,216,42,42,0,54,9.611020671651538e-05
H1,B136,10.0,216,42,42,0,54,0.00032426881024250065
H1,B136,25.0,216,42,42,0,54,0.0006682540333919906
H1,SMALL,0.0,216,30,30,0,36,0.00019422703671601038
H1,SMALL,10.0,216,30,30,0,36,0.0003876719729121181
H1,SMALL,25.0,216,30,30,0,36,0.0006773353475376664
H1,REPRO2,0.0,432,42,42,0,102,9.611020671651538e-05
H1,REPRO2,10.0,432,90,90,0,102,0.00032426881024250065
H1,REPRO2,25.0,432,90,90,0,102,0.0006682540333919906
H2,U56,0.0,216,0,0,0,0,
H2,U56,10.0,216,0,0,0,0,
H2,U56,25.0,216,0,0,0,0,
H2,B136,0.0,216,0,0,0,12,
H2,B136,10.0,216,0,0,0,12,
H2,B136,25.0,216,0,0,0,12,
H2,SMALL,0.0,216,0,0,0,6,
H2,SMALL,10.0,216,0,0,0,6,
H2,SMALL,25.0,216,0,0,0,6,
H2,REPRO2,0.0,432,0,0,0,12,
H2,REPRO2,10.0,432,0,0,0,12,
H2,REPRO2,25.0,432,0,0,0,12,
EP2022,U56,0.0,216,0,0,0,0,
EP2022,U56,10.0,216,0,0,0,0,
EP2022,U56,25.0,216,0,0,0,0,
EP2022,B136,0.0,216,0,0,0,12,
EP2022,B136,10.0,216,0,0,0,12,
EP2022,B136,25.0,216,0,0,0,12,
EP2022,SMALL,0.0,216,6,6,0,12,2.407768450840564e-06
EP2022,SMALL,10.0,216,6,6,0,12,4.988582940956832e-06
EP2022,SMALL,25.0,216,6,6,0,12,8.82145402147927e-06
EP2022,REPRO2,0.0,432,0,0,0,12,
EP2022,REPRO2,10.0,432,0,0,0,12,
EP2022,REPRO2,25.0,432,0,0,0,12,
