book,panel,pass_at_REC,n_pass,n_E,frac_pass,fails_at,legset_n
b136-qroll-q012-w1008-d050-g100,B136,True,16,16,1.0,,1
b136-r620-gross065-W,B136,True,16,16,1.0,,1
u56-band008-gross100,U56,True,16,16,1.0,,1
u56-k8-qroll-q017-w1008-d100-g100,U56,True,16,16,1.0,,1
u56-marsrespread-gross075,U56,True,16,16,1.0,,1
u56-quantile50-respread-M,U56,True,16,16,1.0,,1
u56-top20-band-m20,U56,True,16,16,1.0,,1
u56-top20-g065-M,U56,True,16,16,1.0,,1
u56-v2band-gross100,U56,True,16,16,1.0,,1
