CLAIM_SET,N,SAT_CEIL,SAT_ANY,STATES_K,ADJUD,ADJUD_AND_SAT,ADJUD_NO_K,OVERQUOTED,SAT_CEIL_share,SAT_ANY_share,STATES_K_share,ADJUD_share,ADJUD_AND_SAT_share,ADJUD_NO_K_share
C_STRICT,103,26,31,40,85,23,49,22,0.2524271844660194,0.30097087378640774,0.3883495145631068,0.8252427184466019,0.22330097087378642,0.47572815533980584
C_PROX,248,26,31,77,185,23,121,22,0.10483870967741936,0.125,0.31048387096774194,0.7459677419354839,0.09274193548387097,0.4879032258064516
C_ALL,1718,36,43,394,1100,29,840,25,0.020954598370197905,0.025029103608847497,0.22933643771827705,0.640279394644936,0.016880093131548313,0.4889406286379511
