panel,gross,tier,depth,sum_singles,stack_cut,ratio
U56,0.75,MILD,1,-0.007709267125159069,-0.007709267125159069,
U56,0.75,MILD,2,0.05261134085048924,0.06466192641600399,1.2290492006231142
U56,0.75,MILD,3,0.24140974821048922,0.259545420428961,1.0751240260714698
U56,0.75,MILD,4,0.39108771552749544,0.338657808276442,0.8659382405291445
U56,0.75,MILD,5,0.529411350596643,0.4339522997311607,0.8196883184353705
U56,0.75,MID,1,0.005342526127555258,0.005342526127555258,1.0
U56,0.75,MID,2,0.10338386513873132,0.13569071698993163,1.3124941383053108
U56,0.75,MID,3,0.47730605198424214,0.5040222862257052,1.0559729635323063
U56,0.75,MID,4,0.7182272583296547,0.5672501996353618,0.7897920791179484
U56,0.75,MID,5,0.9877931803818354,0.6833267368429417,0.6917710614065983
U56,0.75,STRONG,1,0.05222918534153653,0.05222918534153653,1.0
U56,0.75,STRONG,2,0.17540356534482127,0.2260223725291426,1.2885848248569585
U56,0.75,STRONG,3,0.6778696631828524,0.6725991911434823,0.9922249477655879
U56,0.75,STRONG,4,0.961612885526061,0.7122320548650617,0.740664008963885
U56,0.75,STRONG,5,1.3286977782657337,0.8304830063644663,0.625035293916457
U56,1.0,MILD,1,0.011642893504076768,0.011642893504076768,1.0
U56,1.0,MILD,2,0.09357320794000334,0.0944500716159129,1.009370883987132
U56,1.0,MILD,3,0.2978222564736366,0.2904514596071318,0.9752510206799899
U56,1.0,MILD,4,0.4410025463797773,0.3635804091651619,0.8244406118509303
U56,1.0,MILD,5,0.5675094183139506,0.43209794213569774,0.7613934292393678
U56,1.0,MID,1,0.0428806949456636,0.0428806949456636,1.0
U56,1.0,MID,2,0.175628170247642,0.17502869783436636,0.9965866955601124
U56,1.0,MID,3,0.566882696194715,0.5275686804889448,0.930648763898296
U56,1.0,MID,4,0.7994268354999783,0.5879663867750623,0.7354849257810263
U56,1.0,MID,5,1.052030043464725,0.6802664644790013,0.6466226594048889
U56,1.0,STRONG,1,0.10792836399999794,0.10792836399999794,1.0
U56,1.0,STRONG,2,0.25812056324920685,0.2530008640119291,0.9801654731694707
U56,1.0,STRONG,3,0.7794394647266848,0.6949327354420488,0.8915801250655575
U56,1.0,STRONG,4,1.0530106906959111,0.727126274801192,0.6905212655729549
U56,1.0,STRONG,5,1.3997909636152834,0.8298354052559335,0.5928280913549347
B136,0.75,MILD,1,-0.01943649388494606,-0.01943649388494606,
B136,0.75,MILD,2,0.02871380620029207,0.058149121360625666,2.0251275973310077
B136,0.75,MILD,3,0.24390256088735218,0.2783933078986771,1.141411992091607
B136,0.75,MILD,4,0.40074973075890996,0.3467186648140407,0.8651750411845586
B136,0.75,MILD,5,0.5520857139545075,0.47286448331479347,0.8565055594859281
B136,0.75,MID,1,-0.024291607765476675,-0.024291607765476675,
B136,0.75,MID,2,0.026706819911683666,0.09277946503496781,3.473998976358049
B136,0.75,MID,3,0.4485786555650393,0.5197399282540768,1.158637224054723
B136,0.75,MID,4,0.707423858159276,0.5716060710596713,0.8080107342534306
B136,0.75,MID,5,1.0030390522935049,0.7445436877937863,0.7422878362426124
B136,0.75,STRONG,1,0.018649348763486562,0.018649348763486562,1.0
B136,0.75,STRONG,2,0.08754309547227568,0.1839103912165687,2.100798357933458
B136,0.75,STRONG,3,0.6370136007383017,0.6630539405315453,1.0408787814939315
B136,0.75,STRONG,4,0.9595268865774325,0.7203829080116977,0.75076886128877
B136,0.75,STRONG,5,1.3638725892322041,0.8980912932122713,0.6584862107375106
B136,1.0,MILD,1,0.006962251922960627,0.006962251922960627,1.0
B136,1.0,MILD,2,0.051549625121856124,0.06916076855168785,1.3416347526912453
B136,1.0,MILD,3,0.27901523297143327,0.2888903694474182,1.0353928220004962
B136,1.0,MILD,4,0.4228191975442832,0.36521079273012236,0.8637516812180049
B136,1.0,MILD,5,0.5635134047823985,0.4642754697158977,0.823894277892428
B136,1.0,MID,1,0.0519486315851746,0.0519486315851746,1.0
B136,1.0,MID,2,0.13001904645575313,0.1392995374440249,1.0713779345507661
B136,1.0,MID,3,0.5662742330882062,0.533930376550745,0.9428830509185059
B136,1.0,MID,4,0.8096762527951377,0.607426920912574,0.7502096286208652
B136,1.0,MID,5,1.088558674482333,0.7365499575680098,0.6766286235496475
B136,1.0,STRONG,1,0.13847298334514324,0.13847298334514324,1.0
B136,1.0,STRONG,2,0.24738728894639728,0.23949941572542366,0.9681152849260468
B136,1.0,STRONG,3,0.8153923080154253,0.690389138227514,0.8466956720598026
B136,1.0,STRONG,4,1.117696223238183,0.7376931679140617,0.660012222083762
B136,1.0,STRONG,5,1.5038677221078562,0.8805290690555365,0.585509653615922
