panel,verdict_set,bar,n_candidates,n_IS_pass,n_IS_decisive,pick_ANY,pick_DEC,same_pick,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD
U56,V_LAD,1.0,22,6,0,N=40,N=40,True,0.0,0.0,0.0
U56,V_LAD,2.0,22,6,0,N=40,N=40,True,0.0,0.0,0.0
U56,V_GRID,1.0,12,5,0,"N=40,H=126","N=5,H=63",False,-0.22165237913350344,0.037841514165450896,-0.0380909011846986
U56,V_GRID,2.0,12,5,0,"N=40,H=126","N=5,H=63",False,-0.22165237913350344,0.037841514165450896,-0.0380909011846986
B136,V_LAD,1.0,22,5,0,N=30,N=5,False,-0.3116476789756333,-0.018512922344554594,-0.037695229593076585
B136,V_LAD,2.0,22,5,0,N=30,N=5,False,-0.3116476789756333,-0.018512922344554594,-0.037695229593076585
B136,V_GRID,1.0,12,2,0,"N=40,H=63","N=5,H=63",False,-0.06288478433634015,0.06329890735364097,-0.0034313693802456857
B136,V_GRID,2.0,12,2,0,"N=40,H=63","N=5,H=63",False,-0.06288478433634015,0.06329890735364097,-0.0034313693802456857
SMALL663,V_LAD,1.0,22,0,0,H=252,H=252,True,0.0,0.0,0.0
SMALL663,V_LAD,2.0,22,0,0,H=252,H=252,True,0.0,0.0,0.0
SMALL663,V_GRID,1.0,12,0,0,"N=40,H=63","N=40,H=63",True,0.0,0.0,0.0
SMALL663,V_GRID,2.0,12,0,0,"N=40,H=63","N=40,H=63",True,0.0,0.0,0.0
