n_COMP_1SE,n_PAIRED_1SE
0,20
1,20
1,18
0,20
1,20
0,20
0,20
1,19
0,20
0,20
0,20
1,20
0,20
1,20
1,20
1,20
1,20
0,20
1,20
0,20
