X,n_lo,n_hi,mn,arm,form
10000.0,32,5,5,DV,DEC
11220.18,32,5,5,DV,DEC
12589.25,32,4,4,DV,DEC
14125.38,33,5,5,DV,DEC
15848.93,34,6,6,DV,DEC
17782.79,33,7,7,DV,DEC
19952.62,33,9,9,DV,DEC
22387.21,33,10,10,DV,DEC
25118.86,35,10,10,DV,DEC
28183.83,33,11,11,DV,DEC
31622.78,35,12,12,DV,DEC
35481.34,36,14,14,DV,DEC
39810.72,38,17,17,DV,DEC
44668.36,39,17,17,DV,DEC
50118.72,39,16,16,DV,DEC
56234.13,36,18,18,DV,DEC
63095.73,39,19,19,DV,DEC
70794.58,39,23,23,DV,DEC
79432.82,38,23,23,DV,DEC
89125.09,40,24,24,DV,DEC
100000.0,41,26,26,DV,DEC
112201.85,43,31,31,DV,DEC
125892.54,49,35,35,DV,DEC
141253.75,50,34,34,DV,DEC
158489.32,51,34,34,DV,DEC
177827.94,53,35,35,DV,DEC
199526.23,51,39,39,DV,DEC
223872.11,52,38,38,DV,DEC
251188.64,51,42,42,DV,DEC
281838.29,49,42,42,DV,DEC
316227.77,48,41,41,DV,DEC
354813.39,49,50,49,DV,DEC
398107.17,51,55,51,DV,DEC
446683.59,51,56,51,DV,DEC
501187.23,47,56,47,DV,DEC
562341.33,48,56,48,DV,DEC
630957.34,49,55,49,DV,DEC
707945.78,47,59,47,DV,DEC
794328.23,49,62,49,DV,DEC
891250.94,50,58,50,DV,DEC
1000000.0,48,57,48,DV,DEC
1122018.45,49,61,49,DV,DEC
1258925.41,54,65,54,DV,DEC
1412537.54,52,71,52,DV,DEC
1584893.19,54,72,54,DV,DEC
1778279.41,53,76,53,DV,DEC
1995262.31,52,76,52,DV,DEC
2238721.14,52,77,52,DV,DEC
2511886.43,51,79,51,DV,DEC
2818382.93,53,75,53,DV,DEC
3162277.66,54,71,54,DV,DEC
3548133.89,53,73,53,DV,DEC
3981071.71,55,76,55,DV,DEC
4466835.92,52,75,52,DV,DEC
5011872.34,50,78,50,DV,DEC
5623413.25,49,75,49,DV,DEC
6309573.44,45,71,45,DV,DEC
7079457.84,42,71,42,DV,DEC
7943282.35,37,68,37,DV,DEC
8912509.38,36,65,36,DV,DEC
10000000.0,29,60,29,DV,DEC
11220184.54,28,53,28,DV,DEC
12589254.12,25,51,25,DV,DEC
