panel,key,n,p,p_over_n,lam,preregistered,t_raw,R2_raw,raw_signal_strong,b_resid,t_resid,pR2,survive,kill,R2_control_reproduces_key,R2_fit_y,ctrl_t_resid,ctrl_survive,V_KILL,V_SIGN,V_SIG,readable
U56,sd_ann_ret,50,2,0.04,0.0,False,1.93277683278786,0.07220607062445983,False,0.8563864349094774,1.8813616945753293,0.06867587630668448,,,0.01684510111565185,0.025541603705675597,35.49127216395134,0.9830400552348451,,1,False,False
U56,sd_ann_ret,50,2,0.04,0.001,False,1.93277683278786,0.07220607062445983,False,0.8563885867326478,1.8813667702732035,0.06867622141780072,,,0.01684510097417191,0.02554160356357582,35.49264834869959,0.9830428534982268,,1,False,False
U56,sd_ann_ret,50,2,0.04,0.01,True,1.93277683278786,0.07220607062445983,False,0.8564079415348135,1.8814124110665449,0.06867932469532423,,,0.016845086991761238,0.025541589514915253,35.505024525776236,0.9830680046768762,,1,False,False
U56,sd_ann_ret,50,2,0.04,0.1,False,1.93277683278786,0.07220607062445983,False,0.8566003463105499,1.8818648433547305,0.0687100901056179,,,0.01684371248106986,0.02554020364915499,35.62785306089016,0.9833162697616085,,1,False,False
U56,sd_ann_ret,50,2,0.04,1.0,True,1.93277683278786,0.07220607062445983,False,0.8584156782465743,1.8860218668190307,0.06899301874432573,,,0.016726980541823422,0.025418670275077715,36.7683563035043,0.9855094118268511,,1,False,False
U56,sd_ann_ret,50,2,0.04,10.0,False,1.93277683278786,0.07220607062445983,False,0.869621178223941,1.9077472682918273,0.07047898730758972,,,0.013061468413392285,0.020896702837821635,42.93620943053247,0.9946035240454177,,1,False,False
U56,sd_ann_ret,50,2,0.04,100.0,True,1.93277683278786,0.07220607062445983,False,0.8852764694227092,1.928700415626445,0.071923695734182,,,0.0032445942280939777,0.005708333728019932,47.929278843037594,0.9996134071432757,,1,False,False
U56,sd_ann_ret,50,2,0.04,1000.0,False,1.93277683278786,0.07220607062445983,False,0.88907258281111,1.9323501262977063,0.07217649263340986,,,0.0003754190333784546,0.0006753177378575614,48.35618941264928,0.9999731898641506,,1,False,False
U56,sd_ann_ret,50,5,0.1,0.0,False,1.93277683278786,0.07220607062445983,False,0.8939422440328778,2.1853758340081284,0.09049339705540627,,,0.027436746898877873,0.19419495403789488,31.597984055158026,0.9736897114454279,,1,True,False
U56,sd_ann_ret,50,5,0.1,0.001,False,1.93277683278786,0.07220607062445983,False,0.8939409272369675,2.185372292659603,0.09049313031116446,,,0.027436746618024643,0.19419495272850162,31.599517195478374,0.9736940452907823,,1,True,False
