ladder,T1,T1_sub_random,T1_n,T2_artefact,T2_exact,T2_strat,T3_disp_specific,T3_gap,T4_outcome,T4_gap,T5_spread_mean,T5_flips
INHERITED,THE TWO CELLS (coin flip),14,24,False,0.3993055555555555,0.4375,False,0.02157738095238093,False,-0.014694940476190466,0.34631001984126986,50
LIVE,THE TWO CELLS (coin flip),15,24,False,0.3479662698412698,0.4635416666666667,False,-0.02901785714285715,False,0.035962301587301515,0.30471354166666664,41
