universe,arm,book,conv,f,bps,d_Sharpe,d_EXC_Sharpe,d_S_CONTANGO,d_S_POST,d_S_Y1420,d_S_Y2126,d_CAGR,d_OOS_Sharpe,arm_Sharpe,S4_Sharpe,d_Turn
u56,noDBC,top20,natural,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1754601006115302,1.1754601006115302,0.0
u56,noDBC,top20,natural,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092135905431323,1.092135905431323,0.0
u56,noDBC,top20,natural,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668297371038527,0.9668297371038527,0.0
u56,noDBC,top20,natural,0.25,0,0.022825559125538852,0.016084955885893093,0.040237917094892994,0.016084955885893093,0.025931891112169536,0.005375884193766334,0.00030210094669280707,0.013372540256892718,1.260934783033791,1.238109223908252,-0.03697424050121434
u56,noDBC,top20,natural,0.25,10,0.021608322160786342,0.015304017505060274,0.03777413515948824,0.015304017505060274,0.025191749523940654,0.004558126065169699,0.00034011175813475347,0.01271115757629837,1.1651669818081347,1.1435586596473484,-0.03697424050121434
u56,noDBC,top20,natural,0.25,25,0.01977268437737134,0.014131165116877398,0.03403869109681279,0.014131165116877398,0.02408153975431837,0.0033259748486254015,0.0003959254762526676,0.01171192086418782,1.0210995365175382,1.0013268521401668,-0.03697424050121434
u56,noDBC,top20,natural,0.5,0,0.05520108546410474,0.04259570212680308,0.08366832648678368,0.04259570212680308,0.06088863655793175,0.025495820943244762,0.0004781141960181756,0.039260331063800225,1.3591481374608774,1.3039470519967726,-0.07591403206321967
u56,noDBC,top20,natural,0.5,10,0.05205275245096086,0.04039027451543187,0.07803238746306729,0.04039027451543187,0.059706789629251356,0.02219285399994253,0.0005562288540039706,0.03702728825897128,1.2444010229145717,1.1923482704636108,-0.07591403206321967
u56,noDBC,top20,natural,0.5,25,0.04728714853162064,0.03706494017149575,0.06944703308432332,0.03706494017149575,0.05792810485577293,0.01718366714528785,0.0006712867110378884,0.03363630812332108,1.0716637862140017,1.024376637682381,-0.07591403206321967
u56,noDBC,top20,natural,0.75,0,0.04584722946463593,0.05070466509906524,0.04365592226305992,0.05070466509906524,0.06430544613462397,0.055283422156537476,0.0005368818790834062,0.05947358273833858,1.292351946564102,1.246504717099466,-0.12125402469178415
