panel,family,n,n4a,n4b
B136,MA-THRESH,180,0,2
B136,QUANTILE-M,180,0,1
SMALL439,MA-THRESH,180,0,0
SMALL439,QUANTILE-M,180,0,0
U56,MA-THRESH,180,0,12
U56,QUANTILE-M,180,5,16
