panel,ladder,rung,CAGR,Sharpe,MaxDD
U56,H,1,0.1949980727513243,1.1265641583415353,-0.27239559891958953
U56,H,21,0.21027219673991038,1.1590151385796423,-0.29110274589988194
U56,H,42,0.210889537642851,1.1421058461628923,-0.30766764035533334
U56,H,63,0.21115696704700682,1.1339358586822028,-0.3215557527103948
U56,H,126,0.20891730618926974,1.1322345718098787,-0.2994963591464337
U56,H,252,0.20362952962261538,1.130027208887367,-0.2822883527852207
U56,CADENCE,D,0.1695539237042445,1.0121712322589917,-0.30750996377456863
U56,CADENCE,W,0.1949980727513243,1.1265641583415353,-0.27239559891958953
U56,CADENCE,M,0.21852485264195387,1.2082600437969788,-0.2783933073311263
U56,CADENCE,Q,0.20507925299237062,1.083143080742426,-0.35060541516384247
B136,H,1,0.19567101070682758,0.9886142227023957,-0.310259738780467
B136,H,21,0.2177193491390521,1.053076579429236,-0.3324196951947306
B136,H,42,0.22429292265861256,1.067935314258686,-0.3418128511311104
B136,H,63,0.2327488817607548,1.0971335391395074,-0.3476410931546232
B136,H,126,0.23621822335201137,1.1278664861766565,-0.33407486118783447
B136,H,252,0.2258727229872286,1.1214883144590702,-0.32641313300481856
B136,CADENCE,D,0.14590374425040475,0.7887207270029114,-0.3448957991528364
B136,CADENCE,W,0.19567101070682758,0.9886142227023957,-0.310259738780467
B136,CADENCE,M,0.2325766387749666,1.1029204815807978,-0.3284799533049313
B136,CADENCE,Q,0.2096457399752858,0.9792705771506414,-0.3531986737464119
SMALL663,H,1,0.18102361227874297,0.7464082792615044,-0.3901113616532429
SMALL663,H,21,0.17306542138868952,0.7208362324501171,-0.4407846867059533
SMALL663,H,42,0.18842191002307374,0.77075852820855,-0.4512456725467817
SMALL663,H,63,0.18833278138034748,0.7759672231480901,-0.4518183823496492
SMALL663,H,126,0.17778742952484272,0.7539852393718409,-0.4544625667412109
SMALL663,H,252,0.17707910211890932,0.7845602792540954,-0.4374345900475599
SMALL663,CADENCE,D,0.10402180281281215,0.5024248835886088,-0.41463770728948046
SMALL663,CADENCE,W,0.18102361227874297,0.7464082792615044,-0.3901113616532429
SMALL663,CADENCE,M,0.1686805979032231,0.6929164426701602,-0.4562758109701992
SMALL663,CADENCE,Q,0.14082051188290134,0.6000097858599356,-0.5549050087462455
