badness,desc,split,IS_years,IS_bad,IS_share,IS_dayshare,OOS_years,OOS_bad,OOS_share,OOS_dayshare,gap_share,gap_dayshare,abs_gap
ret<0,calendar SPY total return < 0,2016-12-31,9,1,0.1111111111111111,0.11160123511248346,10,2,0.2,0.20641447368421054,-0.0888888888888889,-0.09481323857172708,0.0888888888888889
dd<=-10,intra-year SPY max drawdown <= -10%,2016-12-31,9,5,0.5555555555555556,0.5562417291574768,10,4,0.4,0.41324013157894735,0.15555555555555556,0.14300159757852948,0.15555555555555556
dd<=-15,intra-year SPY max drawdown <= -15%,2016-12-31,9,4,0.4444444444444444,0.4450816056462285,10,4,0.4,0.41324013157894735,0.0444444444444444,0.03184147406728116,0.0444444444444444
dd<=-20,intra-year SPY max drawdown <= -20%,2016-12-31,9,2,0.2222222222222222,0.2227613586237318,10,2,0.2,0.20723684210526316,0.0222222222222222,0.015524516518468645,0.0222222222222222
