panel,phase,g_CAGR,g_DD,nonempty,n_pass4b
U56,0,0.85,1.25,True,9
U56,1,0.9,1.2,True,7
U56,2,0.85,1.45,True,13
U56,3,0.85,1.4,True,12
U56,4,0.85,1.35,True,11
B136,0,1.05,1.25,True,5
B136,1,1.05,1.2,True,4
B136,2,1.0,1.4,True,9
B136,3,1.0,1.35,True,8
B136,4,1.05,1.35,True,7
SMALL,0,,1.1,False,0
SMALL,1,,1.1,False,0
SMALL,2,,1.15,False,0
SMALL,3,,1.15,False,0
SMALL,4,,1.1,False,0
