universe,book,sleeve,conv,f_star,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beats_base,beats_spy,full_4a,full_4b
u56,v1,S9,natural,0.75,0.6261902684019259,0.06699641868953865,1.0377067753754445,-0.10983788122656246,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,v1,S9,matched,1.0,0.7387328025862568,0.0623023674082106,0.9880377122578478,-0.10805001502668043,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,v1,S4,natural,0.5,0.6221775820790981,0.056733486642569275,0.9310642574823336,-0.08387036683164717,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,v1,S4,matched,0.5,0.6377702494573503,0.061342149718520034,0.8931800103944064,-0.10274804634459289,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,top20,S9,natural,0.0,0.9928968404730495,0.14360571273280298,1.167991233806965,-0.18308348697878107,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,False,True
u56,top20,S9,matched,0.0,0.9928968404730495,0.14360571273280298,1.167991233806965,-0.18308348697878107,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,False,True
u56,top20,S4,natural,0.5,1.0405884901032512,0.08888776181998126,1.308068871247853,-0.0996987694416358,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,top20,S4,matched,0.5,1.0708103792655403,0.0957323610597336,1.2657134760882378,-0.10757186791489082,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,ewall,S9,natural,0.0,0.9680079228325479,0.11341323151490479,1.1132841948586054,-0.15874704847794496,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,False,False
u56,ewall,S9,matched,0.0,0.9680079228325479,0.11341323151490479,1.1132841948586054,-0.15874704847794496,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,False,False
u56,ewall,S4,natural,0.5,1.0200601408435792,0.07400596509059287,1.279587333161305,-0.08684400427466288,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
u56,ewall,S4,matched,0.5,1.0587983692617051,0.08107865906343492,1.246965893236008,-0.09527988038270041,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,True,True,True,False
broad,v1,S9,natural,0.5,0.7283287282604111,0.06209063625765587,0.8365063135856977,-0.12051100801681602,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,False,True,False
broad,v1,S9,matched,0.75,0.7893291692953817,0.06182621599166227,0.9153995819667825,-0.11269187770042066,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,v1,S4,natural,0.5,0.7844213789988799,0.047912677286740424,0.7887301265859267,-0.12304132429331838,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,False,True,False
broad,v1,S4,matched,0.5,0.7553117236167227,0.04956960896760165,0.7198700371083785,-0.1411482404973271,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,False,True,False
broad,top20,S9,natural,0.0,1.043837850225855,0.12486792010130943,0.8919165372280256,-0.2005204833110832,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,top20,S9,matched,0.0,1.043837850225855,0.12486792010130943,0.8919165372280256,-0.2005204833110832,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,top20,S4,natural,0.5,1.1267351207569252,0.08051605704949494,1.052523243946113,-0.1090710192816885,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,top20,S4,matched,0.5,1.1521707259086016,0.08551304755272149,1.000854323306036,-0.11821146074367694,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,ewall,S9,natural,0.0,1.0324870696635413,0.10588426010291863,1.0190519497098376,-0.17687931105226407,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,True
broad,ewall,S9,matched,0.0,1.0324870696635413,0.10588426010291863,1.0190519497098376,-0.17687931105226407,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,True
broad,ewall,S4,natural,0.5,1.1363060778243377,0.0705230973168709,1.2317346943625984,-0.10239579942339316,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
broad,ewall,S4,matched,0.5,1.1660907228327764,0.07750884036355377,1.2013092902510765,-0.10580673121255924,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,True,False
