gate,value,passed
G1 r(c)=g-tn*c/1e4 == engine.backtest at 10 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G1b r(c)=g-tn*c/1e4 == engine.backtest at 25 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G1c r(c)=g-tn*c/1e4 == engine.backtest at 50 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G2 CROSS-RUN 936/1071/1082/1094's committed U56 W/H126 N=20 triple @ 10 bps,3.1831294189377246e-07,True
G3 CROSS-RUN SPY OOS triple,0.00017024209187355144,True
G4 CROSS-RUN 1086/1094's committed U56 N=12 H=21 candidate triple @ 10 bps,0.0,True
G4b CROSS-RUN 1094's committed c* = 63 bps for that cell,0.0,True
G5 live RULES v2 MaxDD @ 10 bps == committed -12.05%,4.949323437114517e-05,True
G7 determinism of the seed recipe,0.0,True
G6 CAGR non-increasing in the cost rung at every cell,0.0,True
G8 the cost axis is LIVE (max CAGR spread 0->50 bps >= 1 pp),0.05662256030859414,True
G9 the turnover spread within ladders is LIVE (>= 1x/yr somewhere),7.418884614994287,True
