cell,panel,arm,L_star,L_star_seeds,L_star_n_distinct,L_star_seed_stable,reached,denom,lstar_est_R_1164,gap_est_R_1164,lstar_est_R_STRICT,gap_est_R_STRICT,lstar_est_R_LOOSE,gap_est_R_LOOSE,lstar_est_R_TSTAT,gap_est_R_TSTAT
U56/N5/H63/W,U56,POP,126.0,126|63|126,2,False,True,-6.647050084828511,False,True,False,True,False,True,False,True
U56/N5/H63/M,U56,POP,126.0,126|126|63,2,False,True,-6.513073616214815,False,True,False,True,False,True,False,True
U56/N5/H126/W,U56,POP,126.0,126|126|126,1,True,True,-5.410585742876641,True,True,True,True,True,True,True,True
U56/N5/H126/M,U56,POP,252.0,252|252|252,1,True,True,-5.492991070867301,True,True,True,True,True,True,True,True
U56/N5/H252/W,U56,POP,252.0,252|252|252,1,True,True,1.052396158758409,False,False,False,False,True,True,True,True
U56/N5/H252/M,U56,POP,252.0,252|252|252,1,True,True,0.8843870084155334,False,False,False,False,False,False,True,True
U56/N10/H63/W,U56,POP,63.0,63|63|63,1,True,True,1.8757921454997373,True,True,False,False,True,True,True,True
U56/N10/H63/M,U56,POP,1.0,1|1|5,2,False,True,-0.07029239713225266,False,False,False,False,False,False,False,False
U56/N10/H126/W,U56,POP,252.0,252|252|252,1,True,True,-4.527061432208352,True,True,True,True,True,True,True,True
U56/N10/H126/M,U56,POP,63.0,63|63|21,2,False,True,-1.3102937860863761,False,False,False,False,False,True,False,True
U56/N10/H252/W,U56,POP,63.0,63|63|63,1,True,True,-2.6479734627825593,True,True,False,False,True,True,True,True
U56/N10/H252/M,U56,POP,252.0,252|252|126,2,False,True,-3.4980562348220516,False,True,False,False,False,True,False,True
U56/N20/H63/W,U56,POP,63.0,63|63|63,1,True,True,2.7574162762379153,True,True,True,True,True,True,True,True
U56/N20/H63/M,U56,POP,63.0,63|63|63,1,True,True,1.6813162584295398,True,True,False,False,True,True,True,True
U56/N20/H126/W,U56,POP,126.0,126|126|252,2,False,True,-3.6256146692357483,False,True,False,True,False,True,False,True
U56/N20/H126/M,U56,POP,1.0,1|1|5,2,False,True,0.17693315637866291,False,False,False,False,False,False,False,False
