band,gross,CAGR,Sharpe,MaxDD,H1,H2,oosC,oosS,oosD,pass4a,margin4a,pass4b,margin4b,isS
0.0,0.55,0.05989047793268876,1.169260821010041,-0.08886614978851559,1.1857010673355544,1.1570170458797178,0.0663146080255359,1.259765012398367,-0.0888661497885157,0,-0.04516317909858136,0,-0.0464280124542335,1.054320350834092
0.0,0.65,0.07087045859228325,1.1692642066744203,-0.10456223611047277,1.1859565378217987,1.1568051028031296,0.07852464955360672,1.2595824102403148,-0.10456223611047288,0,-0.04490770861233706,0,-0.03544803179463901,1.0545491612903426
0.0,0.75,0.08187299221941369,1.1692475633783586,-0.12011678946551008,1.1861925989210094,1.1565728836758973,0.09077595629666058,1.2593786361905985,-0.12011678946550941,0,-0.044671647513126356,0,-0.024445498167508573,1.054759204396338
0.0,0.85,0.0928957225272975,1.1692096264840215,-0.13552999402343635,1.1864084128429306,1.1563187492851585,0.10306595314907874,1.2591519751704845,-0.13552999402343646,0,-0.044455833591205085,0,-0.013422767859624762,1.054949780251003
0.0,1.0,0.10946213581931885,1.169109435744023,-0.15838544119726206,1.1866911788639514,1.15589276145773,0.12156745015911441,1.2587657248897013,-0.15838544119726228,0,-0.044173067570184354,1,0.0031436454323965912,1.0551957703933725
0.01,0.55,0.06130603585559857,1.1876359061154669,-0.08895981423411126,1.2050690293652593,1.1745179935725774,0.06755854181439447,1.2741707780386333,-0.08895981423411103,0,-0.02579521706887644,0,-0.04501245453132369,1.0778395943015677
0.01,0.65,0.07255678470521909,1.1876322192915982,-0.10467741228886462,1.2053153439093443,1.17430165382615,0.08000808474244758,1.2739839688368206,-0.10467741228886451,0,-0.025548902524791473,0,-0.03376170568170317,1.0780576381204314
0.01,0.75,0.08383411891997561,1.187608034409547,-0.12025474312825346,1.2055422556493163,1.1740641587970886,0.09250291435418845,1.2737752822799098,-0.12025474312825335,0,-0.025321990784819448,0,-0.02248437146694665,1.0782567571497257
0.01,0.85,0.0951356542399111,1.1875622861886164,-0.1356919181657371,1.2057492050740044,1.1738040010630175,0.10504041346302162,1.2735430036315076,-0.1356919181657371,0,-0.02511504136013132,0,-0.011182836147011155,1.0784367034346813
0.01,1.0,0.11212764247061524,1.1874494810094995,-0.15858544192445445,1.20601723920004,1.17336861990726,0.12392064552216597,1.2731481598815388,-0.15858544192445478,0,-0.0380359683334347,1,0.005809152083692981,1.0786649261256032
