char,scope,window,R2,slope,n
width,ALL,FULL,0.02189918032934446,-0.00042029483897087274,38
width,ALL,IS,0.00040716421151920645,-6.526293901704946e-05,38
width,ALL,OOS,0.020398476978410796,-0.0004793717692216502,38
width,CUTS,FULL,0.2575464026077128,-0.006574777747281818,35
width,CUTS,IS,0.2569525550273515,-0.007369295220383163,35
width,CUTS,OOS,0.14029224958064668,-0.005691397229018835,35
width,ALLwG2,FULL,0.01811743241600061,-0.0003864208287588938,39
width,ALLwG2,IS,0.00028051460444455945,-5.410541080172918e-05,39
width,ALLwG2,OOS,0.015524296669849225,-0.00042693498881672806,39
etf_share,ALL,FULL,0.3598002833559798,0.5387895595317183,38
etf_share,ALL,IS,0.0563472274254978,0.24280990456703466,38
etf_share,ALL,OOS,0.5251772540759313,0.7692629762872277,38
etf_share,CUTS,FULL,0.40168562324710333,0.6078796628170763,35
etf_share,CUTS,IS,0.10188217083256734,0.34353399281625513,35
etf_share,CUTS,OOS,0.5333305448859154,0.8215262112831145,35
etf_share,ALLwG2,FULL,0.37477591060332893,0.5460806641876153,39
etf_share,ALLwG2,IS,0.05858523939839677,0.2429493980386048,39
etf_share,ALLwG2,OOS,0.5420171749481059,0.7838285319647358,39
c_bar,ALL,FULL,0.13240759145148862,-4.27533444578338,38
c_bar,ALL,IS,0.10577270781139225,-4.3515318229478765,38
c_bar,ALL,OOS,0.12405505445429732,-4.890512110376234,38
c_bar,CUTS,FULL,0.41330500988258967,-12.629441375021036,35
c_bar,CUTS,IS,0.1688779349627394,-9.059024071294152,35
c_bar,CUTS,OOS,0.44273560088842423,-15.330974284457067,35
c_bar,ALLwG2,FULL,0.14079987500366653,-4.437565409007239,39
c_bar,ALLwG2,IS,0.10777033656496315,-4.368617390113851,39
c_bar,ALLwG2,OOS,0.13415288958955263,-5.1699605304106155,39
c_sd,ALL,FULL,0.0015888480397506788,-1.2940238711721161,38
c_sd,ALL,IS,7.371853177606802e-05,0.31741770460164187,38
c_sd,ALL,OOS,0.005586935423035788,-2.8676185974464605,38
c_sd,CUTS,FULL,0.0020460106648597653,-1.5049266502702816,35
c_sd,CUTS,IS,0.001133820770235272,-1.2571287047418709,35
c_sd,CUTS,OOS,0.00287684086974227,-2.0929942362292735,35
c_sd,ALLwG2,FULL,0.002619593943644305,-1.6789039566323278,39
c_sd,ALLwG2,IS,2.4385139321569937e-05,0.18227295823630596,39
c_sd,ALLwG2,OOS,0.007849079456243913,-3.4686605843172367,39
mean_vol,ALL,FULL,0.09612955455793626,-1.1469760050236928,38
mean_vol,ALL,IS,0.0065357034530217906,-0.3405757630815155,38
mean_vol,ALL,OOS,0.12697024835117343,-1.5577950081421672,38
mean_vol,CUTS,FULL,0.4321657322712501,-5.562183573737193,35
mean_vol,CUTS,IS,0.19233285416661916,-4.163830528111741,35
mean_vol,CUTS,OOS,0.46390975341073004,-6.759049579406353,35
mean_vol,ALLwG2,FULL,0.10351671664840678,-1.1987793107151168,39
mean_vol,ALLwG2,IS,0.007323607232461171,-0.3587957374549869,39
mean_vol,ALLwG2,OOS,0.13637096518285075,-1.6422472023050882,39
xs_disp,ALL,FULL,0.05173249994655782,-0.9095221826433437,38
xs_disp,ALL,IS,0.001376259169121763,-0.16893645513669997,38
xs_disp,ALL,OOS,0.06693979836204167,-1.2226642627474993,38
xs_disp,CUTS,FULL,0.30898586303932885,-6.080429447567129,35
xs_disp,CUTS,IS,0.15097505055296023,-4.769399402059518,35
xs_disp,CUTS,OOS,0.31279851203574216,-7.175398309810471,35
xs_disp,ALLwG2,FULL,0.0543115903737742,-0.9427971393925393,39
xs_disp,ALLwG2,IS,0.0015755218238499014,-0.180690352631245,39
xs_disp,ALLwG2,OOS,0.069797541970541,-1.2756620598240966,39
mean_rho,ALL,FULL,0.0029028922917569977,-0.28769217128364505,38
mean_rho,ALL,IS,0.00370046248396938,-0.3698982590210382,38
mean_rho,ALL,OOS,0.006306002951684708,-0.5010985240083627,38
mean_rho,CUTS,FULL,0.011971947293063612,-0.8685410812756689,35
mean_rho,CUTS,IS,0.0008328779437156708,0.2570660946877319,35
mean_rho,CUTS,OOS,0.03378829069598954,-1.7113538013980663,35
mean_rho,ALLwG2,FULL,0.001320276110419294,-0.1955438611951506,39
mean_rho,ALLwG2,IS,0.003072478453892691,-0.3356657151271875,39
mean_rho,ALLwG2,OOS,0.003064682945620456,-0.35558886962328834,39
n_live,ALL,FULL,0.030154705650822344,-0.0006236107063875902,38
n_live,ALL,IS,0.002670031723932431,-0.0002113177258310697,38
n_live,ALL,OOS,0.024782703585252697,-0.0006681036016598186,38
n_live,CUTS,FULL,0.2600781418696768,-0.006933622678446495,35
n_live,CUTS,IS,0.26355371477155143,-0.007832294348001369,35
n_live,CUTS,OOS,0.13811968972588473,-0.00592631593448997,35
n_live,ALLwG2,FULL,0.02491009516639142,-0.0005724160117234851,39
n_live,ALLwG2,IS,0.002257439628693958,-0.00019390227749409644,39
n_live,ALLwG2,OOS,0.018550675591975874,-0.0005895864911335107,39
yrs,ALL,FULL,0.0006362453057902062,0.01469272139284325,38
yrs,ALL,IS,0.013491376135804756,-0.07704771700442654,38
yrs,ALL,OOS,0.004086520618682088,0.044004820210521385,38
yrs,CUTS,FULL,0.0,-0.009953744339552314,35
yrs,CUTS,IS,0.0,-0.004738762670344019,35
yrs,CUTS,OOS,0.0,-0.01441770148451974,35
yrs,ALLwG2,FULL,0.0004266887316111134,0.012187156166370448,39
yrs,ALLwG2,IS,0.013748410594338956,-0.0778437580239754,39
yrs,ALLwG2,OOS,0.003234278326303741,0.04004783688437372,39
spy_MaxDD,ALL,FULL,6.787067053171114e-05,516.0702175337493,38
spy_MaxDD,ALL,IS,5.045691411575959e-06,-160.239570199689,38
spy_MaxDD,ALL,OOS,0.001959054142630867,-3276.6073556497295,38
spy_MaxDD,CUTS,FULL,0.0,0.5200386740435927,35
spy_MaxDD,CUTS,IS,0.0,0.24757917941499147,35
spy_MaxDD,CUTS,OOS,0.0,0.7532604924332634,35
spy_MaxDD,ALLwG2,FULL,4.205926401490423e-06,130.07568320484512,39
spy_MaxDD,ALLwG2,IS,1.6637684527309737e-05,-291.1135911776116,39
spy_MaxDD,ALLwG2,OOS,0.002624428803725487,-3878.164778257426,39
