panel,family,level,w,depth,cadence,gross,BLOCK,RAND,REAL,excess_vs_RAND,excess_vs_BLOCK,on_share,bk
B136,ABS,0.3,0,0.25,D,0.75,-0.00884120180847009,-0.04504155050323973,-0.00939802470808404,0.03564352579515569,-0.0005568228996139513,0.0653300292858752,1
B136,ABS,0.3,0,0.25,D,1.0,-0.010580154339383974,-0.06108260076449944,-0.009052130974837036,0.0520304697896624,0.0015280233645469377,0.0653300292858752,1
B136,ABS,0.3,0,0.25,W,0.75,-0.0020514569553752304,-0.06254600169081767,0.0012225579038707135,0.06376855959468838,0.003274014859245944,0.061725613876999326,1
B136,ABS,0.3,0,0.25,W,1.0,0.0002842563517867269,-0.051890714232895485,0.0012747943555102559,0.05316550858840574,0.0009905380037235289,0.061725613876999326,1
B136,ABS,0.3,0,0.5,D,0.75,-0.018362442669928546,-0.12254725409016254,-0.029258862020334453,0.09328839206982809,-0.010896419350405907,0.0653300292858752,1
B136,ABS,0.3,0,0.5,D,1.0,-0.01478854981742107,-0.11837191989301248,-0.0286937779106351,0.08967814198237738,-0.013905228093214029,0.0653300292858752,1
B136,ABS,0.3,0,0.5,W,0.75,-0.02915426301696098,-0.1053623303389302,-0.004162177434206882,0.10120015290472331,0.0249920855827541,0.061725613876999326,1
B136,ABS,0.3,0,0.5,W,1.0,-0.02868396950301393,-0.10936002674084651,-0.004045124390082977,0.10531490235076353,0.024638845112930952,0.061725613876999326,1
B136,ABS,0.3,0,1.0,D,0.75,-0.0645546576501984,-0.31708082007946686,-0.1035585472553695,0.21352227282409736,-0.03900388960517111,0.0653300292858752,1
B136,ABS,0.3,0,1.0,D,1.0,-0.04896492632820244,-0.2507326653256269,-0.1030966659575665,0.14763599936806038,-0.05413173962936406,0.0653300292858752,1
B136,ABS,0.3,0,1.0,W,0.75,-0.06544022919917655,-0.2665789857451993,-0.03671437118210985,0.22986461456308943,0.028725858017066702,0.061725613876999326,1
B136,ABS,0.3,0,1.0,W,1.0,-0.07720829569351104,-0.2704113203028068,-0.036428040916650195,0.2339832793861566,0.04078025477686084,0.061725613876999326,1
B136,ABS,0.4,0,0.25,D,0.75,-0.005206534604307844,-0.09273750140884426,0.006925788141600497,0.09966328955044476,0.012132322745908341,0.10903356611849516,2
B136,ABS,0.4,0,0.25,D,1.0,-0.011718600408346746,-0.08913861012277405,0.007270006088044179,0.09640861621081823,0.018988606496390927,0.10903356611849516,2
B136,ABS,0.4,0,0.25,W,0.75,-0.004022952414590497,-0.0856572431820028,0.009456954413235907,0.0951141975952387,0.013479906827826404,0.11128632574904258,2
B136,ABS,0.4,0,0.25,W,1.0,-0.014654226131775527,-0.08980970836084765,0.009350841949605337,0.09916055031045298,0.024005068081380865,0.11128632574904258,2
B136,ABS,0.4,0,0.5,D,0.75,-0.0368323846253233,-0.19818945475558905,-0.0008078799650028667,0.19738157479058618,0.036024504660320436,0.10903356611849516,2
B136,ABS,0.4,0,0.5,D,1.0,-0.02468535107478581,-0.2246268821908818,-0.00020249341035660784,0.2244243887805252,0.024482857664429203,0.10903356611849516,2
B136,ABS,0.4,0,0.5,W,0.75,-0.02676333404872989,-0.18645306321112717,0.006288619896651415,0.1927416831077786,0.03305195394538131,0.11128632574904258,2
B136,ABS,0.4,0,0.5,W,1.0,-0.015170854656938326,-0.1912541450315705,0.006090676884986879,0.1973448219165574,0.021261531541925206,0.11128632574904258,2
B136,ABS,0.4,0,1.0,D,0.75,-0.07711063960305796,-0.40909428443618934,-0.07318723706348462,0.3359070473727047,0.003923402539573337,0.10903356611849516,2
B136,ABS,0.4,0,1.0,D,1.0,-0.09676402622052112,-0.41635137022513896,-0.07260886874462902,0.34374250148050994,0.0241551574758921,0.10903356611849516,2
B136,ABS,0.4,0,1.0,W,0.75,-0.12101132469330862,-0.42737634812135494,-0.048034786812565344,0.3793415613087896,0.07297653788074328,0.11128632574904258,2
B136,ABS,0.4,0,1.0,W,1.0,-0.07515840042417196,-0.4264796388294572,-0.04832111642508985,0.37815852240436737,0.026837283999082112,0.11128632574904258,2
B136,ABS,0.5,0,0.25,D,0.75,-0.000678216923977093,-0.1251096595739244,0.021145768482533356,0.14625542805645775,0.021823985406510447,0.15183599909889614,3
B136,ABS,0.5,0,0.25,D,1.0,-0.01592195487895638,-0.12861864412845436,0.021543190418688685,0.15016183454714305,0.03746514529764507,0.15183599909889614,3
B136,ABS,0.5,0,0.25,W,0.75,-0.009040414500445227,-0.12347004750412016,0.0013935466222476656,0.12486359412636783,0.010433961122692893,0.1531876548772246,3
B136,ABS,0.5,0,0.25,W,1.0,-0.010041381810127014,-0.1239200660777899,0.0012740674307334388,0.12519413350852332,0.011315449240860453,0.1531876548772246,3
B136,ABS,0.5,0,0.5,D,0.75,-0.027578696543725467,-0.26480421556227535,0.025022614622114636,0.28982683018439,0.0526013111658401,0.15183599909889614,3
B136,ABS,0.5,0,0.5,D,1.0,-0.039177769922168315,-0.2700572560643276,0.02577361119262722,0.29583086725695484,0.06495138111479554,0.15183599909889614,3
B136,ABS,0.5,0,0.5,W,0.75,-0.05062573697860665,-0.27796478164413646,-0.013987861507815502,0.26397692013632096,0.03663787547079115,0.1531876548772246,3
B136,ABS,0.5,0,0.5,W,1.0,-0.031384674782276835,-0.274710852473308,-0.014202758093887491,0.2605080943794205,0.017181916688389344,0.1531876548772246,3
B136,ABS,0.5,0,1.0,D,0.75,-0.0642109114960959,-0.5748558985089314,-0.046837376563701016,0.5280185219452304,0.01737353493239488,0.15183599909889614,3
B136,ABS,0.5,0,1.0,D,1.0,-0.18365579601940715,-0.5393920271475057,-0.045993645925732185,0.4933983812217735,0.13766215009367497,0.15183599909889614,3
