panel,fold,SET,BAR,HFORM,call,named,V,n_admitted
U56,2013,NG,A_NONE,H_RUNNERUP,TIE,,1.5485066030391785,3
U56,2013,NG,A_NONE,H_NARROWEST,TIE,,1.5932743366856559,3
U56,2013,NG,A_NONE,H_ANY,TIE,,,3
U56,2013,NG,A_POS,H_RUNNERUP,TIE,,1.5485066030391785,3
U56,2013,NG,A_POS,H_NARROWEST,TIE,,1.5932743366856559,3
U56,2013,NG,A_POS,H_ANY,TIE,,,3
U56,2013,NG,A_MED,H_RUNNERUP,TIE,,,0
U56,2013,NG,A_MED,H_NARROWEST,TIE,,,0
U56,2013,NG,A_MED,H_ANY,TIE,,,0
U56,2013,NG,A_90,H_RUNNERUP,TIE,,,0
U56,2013,NG,A_90,H_NARROWEST,TIE,,,0
U56,2013,NG,A_90,H_ANY,TIE,,,0
U56,2013,NG,A_95,H_RUNNERUP,TIE,,,0
U56,2013,NG,A_95,H_NARROWEST,TIE,,,0
U56,2013,NG,A_95,H_ANY,TIE,,,0
U56,2013,NG,A_99,H_RUNNERUP,TIE,,,0
U56,2013,NG,A_99,H_NARROWEST,TIE,,,0
U56,2013,NG,A_99,H_ANY,TIE,,,0
U56,2013,NG_D,A_NONE,H_RUNNERUP,TIE,,1.5485066030391785,4
U56,2013,NG_D,A_NONE,H_NARROWEST,W,N,inf,4
U56,2013,NG_D,A_NONE,H_ANY,W,N,,4
U56,2013,NG_D,A_POS,H_RUNNERUP,TIE,,1.5485066030391785,3
U56,2013,NG_D,A_POS,H_NARROWEST,TIE,,1.5932743366856559,3
U56,2013,NG_D,A_POS,H_ANY,TIE,,,3
U56,2013,NG_D,A_MED,H_RUNNERUP,TIE,,,0
U56,2013,NG_D,A_MED,H_NARROWEST,TIE,,,0
U56,2013,NG_D,A_MED,H_ANY,TIE,,,0
U56,2013,NG_D,A_90,H_RUNNERUP,TIE,,,0
U56,2013,NG_D,A_90,H_NARROWEST,TIE,,,0
U56,2013,NG_D,A_90,H_ANY,TIE,,,0
U56,2013,NG_D,A_95,H_RUNNERUP,TIE,,,0
U56,2013,NG_D,A_95,H_NARROWEST,TIE,,,0
U56,2013,NG_D,A_95,H_ANY,TIE,,,0
U56,2013,NG_D,A_99,H_RUNNERUP,TIE,,,0
U56,2013,NG_D,A_99,H_NARROWEST,TIE,,,0
U56,2013,NG_D,A_99,H_ANY,TIE,,,0
U56,2013,ALL4,A_NONE,H_RUNNERUP,TIE,,1.5485066030391785,4
