corpus,path,form,p_bar,feas_below,closed_form,feas_above
NARROW,4a,SHARE,0.0,inf,inf,1
NARROW,4a,COUNT,0.0,inf,inf,1
NARROW,4b,SHARE,0.14814814814814814,21.0,19.0,1
NARROW,4b,COUNT,0.14814814814814814,21.0,19.0,1
WIDE,4a,SHARE,0.006172839506172839,457.0,484.0,1
WIDE,4a,COUNT,0.006172839506172839,457.0,484.0,1
WIDE,4b,SHARE,0.09876543209876543,33.0,29.0,1
WIDE,4b,COUNT,0.09876543209876543,33.0,29.0,1
